,Date,Headline,Summary,neg,neu,pos,compound
0,2022-10-03,"3 takeaways from our daily meeting: Stocks jump, two trades and Club names in the news","The Investing Club holds its ""Morning Meeting"" every weekday at 10:20 a.m. ET.",0.0,1.0,0.0,0.0
1,2022-10-03,This classic investment strategy is on track for its 'worst year ever'—here's what to do with your money,The 60/40 portfolio is supposed to give investors the best of both worlds. So far in 2022 it's been more of a double-whammy.,0.0,0.833,0.167,0.6369
2,2022-10-03,"Photos show massive recovery days after Hurricane Ian hit Florida, Carolinas","Insurers could face costs of up to $57 billion from Hurricane Ian's destruction in Florida and South Carolina, risk modeling firm Verisk said Monday.",0.209,0.791,0.0,-0.7003
3,2022-10-03,Satellite operator Viasat up 35% after selling military communications unit to L3Harris for $2 billion,"Satellite operator Viasat is selling a piece of its government business to defense contractor L3Harris, in a deal worth nearly $2 billon.",0.0,0.841,0.159,0.34
4,2022-10-03,We're moving money from an oil name to a beauty stock that would benefit from a China Covid shift,This trade will result in a nearly dollar for dollar switch out of energy and into a name we think stands to benefit from a possible Covid policy change.,0.0,0.825,0.175,0.6249
5,2022-10-03,Tillerson Set to Take Stand Agains Barrack in Trial...,Former US Secretary of State Rex Tillerson will appear as a government witness Monday afternoon at Tom Barrack’s trial on charges that he acted as an unregistered foreign agent.,0.072,0.928,0.0,-0.2732
6,2022-10-03,General Motors says sales rose 24% in the third quarter,"GM said it sold 555,580 vehicles from July through September, up from 447,000 a year earlier.",0.0,1.0,0.0,0.0
7,2022-10-03,Fed Outlook For The Fourth Quarter (Audio),Understand every aspect of the global economy – and know how to make your next move.,0.0,1.0,0.0,0.0
8,2022-10-03,"Norwegian Cruise Line ends all Covid-19 testing, masking and vaccination requirements","Norwegian Cruise Line announced Monday that it will suspend all Covid-19 testing, masking and vaccination requirements effective this week.",0.103,0.759,0.138,0.2023
9,2022-10-03,Social Media Company Liability Draws US Supreme Court Scrutiny,"The US Supreme Court will decide whether social media companies can be sued for hosting and recommending terrorist content, taking up two cases that challenge their liability protections.",0.184,0.678,0.138,-0.3818
