,summary,date
0,Stock pickers are generally looking for stocks that will outperform the broader market. And while active stock picking...,2022-09-19
1,"Shares of Assurant Inc. slipped 0.10% to $155.76 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",2022-09-15
2,"Shares of Assurant Inc. slid 1.62% to $155.92 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-09-14
3,"Shares of Assurant Inc. slid 3.06% to $158.49 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-09-13
4,"NEW YORK, September 13, 2022--Assurant (NYSE:AIZ), a leading global business services company that supports, protects and connects major consumer purchases, today revealed that consumers are continuing to hold on to their smartphones for longer, with the average age turned in through trade-in and upgrade programs crossing the 3.5 years mark for the first time. $767 million was returned to US consumers in Q2 2022 through mobile device trade-in programs which is a 34% increase from the same quarte",2022-09-13
5,"Shares of Assurant Inc. shed 0.13% to $163.49 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-09-12
6,"Weekly summary of dividend activity for Dividend Champions, Contenders, Challengers. Check here to see companies with upcoming ex-dividend dates and upcoming pay dates.",2022-09-11
7,"Shares of Assurant Inc. shed 0.44% to $163.70 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-09-09
8,Assurant's (AIZ) strategic partnership with BuyBack Booth will help expand leading device trade-in technology portfolio.,2022-09-08
9,"Shares of Assurant Inc. rose 1.39% to $164.42 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-09-08
10,American International Group (AIG) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-07
11,"NEW YORK, September 07, 2022--Assurant (NYSE:AIZ), a leading global business services company that supports, protects and connects major consumer purchases, today announced its new strategic partnership and investment in ""Robot-as-a-Service"" company A La Carte Media Inc. dba as BuyBack Booth (""BuyBack Booth""). This exclusive partnership is aimed at driving innovation, an expanded and improved customer experience, and better economics for retail mobile device trade-in programs offered by wireless",2022-09-07
12,"Shares of Assurant Inc. slid 0.69% to $158.90 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-09-02
13,"Shares of Assurant Inc. inched 0.95% higher to $160.00 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",2022-09-01
14,Assurant (AIZ) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-01
15,"Shares of Assurant Inc. inched 0.20% higher to $158.49 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-08-31
16,"Shares of Assurant Inc. slid 1.79% to $158.17 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-08-30
17,"Shares of Assurant Inc. sank 0.31% to $161.05 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-08-29
18,"AM Best has revised the outlooks to positive from stable and affirmed the Financial Strength Rating of A and the Long-Term Issuer Credit Ratings of 'a+' of the U.S. property/casualty ... | August 29, 2022",2022-08-29
19,"Shares of Assurant Inc. shed 2.14% to $161.55 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-08-26
20,"OLDWICK, N.J., August 26, 2022--AM Best has revised the outlooks to positive from stable and affirmed the Financial Strength Rating (FSR) of A (Excellent) and the Long-Term Issuer Credit Ratings (Long Term ICR) of ""a+"" (Excellent) of the U.S. property/casualty (P/C) subsidiaries of Assurant, Inc. (Assurant) (headquartered in New York, NY) [NYSE: AIZ]. These companies are collectively referred to as Assurant P&C Group (Assurant P&C). At the same time, AM Best has revised the outlook to positive a",2022-08-26
21,"Shares of Assurant Inc. inched 0.77% higher to $165.77 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-08-25
22,"Shares of Assurant Inc. inched 0.32% higher to $164.50 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",2022-08-24
23,"dividend channel,AIZ,KNSL,XPER,",2022-08-24
24,"Shares of Assurant Inc. sank 0.53% to $163.97 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-08-23
25,"Shares of Assurant Inc. slid 4.08% to $164.84 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-08-22
26,"In trading on Monday, shares of Assurant Inc (AIZ) crossed below their 200 day moving average of $168.57, changing hands as low as $168.26 per share - Assurant Inc shares are currently trading down about 2.1% on the day. - AIZ.",2022-08-22
27,"A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates.",2022-08-21
28,"Investor Presentation Second Quarter 2022 © 2022 Assurant, Inc. All rights reserved. 1 ... | August 20, 2022",2022-08-20
29,"Shares of Assurant Inc. inched 0.04% higher to $171.85 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-08-19
30,"Continued mobile subscriber growth, organic growth across distribution channels and effective capital deployment continue to drive Assurant (AIZ).",2022-08-19
31,"Shares of Assurant Inc. inched 0.14% higher to $171.78 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",2022-08-18
32,"Shares of Assurant Inc. inched 0.77% higher to $171.54 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-08-17
33,"Shares of Assurant Inc. advanced 1.78% to $170.23 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-08-16
34,"Shares of Assurant Inc. inched 0.59% higher to $167.26 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-08-15
35,"A look at the shareholders of Assurant, Inc. ( NYSE:AIZ ) can tell us which group is most powerful. Institutions will...",2022-08-15
36,"Shares of Assurant Inc. rose 1.74% to $166.28 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-08-12
37,"Shares of Assurant Inc. inched 0.94% higher to $163.44 Thursday, on what proved to be an all-around mixed trading session for the stock market, with the Dow...",2022-08-11
38,"Shares of Assurant Inc. advanced 2.40% to $161.91 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-08-10
39,"MetLife, American International, The Hartford Financial Services, Assurant and Radian Group are part of Zacks Industry Outlook article.",2022-08-05
40,"NEW YORK, August 04, 2022--Assurant, Inc. (NYSE: AIZ), a leading global business services company that supports, protects and connects major consumer purchases, announced today that its Board of Directors declared a quarterly dividend of $0.68 per share of common stock. The dividend will be payable on September 19, 2022 to stockholders of record as of the close of business on August 29, 2022.",2022-08-04
41,"Shares of Assurant Inc. rallied 1.39% to $156.24 Thursday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-08-04
42,"The following discussion and analysis of our financial condition and results ofoperations should be read in conjunction with Management's Discussion andAnalysis of Financial Condition and Results... | August 4, 2022",2022-08-04
43,"Better pricing, product redesigns, technological advancement along with optimistic growth outlook are expected to aid multiline insurers like MET, AIG, HIG, AIZ and RDN as the impact of the pandemic recedes.",2022-08-04
44,"MGIC Investment (MTG) Q2 results reflect higher premiums, partially offset by higher expenses",2022-08-04
45,"Shares of Assurant Inc. took a -10% dive 10.18% to $154.10 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",2022-08-03
46,Assurant's (AIZ) Q2 results reflect higher net investment income offset by higher catastrophes and expenses.,2022-08-03
47,"Assurant, Inc. (NYSE:NYSE:AIZ) Q2 2022 Earnings Conference Call August 03, 2022, 08:00 ET Company Participants Suzanne Shepherd - SVP, IR &amp; Sustainability Keith Demmings - President,...",2022-08-03
48,"Assurant (AIZ) delivered earnings and revenue surprises of -8.10% and 2.75%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-08-02
49,"NEW YORK, August 02, 2022--Assurant, Inc. (NYSE: AIZ), a leading global business services company that supports, protects and connects major consumer purchases, today reported results for the second quarter ended June 30, 2022.",2022-08-02
50,"NEW YORK _ Assurant Inc. on Tuesday reported second-quarter profit of $52.2 million. The New York-based company said it had profit of 95 cents per share. Earnings, adjusted for... | August 2, 2022",2022-08-02
51,The company now expects: ... AIZ,2022-08-02
52,Reports Q2 revenue $2.51B... AIZ,2022-08-02
53,"James River Group (JRVR) delivered earnings and revenue surprises of 6.12% and 5.81%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-08-01
54,"Redesigning and repricing of products and services, solid retention, favorable renewals and reinsurance agreements are likely to aid insurers' second-quarter results. AIZ, PRU, VOYA, MKL, NMIH are set to report results on Aug 1.",2022-08-01
55,Aflac's (AFL) second-quarter results are likely to reflect a decline in total net earned premiums.,2022-08-01
56,"Assurant's (AIZ) second-quarter results are likely to reflect organic growth from strong U.S. sales, an increase in global mobile devices serviced and continued growth from renters insurance.",2022-07-29
57,Trean Insurance (TIG) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-27
58,Here is how American Campus Communities (ACC) and Assurant (AIZ) have performed compared to their sector so far this year.,2022-07-27
59,Assurant (AIZ) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-26
60,"For beginners, it can seem like a good idea (and an exciting prospect) to buy a company that tells a good story to...",2022-07-25
61,"Shares of Assurant Inc. inched 0.57% higher to $169.74 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-07-22
62,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
63,"Shares of Assurant Inc. inched 0.22% higher to $168.78 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-07-21
64,GuruFocus Article or News written by insider and the topic is about: ,2022-07-21
65,"Shares of Assurant Inc. inched 0.07% higher to $168.41 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-07-20
66,Assurant (AIZ) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,2022-07-20
67,"Ownership Submission FORM 4 Check this box if no longer... | July 19, 2022",2022-07-19
68,"""Knock at the Cabin,"" a new film by director M. Night Shyamalan, is the first adaptation of one of Paul Tremblay's horror novels.",2022-07-16
69,"Shares of Assurant Inc. slumped 0.36% to $166.88 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-07-15
70,"Ride-related injuries dropped by more than 60% between 2004 and 2019, according to the International Association of Amusement Parks and Attractions.",2022-07-15
71,"Shares of Assurant Inc. slipped 4.03% to $167.49 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-07-14
72,"CNBC obtained a list of nearly 20 corporations and trade groups that RSVP'd to attend a swanky, three-day retreat at the Breakers resort starting Sunday.",2022-07-14
73,"Shares of Assurant Inc. inched 0.81% higher to $174.53 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-07-13
74,The streamer announced in April that it was planning on rolling out an ad-supported tier after years of resisting the move.,2022-07-13
75,These companies have beaten the S&P 500 year to date,2022-07-13
76,"Shares of Assurant Inc. shed 2.46% to $173.13 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-07-12
77,"""Succession"" tops the 2022 Emmy Award nominations followed by ""Ted Lasso"" and ""The White Lotus.""",2022-07-12
78,"With U.S. stock markets set to open in two hours, (HALO) was up 12.0% in pre-market trading, and (STX) was up 6.3%. (AIZ), (BR), and (BEP) were all posting...",2022-07-12
79,"NEW YORK, July 11, 2022--Assurant, Inc. (NYSE:AIZ), a leading global business services company that supports, protects and connects major consumer purchases, has been recognized as one of Ward’s top 50 performing property and casualty insurers for the 16th consecutive year. In addition, the company was recognized for outstanding financial results in the areas of safety, consistency and performance over the past five years.",2022-07-11
80,"Moviegoers aren't just returning to cinemas, they are spending more on premium tickets and concessions.",2022-07-11
81,"Shares of Assurant Inc. advanced 1.37% to $177.49 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-07-11
82,"Assurant, Inc. , a leading global business services company that supports, protects and connects major consumer purchases, has been recognized as one of Ward’s top 50 performing property and... | July 11, 2022",2022-07-11
83,"the online investor,AIZ,FFIV,",2022-07-11
84,"""Thor: Love and Thunder"" tallied $143 million during its domestic debut, pushing the overall weekend haul to more than $200 million.",2022-07-10
85,AIZ has outperformed the S&P 500 by a wide margin over the last 12 months.,2022-07-10
86,"A movie industry panel discusses how it assigns ratings to newly released films, including details about what constitutes an R rating.",2022-07-09
87,"Strength in Global Lifestyle business, growth in fee-based capital-light businesses and solid capital management poise Assurant (AIZ) well for growth.",2022-07-08
88,"NEW YORK, July 06, 2022--Assurant, Inc. (NYSE: AIZ), a leading global business services company that supports, protects and connects major consumer purchases, will release second quarter 2022 financial results on Tuesday, August 2, 2022, after the market closes. The news release will be available on Assurant's website at www.assurant.com. In conjunction with the earnings release, Assurant will host a conference call the following morning, Wednesday, August 3, 2022, at 8:00 a.m. ET. The call will",2022-07-06
89,"Item 7.01. Regulation FD Disclosure.On July 6, 2022, Assurant, Inc. announced that it has finalizedits 2022 property catastrophe reinsurance program.2022 Catastrophe Reinsurance Program... | July 6, 2022",2022-07-06
90,"In an era of flagship streaming services like Disney+ and Peacock, Hulu is caught in the middle. ",2022-07-06
91,"'Minions' and 'Toy Story' are among the most popular and profitable franchises for their respective studios — so why did ""Minions"" soar and ""Lightyear"" flop?
",2022-07-05
92,"""Minions: The Rise of Gru"" generated more than $108 million in ticket sales during its domestic opening weekend.",2022-07-03
93,"Large-cap, value-oriented dividend stocks are the engine for one of the few diversified stock mutual funds that is outperforming the broad market.",2022-06-30
94,A publicly traded Starz may look to increase in size by targeting other subscale media and entertainment companies.,2022-06-29
95,A string of solid theatrical performances coupled with a strong slate of upcoming films has left most box office analysts optimistic.,2022-06-29
96,"Shares of Assurant Inc. rallied 2.10% to $172.86 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-06-24
97,"Becton Dickinson upgrade, H.B. Fuller downgrade, Shopify resumption among today's top calls on Wall Street BDX, MO, ACB, FUL, DENN, BAX, SHOP, IRM, AMP, AIZ, NUVL, BMY, TPTX, CANO, BLCO, SUN, PGR",2022-06-24
98,Piper Sandler analyst Joh... AIZ,2022-06-24
99,"Shares of Assurant Inc. slid 1.10% to $169.31 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-06-23
100,"Shares of Assurant Inc. slipped 0.28% to $171.20 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-06-22
101,"Shares of Assurant Inc. advanced 1.08% to $171.68 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-06-21
102,"Amid a flurry of macroeconomic pressures, Wall Street analysts still feel very bullish about the stocks they cover.",2022-06-21
103,"Pixar's ""Lightyear"" rocketed to a $51 million domestic opening, the best performance of an animated feature since the pandemic began.",2022-06-19
104,"Shares of Assurant Inc. inched 0.46% higher to $169.85 Friday, on what proved to be an all-around mixed trading session for the stock market, with the S&P...",2022-06-17
105,"Shares of Assurant Inc. slipped 2.40% to $169.08 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-06-16
106,"One of the best ways to make money in stocks is to buy dividend stocks.  When inflation is running high, dividend stocks are an even better investment.  According to Fidelity, dividends have accounted for 40% of the S&P 500's total returns since 1930.",2022-06-16
107,"Shares of Assurant Inc. shed 1.57% to $173.24 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-06-15
108,"Netflix disrupted traditional TV by releasing entire seasons of shows all at once. Now, the model is under scrutiny as the streamer deals with big losses.",2022-06-15
109,"With its stock down 5.2% over the past week, it is easy to disregard Assurant (NYSE:AIZ). However, a closer look at its...",2022-06-15
110,"Shares of Assurant Inc. rallied 1.92% to $176.01 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-06-14
111,"It’s official: after this past Monday’s trading, the S&P 500 has joined the NASDAQ in a bear market. The index has fallen more than 21% year-to-date, not as deep a loss as the NASDAQ’s 31% but still enough to give investors indigestion. It also brings up a vital question: how to maintain the portfolio in a difficult stock environment? Enter Jim Cramer. The well-known host of CNBC’s ‘Mad Money’ program has never been at a loss for advice to give, and he’s come through once again. His word for sto",2022-06-14
112,"Itâs official: after this past Mondayâs trading, the SP 500 has joined the NASDAQ in a bear market. The index has fallen more than 21% year-to-date, not as dee...",2022-06-14
113,"Shares of Assurant Inc. slipped 0.70% to $172.69 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-06-13
114,"""Jurassic World: Dominion"" roared to the top of the domestic box office over the weekend, generating more than $143 million in ticket sales during its debut.",2022-06-12
115,"The well-performing Global Lifestyle business, growth in fee-based capital-light businesses and solid capital management continue to drive Assurant (AIZ).",2022-06-10
116,"""Jurassic World: Dominion"" may score to top spot at the domestic box office this weekend, but lackluster critical reviews and word of mouth could stall its potential haul.",2022-06-09
117,"Universal's ""Jurassic World: Dominion"" enters domestic theaters Friday, and it will snag the majority of premium format screens from ""Top Gun: Maverick.""",2022-06-09
118,"Shares of Assurant Inc. inched 0.95% higher to $179.93 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-06-02
119,Assurant (AIZ) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-06-02
120,"Shares of Assurant Inc. inched 0.87% higher to $178.23 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-06-01
121,"NEW YORK, May 31, 2022--Assurant, Inc. (NYSE: AIZ), a leading global business services company that supports, protects and connects major consumer purchases, today announced it will participate in the William Blair Growth Stock Conference in Chicago on Wednesday, June 8, 2022. Assurant president and chief executive officer Keith Demmings will present an overview of Assurant’s strategic vision and competitive advantages, beginning at 11:00 a.m. ET (10:00 a.m. CT). In addition, the conference will",2022-05-31
122,"Shares of Assurant Inc. shed 2.60% to $176.69 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-05-31
123,Netflix's fall from grace has ended the first act of the streaming wars. Act two will determine whether the industry can right itself.,2022-05-29
124,"Shares of Assurant Inc. rallied 1.14% to $181.41 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-05-27
125,Aegon's (AEG) division Aegon AM completes the first investment as part of its ESG-centric venture with Taurus and endeavor to bolster its asset portfolio.,2022-05-27
126,"Shares of Assurant Inc. sank 0.67% to $180.05 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-05-26
127,"Shares of Assurant Inc. inched 0.29% higher to $181.27 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-05-25
128,Here is how Assurant (AIZ) and Cigna (CI) have performed compared to their sector so far this year.,2022-05-25
