,summary,date
0,"Over the past year, insiders sold US$48m worth of Applied Materials, Inc. ( NASDAQ:AMAT ) stock at an average price of...",2022-09-20
1,"California-based Applied Materials, Inc. (NASDAQ:AMAT) is a pioneer in making equipment and software required for the fabrication of integrated circuits or chips. T...",2022-09-19
2,"Shares of Applied Materials Inc. slipped 0.06% to $88.87 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-09-16
3,"Lowe's, Estee Lauder, Applied Materials, General Dynamics and Delta Air Lines are included in this Analyst Blog.",2022-09-16
4,"Today's Research Daily features new research reports on 16 major stocks, including Lowe's Companies, Inc. (LOW), The Estee Lauder Companies Inc. (EL) and Applied Materials, Inc. (AMAT).",2022-09-15
5,"Shares of Applied Materials Inc. slipped 1.90% to $88.92 Thursday, on what proved to be an all-around dismal trading session for the stock market, with the...",2022-09-15
6,GuruFocus Article or News written by Sydnee Gatewood and the topic is about: Update from Portfolio Managers Christopher Davis and Danton Goei,2022-09-15
7,Here's why we're exiting this technology name and why we're adding to these two other holdings.,2022-09-14
8,"Shares of Applied Materials Inc. inched 0.28% higher to $90.64 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",2022-09-14
9,"KLA Corporation could have limits to what it can sell to China, which makes up nearly one-third of revenue.",2022-09-14
10,"Technology stocks sold off again over the past month, but in the long term, innovation will win out. Now's the time to take advantage.",2022-09-14
11,"Shares of semiconductor favorites Advanced Micro Devices (NASDAQ: AMD), Applied Materials (NASDAQ: AMAT), and Micron Technology (NASDAQ: MU) plunged Tuesday following the August consumer price index (CPI) release, down 7.6%, 5%, and 6%, respectively, as of 1:11 p.m. ET.  The synchronous decline wasn't hard to figure out -- this morning's CPI report came in higher than expected.  Since so much this year has been about inflation, and the Federal Reserve's response to that inflation, it's no surprise to see these tech stocks down big today.",2022-09-13
12,"Shares of Applied Materials Inc. shed 6.14% to $90.39 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",2022-09-13
13,"The U.S. administration is may widen the restrictions on exports of semiconductors to China in order to limit China's ability to import technology that can be used against U.S. national security interests. Stocks like AMAT, KLAC, LRCX have 27%+ revenue exposure to the Chinese market which may be affected.",2022-09-13
14,"Shares of Applied Materials Inc. slipped 0.22% to $96.30 Monday, on what proved to be an all-around positive trading session for the stock market, with the...",2022-09-12
15,"Applied Materials, Inc. (NASDAQ:NASDAQ:AMAT) Goldman Sachs Communacopia + Technology Conference September 12, 2022 11:15 AM ET Company Participants Gary Dickerson - President and CEO...",2022-09-12
16,"Despite short-term disappointments, the semiconductor industry is undergoing various secular shifts, and WFE is a key enabler.",2022-09-12
