,summary,date
0,"Weekly summary of dividend activity for Dividend Champions, Contenders, Challengers. See here the companies with upcoming ex-dividend dates and upcoming pay dates.",2022-09-18
1,"Shares of Avery Dennison Corp. slipped 3.34% to $173.37 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-09-16
2,"Ownership Submission FORM 4 Check this box if no longer... | September 15, 2022",2022-09-15
3,"Shares of Avery Dennison Corp. shed 0.46% to $179.36 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",2022-09-15
4,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",2022-09-15
5,"Shares of Avery Dennison Corp. shed 2.43% to $180.19 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-09-14
6,"Shares of Avery Dennison Corp. slid 3.84% to $184.67 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",2022-09-13
7,"Shares of Avery Dennison Corp. inched 0.52% higher to $192.05 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",2022-09-12
8,"Shares of Avery Dennison Corp. slipped 0.02% to $185.48 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-09-02
9,"Some investors rely on dividends for growing their wealth, and if you're one of those dividend sleuths, you might be...",2022-09-02
10,"Shares of Avery Dennison Corp. rose 1.03% to $185.51 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-09-01
11,"Shares of Avery Dennison Corp. dropped 0.29% to $183.62 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",2022-08-31
12,"Shares of Avery Dennison Corp. slipped 0.99% to $184.15 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-08-30
13,"dividend channel,AVY,",2022-08-30
14,"Shares of Avery Dennison Corp. shed 1.48% to $185.99 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-08-29
15,Avery Dennison has done well to increase its sales and profits over the past couple of quarters. See why I rate AVY stock as a soft âbuyâ prospect today.,2022-08-29
16,"A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Click here for an update on dividend stocks for the week of Aug 28.",2022-08-28
17,Avery Dennison (AVY) is worth retaining in your portfolio owing to the strong demand for labeling technology and high investment in high-value products despite inflated material costs.,2022-08-26
18,"Shares of Avery Dennison Corp. slid 3.54% to $188.78 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-08-26
19,"Shares of Avery Dennison Corp. rose 1.02% to $195.70 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-08-25
20,Avery Dennison Corporation's ( NYSE:AVY ) dividend will be increasing from last year's payment of the same period to...,2022-08-25
21,"Shares of Avery Dennison Corp. inched 0.12% higher to $193.72 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",2022-08-24
22,"Announcement of Periodic Review: Moody's announces completion of a periodic review for a group of Chemical issuersGlobal Credit Research - 23 Aug 2022New York, August 23, 2022 -- Moody's Investors Service (""Moody's"") has completed a periodic review of the ratings -and other ratings that are associated with the same analytical units for the rated entity(entities) listed below.The review was conducted through a portfolio review discussion held on 16 August 2022 in which Moody's reassessed the appropriateness of the ratings in the context of the relevant principal methodology(ies), recent developments, and a comparison of the financial and operating profile to similarly rated peers.  A possible outcome from periodic reviews is a referral of a rating to a rating committee.This publication does not announce a credit rating action and is not an indication of whether or not a credit rating action is likely in the near future.",2022-08-23
23,"Shares of Avery Dennison Corp. slumped 0.45% to $193.49 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-08-23
24,"Shares of Avery Dennison Corp. slid 1.36% to $194.37 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-08-22
25,"Shares of Avery Dennison Corp. slid 1.23% to $197.05 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-08-19
26,"Shares of Avery Dennison Corp. slid 0.72% to $199.50 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-08-18
27,"Shares of Avery Dennison Corp. slid 1.55% to $200.95 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",2022-08-17
28,"Shares of Avery Dennison Corp. rose 1.46% to $204.12 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-08-16
29,"Shares of Avery Dennison Corp. shed 0.64% to $201.18 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-08-15
30,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",2022-08-12
31,"Shares of Avery Dennison Corp. sank 0.12% to $193.29 Friday, on what proved to be an all-around mixed trading session for the stock market, with the Dow...",2022-08-05
32,"Shares of Avery Dennison Corp. inched 0.21% higher to $193.53 Thursday, on what proved to be an all-around grim trading session for the stock market, with...",2022-08-04
33,"Shares of Avery Dennison Corp. advanced 1.39% to $193.12 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",2022-08-03
34,"Shares of Avery Dennison Corp. inched 0.02% higher to $190.47 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the...",2022-08-02
35,"Management's Discussion and Analysis of Financial Condition and Results ofOperations, or MD&A, provides management's views on our financial condition andresults of operations and should be read... | August 2, 2022",2022-08-02
36,"Staff article entitled Avery Dennison Achieves #85 Analyst Rank, Surpassing American Electric Power , about ETFs, from ETF Channel.",2022-08-02
37,"The latest tally of analyst opinions from the major brokerage houses shows that among the components of the S&P 500 index, Avery Dennison is now the #85 analyst pick, moving up by 3 spots - This rank is formed by averaging the analyst opinions for each component from each broker, and then ranking the 500 components by those average opinion values - AVY.",2022-08-02
38,"Shares of Avery Dennison Corp. dropped 0.02% to $190.43 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-08-01
39,"Shares of Avery Dennison Corp. inched 0.70% higher to $190.46 Friday, on what proved to be an all-around great trading session for the stock market, with the...",2022-07-29
40,"Over the past couple of years, we have collected volumes of data on Congressional insider trading. Read how you can trade like U.S. Congress here.",2022-07-29
41,After Robert W. Baird and Raymond James gave Avery Dennison (NYSE: <a href='https://www.tipranks.com/stocks/avy?ref...,2022-07-29
42,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-07-28
43,These are the stocks posting the largest moves in midday trading. ,2022-07-28
44,Companies in the  Materials sector have received a lot of coverage today as analysts  weigh in on Avery Dennison (<span class='tr-stock-ticker' style='color:blue; f...,2022-07-28
45,Companies in the  Materials sector have received a lot of coverage today as analysts  weigh in on Albany International (<span class='tr-stock-ticker' style='color:b...,2022-07-28
46,"MENTOR, Ohio, July 28, 2022--The Board of Directors of Avery Dennison Corporation (NYSE:AVY) has declared a quarterly cash dividend of $0.75 per share. The dividend is payable on September 21, 2022, to shareholders of record on September 7, 2022.",2022-07-28
47,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
48,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
49,"In a report released today, John McNult...",2022-07-28
50,"dividend channel,AVY,",2022-07-28
51,"Avery Dennison Corp (NYSE:NYSE:AVY) Q2 2022 Earnings Conference Call July 27, 2022, 10:30 ET Company Participants John Eble - Executive, IR Mitchell Butier - Chairman &amp; CEO Gregory...",2022-07-27
52,Avery Dennison's (AVY) Q2 earnings reflect higher sales in all segments.,2022-07-27
