,summary,date
0,"In this article, we will take a look at the 10 Dow Jones Stocks to Buy According to Hedge Funds. To skip our analysis of the Dow Jones Industrial Average Index, its performance, and weighting of the components, you can go directly to see the 5 Dow Jones Stocks to Buy According to Hedge Funds. […]",2022-09-21
1,"Shares of American Express Co. slipped 3.11% to $148.71 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-09-21
2,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,2022-09-21
3,"Two dozen Republican attorneys general are urging Visa, MasterCard, and American Express to drop their plans for a new store code for gun retailers.

",2022-09-21
4,"When Berkshire Hathaway (NYSE: BRK.A)(NYSE: BRK.B) CEO Warren Buffett buys or sells a stock, the investing community wisely pays close attention.  Since taking the reins in 1965, Buffett has led his company's Class A shares (BRK.A) to an aggregate gain of 3,641,613%, through Dec. 31, 2021.  While there are a lot of factors that have played a role in Warren Buffett's success, including his love of cyclical companies and dividend stocks, it's his patience that's proven most important.",2022-09-21
5,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-21
6,"Shares of American Express Co. shed 1.21% to $153.48 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-09-20
7,American Express (AXP) expects 60% of the total hiring to be in the United States.,2022-09-20
8,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-20
9,"Visa, Mastercard and Amex recently decided to adopt a merchant code for firearms retailers. Republican attorneys general across several states warned the plan could lead to the misuse of consumer data.",2022-09-20
10,By selling US$14m worth of American Express Company ( NYSE:AXP ) stock at an average sell price of US$180 over the last...,2022-09-20
11,"American Express Co (NYSE: AXP) shared plans to hire 1,500 people for technology roles dispelling slowdown concerns as its peers slashed jobs and cut expenses. The new hires would fill roles like data scientist, software engineer, and others by the end of the year, Reuters reported. AmEx had already brought in 3,600 tech employees this year. AmEx bumped up its annual revenue forecast in July, boosted by a surge in spending on travel and entertainment. Contrastingly, Goldman Sachs Group, Inc (NYS",2022-09-20
12,"Yahoo Finance reporter Ines Ferre details how American Express is planning to hire roughly 1,500 coders, engineers, and data analysts for its technology division.",2022-09-19
13,"The company has already brought in around 3,600 tech employees this year, a spokesperson for the credit card giant said in an emailed statement.  New York-based AmEx bumped up its annual revenue forecast in July, boosted by a surge in spending on travel and entertainment.  Moderate inflation tends to benefit credit card companies, which charge a percentage on the dollar value of transactions as fees.",2022-09-19
14,"Shares of American Express Co. advanced 1.49% to $155.36 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-09-19
15,American Express is seeki... AXP,2022-09-19
16,"American Express (AXP) closed the most recent trading day at $153.08, moving -1.95% from the previous trading session.",2022-09-16
