,summary,date
0,"Puma Biotechnology (PBYI) inks license agreement with Japan's Takeda Pharmaceuticals, gaining worldwide development and commercialization rights to the latter's cancer treatment alisertib.",2022-09-21
1,"Merck's share price continues to remain close to its all-time highs, despite the significant decline in S&P 500 in last 2 quarters. Read more about MRK stock here.",2022-09-21
2,"dividend channel,BMY,",2022-09-21
3,Meetings to be held in Ho... BMY,2022-09-21
4,"Shares of biotech concern Terns Pharmaceuticals are up some 150% after consummating a secondary offering at $2.42 a share, announced on August 12, 2022.",2022-09-20
5,"Shares of Bristol Myers Squibb Co. slumped 0.66% to $69.73 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the...",2022-09-20
6,"By Karin Shanahan, Executive Vice President, Global Product Development and Supply",2022-09-20
7,"One of the best investments we can make is in our own knowledge and skill set. With that in mind, this article will...",2022-09-20
8,"Biotech & Biopharma A... DICE, JNJ, BMY, ARQT, ROIV, RAPT, ABBV, PFE, INCY, ACRS, ALLK",2022-09-20
9,"Cambridge, MASS. - Aktis Oncology, a biotechnology company discovering and developing novel classes of targeted alpha radiopharmaceuticals to treat a broad range of solid tumors, announced the... | September 20, 2022",2022-09-20
10,Pharmaceuticals/biotechnology and healthcare providers are undervalued relative to 11-year averages. Healthcare equipment is the most overpriced subsector.,2022-09-20
11,Joe Biden’s cancer moonshot gave some of the drug companies a big shot in the arm. These three stocks all are doing big things in oncology. ,2022-09-20
12,"Shares of Bristol Myers Squibb Co. slipped 1.86% to $70.19 Monday, on what proved to be an all-around great trading session for the stock market, with the...",2022-09-19
13,It's hard to imagine a world in which pharmaceutical spending doesn't increase year in and year out.,2022-09-19
14,The European Commission approved Bristol Myers Squibb & Co's (NYSE: BMY) fixed-dose combination of Opdualag (nivolumab and relatlimab) for melanoma patients aged 12 years and above. Melanoma is a form of skin cancer characterized by the uncontrolled growth of pigment-producing cells (melanocytes) in the skin. The approval covers the first-line treatment of advanced (unresectable or metastatic) melanoma in adults and adolescents with tumor cell PD-L1 expression < 1%. Also Read: Melanoma Study Ach,2022-09-19
15,Bristol Myers (BMY) gets EC approval for the fixed-dose dual immunotherapy combination treatment of the PD-1 inhibitor Opdivo (nivolumab and novel LAG-3-blocking antibody relatlimab.,2022-09-19
16,"Penny stocks are always a risky proposition. However, investors can still find penny stocks with buy ratings right now.",2022-09-19
17,"dividend channel,BMY,",2022-09-19
18,Meetings to be held in Ho... BMY,2022-09-19
19,"For Ventyx Biosciences, FDA approval triggered a big rally in its heavily shorted stock this week. Is the rise sustainable? Click here for a full investment analysis.",2022-09-18
20,"Warren Buffett once said that his ""favorite holding period is forever.""  In this article, three Motley Fool contributors choose stocks they think are candidates to buy and hold forever: Bristol Myers Squibb (NYSE: BMY), Johnson & Johnson (NYSE: JNJ), and Vertex Pharmaceuticals (NASDAQ: VRTX).  David Jagielski (Bristol Myers Squibb): One stock that you can buy and hold for the long haul is Bristol Myers Squibb.",2022-09-17
21,"One standout in a gloomy stock market this week was Ventyx Biosciences (NASDAQ: VTYX).  According to data compiled by S&P Global Market Intelligence, the clinical-stage biotech's shares soared more than 58% higher during the period, thanks to the approval of a drug that hasn't actually been developed by the company.  The treatment in question is Bristol Myers Squibb's deucravacitinib (brand name: Sotyktu), which was approved by the U.S. Food and Drug Administration (FDA) last Friday.",2022-09-16
