,summary,date
0,"Whether you're a value, growth, or momentum investor, finding strong stocks becomes easier with the Zacks Style Scores, a top feature of the Zacks Premium research service.",2022-09-21
1,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Focus List.",2022-09-21
2,"Hamburg Commercial Bank (HCOB) has successfully completed the transformation of its SEPA (Single Euro Payments Area) payments business to a cloud-based, next-generation platform run by leading global Fintech provider Broadridge Financial Solutions, Inc. (NYSE:BR). The transition was made to Broadridge's Payments as a Service and BPO operation that uses PPI AG's advanced payments technology. This latest move follows the earlier transition of HCOB's high-value TARGET and international SWIFT paymen",2022-09-21
3,"Shares of Broadridge Financial Solutions Inc. inched 0.88% higher to $165.07 Monday, on what proved to be an all-around positive trading session for the...",2022-09-19
4,"PepsiCo, UFP Industries, Carlisle Companies, Broadridge Financial and Silgan Holdings have been highlighted in this Screen of The Week article.",2022-09-19
5,"Shares of Broadridge Financial Solutions Inc. inched 0.01% higher to $163.63 Friday, on what proved to be an all-around grim trading session for the stock...",2022-09-16
6,"Steady sales growth is the key to survival for a business, even during an economic slowdown. Let's check PepsiCo (PEP), UFP Industries (UFPI), Carlisle (CSL), Broadridge Financial (BR) and Silgan (SLGN) that are recording top-line growth.",2022-09-16
7,"Fidelity, Schwab, Citadel to launch crypto exchange as analyst raises Coinbase price target BR, RIOT, $BTC, BTC, BITCOIN, $ETH, $LTC, $DOGE, SCHW, VIRT, COIN, MARA, BRPHF, AMD, NVDA, IDEX, OSTK, TEUM, SRAX",2022-09-16
8,"Shares of Broadridge Financial Solutions Inc. slid 1.89% to $163.61 Thursday, on what proved to be an all-around grim trading session for the stock market,...",2022-09-15
9,Companies are learning to engage with the new generation of retail investors that came into the stock market during Covid and are sticking around.,2022-09-15
10,Coinbase will use fintech firm Broadbridge Financial's NYFIX order-routing network to improve buy-side liquidity for traders.,2022-09-15
11,"Bringing liquidity and greater access to crypto trading, global Fintech leader, Broadridge Financial Solutions, Inc. (NYSE: BR), has announced a partnership with Coinbase, offering interoperability between Coinbase Prime and Broadridge Trading and Connectivity Solutions' NYFIX order-routing network.",2022-09-15
12,"Broadridge (BR) has annou... BR, COIN",2022-09-15
13,"Strong shareholder-friendly measures, a solid business model and strategic acquisitions boost Broadridge (BR) stock.",2022-09-14
14,"Shares of Broadridge Financial Solutions Inc. dropped 0.60% to $166.76 Wednesday, on what proved to be an all-around great trading session for the stock...",2022-09-14
15,"Item 7.01. Regulation FD Disclosure.On September 13, 2022, Broadridge Financial Solutions, Inc. posted its first quarter fiscal year end 2023 investor presentation to itswebsite at... | September 14, 2022",2022-09-14
16,"Shares of Broadridge Financial Solutions Inc. slipped 2.62% to $168.50 Tuesday, on what proved to be an all-around rough trading session for the stock...",2022-09-13
17,"As part of its eighth consecutive year being recognized, Broadridge Financial Solutions, Inc. (NYSE: BR), a global Fintech leader, is pleased to announce it ranks #10 on the 2022 IDC FinTech Rankings, rising four places from its 2021 ranking. Broadridge was also named among a select group of companies as a ""Fast Track FinTech,"" an accolade given only to those firms that continue to demonstrate consistent year-over-year financial growth.",2022-09-12
18,"Shares of Broadridge Financial Solutions Inc. inched 0.37% higher to $173.04 Monday, on what proved to be an all-around positive trading session for the...",2022-09-12
19,"In response to the growing drive for higher corporate governance standards – both globally and at a national market level - Broadridge Financial Solutions, Inc. (NYSE:BR) today announced it has commenced live operations of its new ""golden copy"" event notification and direct vote execution service for the Danish market. The service, delivered in collaboration with Danish central securities depositary Euronext Securities Copenhagen, enables global and domestic banks, custodians, wealth managers an",2022-09-12
20,"Weekly summary of dividend activity for Dividend Champions, Contenders, Challengers. Check here to see companies with upcoming ex-dividend dates and upcoming pay dates.",2022-09-11
21,"Shares of Broadridge Financial Solutions Inc. inched 0.86% higher to $172.41 Friday, on what proved to be an all-around positive trading session for the...",2022-09-09
22,"Readers hoping to buy Broadridge Financial Solutions, Inc. ( NYSE:BR ) for its dividend will need to make their move...",2022-09-09
23,"Shares of Broadridge Financial Solutions Inc. inched 0.81% higher to $170.94 Thursday, on what proved to be an all-around favorable trading session for the...",2022-09-08
24,Broadridge Financial Solutions wants to replace voluminous brokerage documents with a more concise and interactive experience for investors.,2022-09-08
25,"To better engage investors, empower advisors and accelerate digital transformation in the wealth management industry, global Fintech leader Broadridge Financial Solutions, Inc. (NYSE:BR) launched Wealth InFocus, a next-gen wealth communications experience designed on a foundation of investor research, with Cetera Financial Group (Cetera) as the first client. This new approach toward wealth communications provides a better digital experience according to 78% of Cetera's surveyed pilot clients, an",2022-09-08
26,"Shares of Broadridge Financial Solutions Inc. advanced 1.01% to $169.56 Wednesday, on what proved to be an all-around great trading session for the stock...",2022-09-07
27,"Broadridge Financial Solutions, Inc.'s ( NYSE:BR ) dividend will be increasing from last year's payment of the same...",2022-09-07
28,"Leveraging blockchain technology to alleviate the complexities faced by asset managers with funds in multiple geographies, global Fintech leader Broadridge Financial Solutions, Inc. (NYSE: BR), has released a multi-jurisdictional version of its private equity platform, Private Market Hub, now available to funds domiciled in North America.",2022-09-07
29,"Shares of Broadridge Financial Solutions Inc. inched 0.83% higher to $167.87 Tuesday, on what proved to be an all-around rough trading session for the stock...",2022-09-06
30,"Broadridge Financial Solutions, Inc. (NYSE: BR), a global Fintech leader, today announced that it is supporting German banking and securities services provider, DekaBank, with its market-leading solutions for the updated Shareholder Rights Directive (SRD II).",2022-09-06
31,Double-digit boosts from multiple companies in August. Click here to see the list of 12 stocks that will announce dividend increases in September.,2022-09-04
32,"Shares of Broadridge Financial Solutions Inc. slid 3.05% to $166.48 Friday, on what proved to be an all-around rough trading session for the stock market,...",2022-09-02
33,"Shares of Broadridge Financial Solutions Inc. inched 0.32% higher to $171.71 Thursday, on what proved to be an all-around great trading session for the stock...",2022-09-01
34,"Shares of Broadridge Financial Solutions Inc. slumped 0.82% to $171.17 Wednesday, on what proved to be an all-around rough trading session for the stock...",2022-08-31
35,"If you're not sure where to start when looking for the next multi-bagger, there are a few key trends you should keep an...",2022-08-31
36,"Shares of Broadridge Financial Solutions Inc. slid 0.72% to $172.59 Tuesday, on what proved to be an all-around dismal trading session for the stock market,...",2022-08-30
37,"Staff article entitled First Week of BR October 21st Options Trading, about stock options, from Stock Options Channel.",2022-08-29
38,"Shares of Broadridge Financial Solutions Inc. slipped 1.41% to $173.99 Friday, on what proved to be an all-around poor trading session for the stock market,...",2022-08-26
39,"Shares of Broadridge Financial Solutions Inc. rallied 1.14% to $176.48 Thursday, on what proved to be an all-around great trading session for the stock...",2022-08-25
40,"Shares of Broadridge Financial Solutions Inc. inched 0.48% higher to $174.49 Wednesday, on what proved to be an all-around positive trading session for the...",2022-08-24
41,"Broadridge Financial (BR) is executing well on its growth strategy in governance, capital markets and wealth management.",2022-08-24
42,"Shares of Broadridge Financial Solutions Inc. shed 0.57% to $173.66 Tuesday, on what proved to be an all-around dismal trading session for the stock market,...",2022-08-23
43,NRGU is a 3x leveraged Oil & Gas equities ETN from BMO that has delivered outstanding results in 2022. Read more about the technical analysis view on how to best trade NRGU now.,2022-08-23
44,"Shares of Broadridge Financial Solutions Inc. sank 0.78% to $174.65 Monday, on what proved to be an all-around poor trading session for the stock market,...",2022-08-22
