,summary,date
0,"Ameren (AEE) collaborates with Maryland Heights Community Center to develop a solar project to install 1,335 solar modules in the community center.",2022-09-20
1,"Item 7.01. Regulation FD Disclosure.On September 20, 2022, CenterPoint Energy Resources Corp. and VectrenUtility Holdings, LLC , each wholly-owned indirect subsidiaries ofCenterPoint Energy,... | September 20, 2022",2022-09-20
2,"Duke Energy's (DUK) arm, Duke Energy Florida, installs 250KWac solar photovoltaic panels and four EV charging stations in the parking area of the Clearwater Marine Aquarium.",2022-09-15
3,"Portland General Electric (POR) is a solid pick for your portfolio, given its rising earnings estimates, long-term investment plan and stable dividend payments.",2022-09-14
4,Utilities subsectors are overvalued by 12% to 31% relative to 11-year averages. RYU is an ETF with limited risk exposure to individual companies. Read more here.,2022-09-14
5,"At present, Alliant Energy (LNT) appears to be a better choice in the utility space compared with CenterPoint Energy (CNP).",2022-09-13
6,"Shares of CenterPoint Energy Inc. slid 2.27% to $32.35 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-09-13
7,"Shares of CenterPoint Energy Inc. inched 0.76% higher to $33.10 Monday, on what proved to be an all-around great trading session for the stock market, with...",2022-09-12
8,"CenterPoint Energy (CNP) makes a strong case for investment, given its rising estimates, regular dividend payment and stable price performance.",2022-09-09
9,"Shares of CenterPoint Energy Inc. inched 0.46% higher to $32.85 Friday, on what proved to be an all-around positive trading session for the stock market,...",2022-09-09
10,"If you want to compound wealth in the stock market, you can do so by buying an index fund. But one can do better than...",2022-09-09
11,"Shares of CenterPoint Energy Inc. inched 0.09% higher to $32.70 Thursday, on what proved to be an all-around great trading session for the stock market, with...",2022-09-08
12,"Shares of CenterPoint Energy Inc. rose 3.06% to $32.67 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-09-07
13,Here is how CenterPoint Energy (CNP) and Otter Tail (OTTR) have performed compared to their sector so far this year.,2022-09-07
14,"Shares of CenterPoint Energy Inc. sank 0.25% to $31.70 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-09-06
15,"Item 7.01. Regulation FD Disclosure.On September 6, 2022, CenterPoint Energy Resources Corp. and VectrenUtility Holdings, LLC , each wholly-owned indirect subsidiaries ofCenterPoint Energy,... | September 6, 2022",2022-09-06
16,"Item 7.01 Regulation FD Disclosure.Exhibit 99.1 to this Current Report on Form 8-K includes unaudited consolidatedfinancial statements of Vectren Utility Holdings, LLC , an indirectwholly-owned... | September 6, 2022",2022-09-06
17,Energy Transfer stock to be getting a lot more attention these days and the bandwagon is filling up. Check out 7 different topics relevant to ET investors.,2022-09-05
18,"Shares of CenterPoint Energy Inc. slipped 0.53% to $31.78 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-09-02
19,PPL (PPL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-02
20,"Shares of CenterPoint Energy Inc. rallied 1.33% to $31.95 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",2022-09-01
21,Duke Energy Corp (DUK) unveils the fulfillment of its pledge to deliver 700 MW of solar energy to its Florida customers.,2022-09-01
22,"Announcement of Periodic Review: Moody's announces completion of a periodic review for a group of North American Utilities issuersGlobal Credit Research - 30 Aug 2022New York, August 30, 2022 -- Moody's Investors Service (""Moody's"") has completed a periodic review of the ratings -and other ratings that are associated with the same analytical units for the rated entity(entities) listed below.The review was conducted through a portfolio review discussion held on 23 August 2022 in which Moody's reassessed the appropriateness of the ratings in the context of the relevant principal methodology(ies), recent developments, and a comparison of the financial and operating profile to similarly rated peers.  A possible outcome from periodic reviews is a referral of a rating to a rating committee.This publication does not announce a credit rating action and is not an indication of whether or not a credit rating action is likely in the near future.",2022-08-30
