,summary,date
0,The biggest operator on the Las Vegas Strip has some very positive things to share about what's next as Sin City continues its covid recovery.,2022-09-21
1,"Following the completion of a multimillion-dollar renovation of its original main entrance, iconic casino dome and porte-cochère, Caesars Palace now offers a lavish arrival experience fit for a Caesar. The redesigned space includes a dramatic entryway with a coffered ceiling, refreshed gaming areas and the new Galleria Bar in the hotel lobby.",2022-09-20
2,Legendary entertainer and music icon Donny Osmond has extended his award-winning solo residency inside Harrah's Las Vegas Showroom at Harrah's Las Vegas into 2023.,2022-09-20
3,"Caesars Entertainment (CZR) emphasizes on strategic partnerships to drive growth. However, a decline in traffic from pre-pandemic levels is a concern.",2022-09-20
4,Generally speaking the aim of active stock picking is to find companies that provide returns that are superior to the...,2022-09-20
5,Yahoo Finance Live anchors discuss how casino stocks are trading amid China’s plans to ease border entry rules.,2022-09-20
6,"The recent betting surge is a fundamental catalyst. And over the next couple of months, sports betting stocks will climb higher.",2022-09-20
7,"In this article, we will look at the 10 worst-performing S&P 500 stocks in 2022. If you want to explore similar stocks, you can also take a look at 5 Worst-Performing S&P 500 Stocks in 2022. Veteran Investor Sees S&P 500 Falling 26% British investor and co-founder of Boston-based GMO, Jeremy Grantham, forecasts the S&P […]",2022-09-19
8,"On Friday, New Jersey... BYD, MGM, CZR, CHDN, PENN, WYNN, LVS, GAN, PDYPY, WIMHY, DKNG",2022-09-19
9,The two casino giants keep trying to outdo each other as they battle for customers on the Las Vegas Strip.,2022-09-16
10,"Wall Street analysts follow S&P 500 stocks more closely than almost anyone. But even they get it wrong sometimes, too.",2022-09-16
11,Casino REITs have become a favorite for investors seeking inflation-hedged assets. Click here for out top stock picks from the sector.,2022-09-16
12,"Macau has seven bids for six concessions, Texas takes aim at 2023 for sports betting legislation and other notable stories in the sports betting and iGaming space. CHDN, DKNG, AMZN, MLCO, LVS, SCHYY, WYNN, PDYPY, MGM, PBTHF, PENN, RSI, CZR, SGHC, FUBO, ACEL, BALY, BYD, GAN",2022-09-16
13,"In this article, we discuss the 10 stocks David Tepper is buying for the rest of 2022. To skip the details of David Tepper’s achievements, investment philosophy, and information about Appaloosa Management, go directly to David Tepper Initiated Buying These 5 Stocks for the Rest of 2022. David Tepper is an American billionaire and a […]",2022-09-15
14,"In a report released today, Carlo Santarelli from Deutsche Bank maintained a Buy rating on Caesars Entertainment (CZR &#8211; Research Report), with a price target ...",2022-09-15
15,"As the sports calendar heats up, a powerhouse in sports and entertainment is hitting the road on a nationwide tour to reach sports fans where they cheer for their teams. Caesars Entertainment, Inc. (NASDAQ: CZR) (""Caesars"") today announced the launch of the Caesars Sportsbook & Casino Truck Tour, an expansive fan engagement campaign featuring a fully branded 18-wheeler traveling across the United States. The cutting-edge truck will stop at the biggest sporting events and select Caesars destinati",2022-09-14
16,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-13
17,"ATLANTIC CITY, N.J. — With the departure of the head of the Tropicana, none of Atlantic City's nine casinos is now led by a woman or a Black person — a rapid change from the diverse... | September 13, 2022",2022-09-13
18,"As it becomes normalized, the sports betting industry will keep growing by leaps and bounds. And certain well-positioned stocks will soar.",2022-09-13
19,"Unusual total active opti... HYMC, VFC, CZR, IEF, VALE, WFC, U, XLK, KR",2022-09-13
20,VICI Properties is a landlord of casino real estate with tenants such as Caesar's Entertainment and MGM Resorts. Click here to read about my fair value estimate for the stock.,2022-09-12
21,"Tim Seymour, Seymour Asset Management CIO and CNBC contributor, joins 'Power Lunch' to discuss his investing take on three stocks; Regeneron, Match Group and Caesars Entertainment.",2022-09-09
22,"Churchill Downs-FanDuel enter horse betting pact, mobile sports betting missing in Maryland, and other notable stories in the sports betting and iGaming space. DKNG, CZR, MGM, CHDN, FUBO, INVH, PENN, MCY, ACEL, BALY, BYD, PDYPY, GAN, GENI, LVS, RSI, WYNN",2022-09-09
23,"NFL season kicks off on Thursday night, marking not not only the return of America’s favorite sport but also  the beginning of the most important yearly stretch for gambling companies looking for sports bettors.",2022-09-08
24,"It's a time of transition on the Las Vegas Strip, and one famous name looks set to return in a big way.",2022-09-08
25,"Staff article entitled October 28th Options Now Available For Caesars Entertainment, about stock options, from Stock Options Channel.",2022-09-08
26,"Pretty much every major performer of every music genre spends some time in Las Vegas.  Sin City also has hologram-based shows in memory of Whitney Houston and Michael Jackson as well as a Cirque du Soleil show based on the music of the Beatles.  Rio, Caesars only property off the Strip, and Palms, which is owned by the San Manuel Gaming and Hospitality Authority, an affiliate of the San Manuel Band of Mission Indians, both have less-than-ideal locations.",2022-09-07
27,"Fubo Gaming, a subsidiary... FUBO, CZR",2022-09-07
28,"Pretty much every major performer of every music genre spends some time in Las Vegas.  Sin City also has hologram-based shows in memory of Whitney Houston and Michael Jackson as well as a Cirque du Soleil show based on the music of the Beatles.  Rio, Caesars only property off the Strip, and Palms, which is owned by the San Manuel Gaming and Hospitality Authority, an affiliate of the San Manuel Band of Mission Indians, both have less-than-ideal locations.",2022-09-07
29,Bullish option flow detec... CZR,2022-09-06
30,"Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week",2022-09-03
31,In this article we are going to share the list of hedge funds’ 10 best media and entertainment stocks to buy. You can skip our discussion and see the 5 Best Media Stocks To Buy here. Media and entertainment stocks have been hammered this year and this may be a good time to dip our […],2022-09-03
32,Silver Ring Value Partners portfolio reported a price to base case value ratio of 56% at the end of June 2022. Click here to read the full fund letter. ,2022-09-02
33,"An exciting new era of sports betting and poker play was ushered in this week with the grand openings of spectacular spaces at two Louisiana-based casinos. Part of Caesars Entertainment, Inc. (NASDAQ: CZR) (""Caesars""), Harrah's New Orleans and Horseshoe Bossier City Hotel & Casino each made history by opening state-of-the-art Caesars Sportsbook locations at their resorts. In addition, Harrah's debuted the largest poker room in Louisiana with its grand opening of the new World Series of Poker Roo",2022-09-02
34,September is a scary month for S&P 500 investors for good reason — it's the worst month of the year for stocks. But it doesn't have to be.,2022-09-02
35,An exciting new era of sp... CZR,2022-09-02
36,"Betting giants launch sportsbooks in Kansas, Nevada reported a dip in statewide gaming win, and other notable stories in the sports betting and iGaming space. ACEL, BALY, BYD, CZR, CHDN, DKNG, PDYPY, GAN, GENI, LVS, MGM, PENN, RSI, WYNN, FUBO, EIHDF, GMVHF",2022-09-02
37,Yahoo Finance's Josh Schafer discusses seeing Serena live in action and how sportsbooks may take a hit because of her success.,2022-09-01
38,"Caesars Entertainment, Inc. (NASDAQ: CZR) (""Caesars"") today announced its sports wagering mobile app, Caesars Sportsbook, is available for download in Kansas. Eligible sports fans can now enjoy mobile sports betting on iOS, Android, or desktop while taking advantage of industry-leading rewards.",2022-09-01
39,"LAS VEGAS - Caesars Entertainment announced today that Matt Sunderland has been appointed to Senior Vice President of iGaming effective Oct. 1. Sunderland joins the team with more than 20... | September 1, 2022",2022-09-01
40,Caesars Entertainment (CZR) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-01
41,Caesars Entertainment ann... CZR,2022-09-01
42,"Nevada reports July Las V... BYD, MGM, CZR, CHDN, PENN, WYNN, LVS, GAN, PDYPY, WIMHY, DKNG",2022-08-30
43,David Tepperâs 13F portfolio value decreased from $2.50B to $1.59B this quarter. Check out the 5 largest positions as of Q2 2022 here.,2022-08-28
44,"MGC notes interest in sportsbook licenses, politicians leverage sports betting legislation and other notable stories in the sports betting and iGaming space. PDYPY, SRAD, GENI, BALY, EIHDF, PBTHF, DKNG, GAN, WYNN, PENN, MGM, RSI, CZR, ELYS, ACEL, BYD, CHDN, LVS",2022-08-26
45,Penn looks like a sleeping giant to us with its price very attractive at $33 against general sector peers.,2022-08-24
46,"(Bloomberg) -- California has the potential to become, it’s estimated, a multi-billion-dollar sports gambling market, larger than everywhere in the world except the UK.Most Read from BloombergSaudi Prince Says Oil’s Disconnect May Force OPEC+ ActionHome Sellers Are Slashing Prices in Pandemic BoomtownsApple’s New iPhone 14 to Show India Closing Tech Gap With ChinaCovid Incubation Gets Shorter With Each New Variant, Study ShowsStocks Knocked Down as Torrid Rally Hits a Wall: Markets WrapWhich is",2022-08-23
47,The Park MGM on the Las Vegas Strip will bring back a huge star for a residency beginning in March 2023.,2022-08-22
48,"Staff article entitled First Week of September 23rd Options Trading For Caesars Entertainment, about stock options, from Stock Options Channel.",2022-08-22
49,Some of Sin City's most famous casinos have been undergoing big changes and another famous property has joined that list.,2022-08-21
50,A bold idea has been proposed for Sin City's incredibly busy street that could change the Las Vegas landscape.,2022-08-20
51,"Listen on the go! A daily podcast of Wall Street Breakfast will be available this morning on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-08-20
52,"In this piece we will take a look at the ten best Las Vegas stocks to buy now. If you want to skip our industry introduction and jump ahead to the top five stocks in this list, then take a look at 5 Best Las Vegas Stocks To Buy Now. One of the largest industries […]",2022-08-19
53,"Massachusetts gauges interest in sports betting licenses, Sportradar CFO leaves, and other notable stories in the sports betting and iGaming space. ACEL, BYD, CHDN, CZR, DKNG, ELYS, ERI, FUBO, GAN, LVS, MGM, MLCO, PDYPY, PENN, SCR, SGMS, SRAD, WYNN, BALY, GNOG",2022-08-19
54,Sin City looks set to welcome another massive resort/casino that's going to compete with industry leaders Caesars and MGM.,2022-08-18
55,PENN stock is in the news as the company buys the rest of Barstool Sports and content becomes king in online sports betting.,2022-08-18
56,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-17
57,Pro football's regular season gets under way Sept. 8 with a face-off between the Buffalo Bills and the Los Angeles Rams.,2022-08-17
58,Some companies are cutting back their promotions in states where they already have a foothold as profitability targets loom next year.,2022-08-17
59,"The Las Vegas Strip has been the heart of gambling in the U.S. for decades, but it's not as casino centric as you may think. Over the last 20 years, resorts have focused more on non-gaming activities like hotels, restaurants, entertainment, and shopping.",2022-08-17
60,GuruFocus Article or News written by insider and the topic is about: ,2022-08-17
61,"As previously reported, R... DKNG, PDYPY, PENN, CZR",2022-08-17
62,"Staff article entitled Insiders Bullish on Certain Holdings of BJK, about ETFs, from ETF Channel.",2022-08-16
63,"Staff article entitled Notable Monday Option Activity: CZR, LMT, LUMN, about stock options, from Stock Options Channel.",2022-08-15
64,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
65,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
66,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
67,GuruFocus Article or News written by insider and the topic is about: ,2022-08-14
68,Baron Real Estate Fund declined 20.62% (Institutional Shares) in the second quarter of 2022. Click here to read the full fund letter.,2022-08-13
69,"FanDuel Sportsbook reported its first quarterly profit on Friday, marking a seismic shift in the sports gambling industry.",2022-08-12
70,"Today, Gordon Ramsay HELL'S KITCHEN — the iconic eatery created by celebrated multi-Michelin-starred chef and television personality, Gordon Ramsay — has opened its doors at Harrah's Resort Southern California. Inspired by the acclaimed FOX culinary competition series of the same name, the new restaurant raises the bar amongst San Diego's growing culinary scene that celebrates exceptional and exhilarating dining experiences.",2022-08-12
71,"Disney entertains sports betting utility, Maryland awaits SWARC decision for online launch date and other notable stories in the sports betting and iGaming space. CHDN, FUBO, DIS, MGM, WYNN, ACEL, BRAG, BALY, DKNG, BYD, CZR, PDYPY, GAN, GENI, LVS, PENN, RSI",2022-08-12
72,"DANVILLE, VA. - Caesars Entertainment, Inc. , parent company of the future Caesars Virginia, hosted a groundbreaking event today with remarks from Caesars executives Robert Livingston, Senior... | August 11, 2022",2022-08-11
73,"Caesars Entertainment, Inc. (NASDAQ: CZR) (""Caesars"") and the Eastern Band of Cherokee Indians (""EBCI"") today announced their partnership in the development of Caesars Virginia, which officially breaks ground in Danville this week. The $650 million project will be a tourism engine and economic driver for Danville and the broader region. The full-service entertainment facility will create thousands of construction and operational jobs and is scheduled to open in late 2024.",2022-08-10
74,By Chris Wack Caesars Entertainment Inc. shares rose 7% to $49.49 after the company said it was in a partnership with the Eastern Band of Cherokee Indians...,2022-08-10
75,"DANVILLE, Va., August 10, 2022 - Caesars Entertainment, Inc. and the Eastern Band of Cherokee Indians today announced their partnership in the development of Caesars Virginia, which... | August 10, 2022",2022-08-10
76,"Notable gainers among liq... NCLH, CZR, RCL, CCL, SIVB",2022-08-10
77,"In Q/A, CEO Bob Chapek sa... DIS, DKNG, CZR, MGM",2022-08-10
78,Earnings calls don't always tease out what should be obvious to investors who take a long term view. MGM's ambitions go way beyond the water's edge.,2022-08-08
79,"Notable gainers among liq... PENN, CZR, ETSY, VTRS, PARA",2022-08-08
80,A long-in-the-works projects is set to open soon that could draw even more people to the Las Vegas Strip.,2022-08-06
81,"The Fubo Sportsbook will continue operating in states where it's been approved, but the company is looking for 'strategic opportunities' to team up",2022-08-05
82,"While inflation and recessions worries have cast doubt on the state of the American consumer, gamblers haven’t been phased, at least according to DraftKings CEO Jason Robins.",2022-08-05
83,The online sports betting platform boosts its revenue outlook for the year to between $2.08 billion and $2.18 billion.,2022-08-05
84,"BOSSIER CITY, La. - Horseshoe Bossier City welcomes a new dining experience with the addition of Casa di Amici, a specialty wine and cheese bar featuring an expertly curated selection of wines... | August 5, 2022",2022-08-05
85,"In a report issued on August 3, Joseph ...",2022-08-05
86,"Recapping quarterly results in the industry, Macau reports suppressed figures in restricted July, and other notable stories in the sports betting and iGaming space. CZR, BALY, LVS, WYNN, MGM, GXYEY, SJMHY, MLCO, DKNG, PENN",2022-08-05
87,"Whatever jitters they might have about a potential recession, people are flocking to the entertainment and gambling oasis.",2022-08-04
88,"The company has made clear what it plans on the Las Vegas Strip, but it has a fast-approaching deadline.",2022-08-04
89,"The following discussion and analysis of the financial position and operatingresults of Caesars Entertainment, Inc., a Delaware corporation, and itsconsolidated subsidiaries, which may be referred... | August 4, 2022",2022-08-04
90,"Yahoo Finance Live checks out several of today's trending stocks, including Netflix's motion to sue creators over infringement and CVS' Q2 earnings beat.",2022-08-03
91,Caesars' (CZR) second-quarter top line reflects solid contributions from Las Vegas and Caesars Digital segment.,2022-08-03
92,"Atlas Air jumps after Bloomberg says take-private deal nearing PYPL, ABNB, HOOD, SBUX, CZR, AAWW, APO, SEDG, ALNY, UAA, UA, CVS, RNG",2022-08-03
93,There&#8217;s a lot to be optimistic about in the Services sector as 2 analysts just weighed in on Caesars Entertainment (<span class='tr-stock-ticker' style='color...,2022-08-03
94,Jefferies analyst David Katz  reitera...,2022-08-03
95,B. Riley analyst David Ba... CZR,2022-08-03
96,Cowen analyst Lance Vitan... CZR,2022-08-03
97,Deutsche Bank analyst Car... CZR,2022-08-03
98,Barclays analyst Brandt M... CZR,2022-08-03
99,"Caesars Entertainment, Inc. (NASDAQ:NASDAQ:CZR) Q2 2022 Earnings Conference Call August 02, 2022, 17:00 ET Company Participants Brian Agnew - SVP, Finance, Treasury &amp; IR Anthony Carano...",2022-08-02
100,"Caesars Entertainment (CZR) delivered earnings and revenue surprises of -36% and 1.72%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-08-02
101,"Caesars Entertainment, Inc., (NASDAQ: CZR) (""Caesars,"" ""CZR,"" ""CEI"" or ""the Company"") today reported operating results for the second quarter ended June 30, 2022.",2022-08-02
102,"Caesars Entertainment, Inc., today reported operating results for the second quarter ended June 30, 2022. Second Quarter 2022 and Recent Highlights: •GAAP net... | August 2, 2022",2022-08-02
103,These are the stocks posting the largest moves in extended trading. ,2022-08-02
104,"RENO, Nev. _ Caesars Entertainment, Inc. on Tuesday reported a second-quarter loss of $123 million, after reporting a profit in the same period a year earlier. On a per-share... | August 2, 2022",2022-08-02
105,"Caesars Entertainment, Inc. (NASDAQ: CZR) (""Caesars"") today announced its sports wagering mobile app, Caesars Sportsbook, is available for download throughout Wyoming. Eligible sports fans in the state can now enjoy a new Caesars Sportsbook experience on iOS ahead of its rollout in other states, as well as on Android and desktop.",2022-08-02
106,"Notable companies reporti... AMD, PYPL, SBUX, GILD, ABNB, MCHP, EA, PRU, MTCH, SEDG, CZR, EXAS, SOFI, RNG, FRSH, TSP",2022-08-02
107,Deutsche Bank analyst Carlo Santare...,2022-08-02
108,,2022-08-02
109,"In celebration of Caesars Palace Las Vegas' 56th anniversary on Aug. 5, Caesars Entertainment unveils Empire Days, a series of premier deals across multiple Caesars Entertainment resorts. Now through Aug. 8, the Company is offering discounts on hotel rooms throughout the U.S. and tickets for Las Vegas residency shows. Guests can also enjoy various specials from Caesars Entertainment's restaurants, pools and spas.",2022-08-01
110,"Item 5.03 Amendments to Articles of Incorporation or Bylaws; Change in Fiscal Year On July 28, 2022, the Board of Directors of CaesarsEntertainment, Inc., a Delaware corporation ,... | August 1, 2022",2022-08-01
111,"The U.S. economy might be struggling but Sin City, Caesars, and MGM may not have to worry, according to the company that might be Vegas' safest bet.",2022-07-30
112,"Caesars Entertainment's (CZR) second-quarter performance is likely to have benefited from sports betting expansion, enhanced iCasino offerings and property-rebranding initiatives.",2022-07-29
113,Bullish option flow detec... CZR,2022-07-29
114,AMC Entertainment (AMC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-28
115,These are the stocks posting the largest moves in midday trading. ,2022-07-28
116,"Nevada reports June Las V... BYD, MGM, CZR, CHDN, PENN, WYNN, LVS, GAN, PDYPY, WIMHY, DKNG",2022-07-28
117,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
118,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
119,Caesars Entertainment (CZR) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-26
120,"Sportradar has seen high growth in the U.S. market, providing sports data to clients in media, fantasy sports, and leagues like the National Basketball Association.",2022-07-25
121,"Las Vegas has all the stars.  Whereas the city was once home mostly to kitschy performers like Donny & Marie, Wayne Newton, Carrot Top, and a whole lot of magicians, it now hosts some of the biggest stars in the world for extended residencies.  Yes, most of those old-school performers are still there (well, Donny but not Marie) but many, if not most, of the biggest acts of the past few decades have Las Vegas Strip residencies.",2022-07-23
122,Caesars may not survive a severe recession without asset sales and/or new equity issuance to reduce massive debts. Learn what investors needs to know about CZR stock.,2022-07-22
123,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
124,Caesars bears point to narrowing margins due to excessive debt and digital promotion. The larger take here is the sheer scale of the company's database and smarts.,2022-07-22
125,"Las Vegas Sands reports Q2 earnings, FanDuel eyes TV overhaul, and other notable stories in the sports betting and iGaming space. LVS, PDYPY, DKNG, MGM, PENN, RSI, CZR, BYD, BALY, ACEL, CHDN, GAN, GENI, WYNN",2022-07-22
126,"LAS VEGAS - Caesars Entertainment and Tao Group Hospitality will introduce a new dining concept at Caesars Palace Las Vegas, Stanton Social Prime, from Chef Chris Santos. Stanton Social Prime is set... | July 21, 2022",2022-07-21
127,"Staff article entitled Interesting CZR Put And Call Options For September 2nd, about stock options, from Stock Options Channel.",2022-07-21
128,GuruFocus Article or News written by insider and the topic is about: ,2022-07-21
129,"Caesars Entertainment, the largest casino-entertainment company in the U.S., received a top score on this year's Disability Equality Index® (DEI), a joint initiative of the American Association of People with Disabilities (AAPD) and DisabilityIN. Up from 80 on last year's index, the company received a 100, marking it as one of the best places to work for disability inclusion. The DEI is the world's most comprehensive benchmarking tool to measure disability workplace inclusion against competitors",2022-07-20
130,"Netflix upgrade, PayPal downgrade and Caesars Entertainment initiation among today's top calls on Wall Street NFLX, BABA, CHKP, CVX, FMC, PYPL, WU, ANET, JNPR, BIRD, PLBY, WWW, CMI, CZR, A, ACLX, LEGN, JNJ, TSVT, BMY, RNA, DYN, RXDX, INVA",2022-07-20
131,"The best gambling stocks to buy have two, strong positive catalysts at this point. Specifically, brick-and-mortar casinos are benefiting from the pent-up demand for experiences, while the rapid growth of online, legalized sports gambling is boosting the leaders of that sector. Unsurprisingly, the best gambling stocks to buy are the names that are getting lifts from both positive catalysts. Of course, buying such stocks enables investors to benefit from both trends. But also important to note is",2022-07-20
132,Truist analyst Barry Jona... CZR,2022-07-20
133,Susquehanna analyst Josep... CZR,2022-07-20
134,Susquehanna analyst Josep... CZR,2022-07-20
135,The casino operator has been hit hard this year. Shares are up 6% on Tuesday after a bullish report from Stifel.,2022-07-19
136,"Jeff Dunham and his somewhat-inappropriate-proteges, Peanut, Walter, José Jalapeño, Bubba J. and Achmed the Dead Terrorist announce three new dates for ""JEFF DUNHAM: SERIOUSLY!?"" at Zappos Theater at Planet Hollywood Resort & Casino.",2022-07-19
