,summary,date
0,"DXC Technology Co is working with financial advisers after receiving takeover interest from at least one private equity firm, Bloomberg News reported on Wednesday, citing people familiar with the matter.",2022-09-21
1,"(Bloomberg) -- Information-technology services provider DXC Technology Co. is working with advisers after receiving takeover interest, according to people familiar with the matter. The stock rose more than 9% on the news. Most Read from BloombergPutin Calls Up More Troops, Resumes Nuclear Threat Over UkrainePowell Signals More Pain to Come With Fed Sending Rates HigherCitadel’s Griffin Brings Billions to Miami With Political Winds at His BackUkraine Seizes Dozens of Russian Tanks Left by Fleeing",2022-09-21
2,DXC Technology has tapped... DXC,2022-09-21
3, DXC,2022-09-21
4, DXC,2022-09-21
5,"Shares of DXC Technology Co. shed 2.52% to $27.05 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-09-20
6,"Shares of DXC Technology Co. rallied 2.63% to $27.75 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-09-19
7,"Shares of DXC Technology Co. slid 1.57% to $27.04 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-09-16
8,Susquehanna analyst James... DXC,2022-09-16
9,Susquehanna analyst James... DXC,2022-09-16
10,"Shares of DXC Technology Co. slipped 0.58% to $27.47 Thursday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-09-15
11,"Shares of DXC Technology Co. rallied 1.39% to $27.63 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-09-14
12,"Shares of DXC Technology Co. slipped 3.91% to $27.25 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-09-13
13,DXC Technology Company. (DXC) saw its shares surge in the last session with trading volume being higher than average. The latest trend in earnings estimate revisions could translate into further price increase in the near term.,2022-09-13
14,Glenview Capital's 13F portfolio value decreased from $4.94B to $4B this quarter. Click to read more about Larry Robbins' holdings and trades for Q2 2022.,2022-09-12
15,"Shares of DXC Technology Co. rallied 5.98% to $28.36 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-09-12
16,"DXC is guiding for $1.5b in FCF in the next fiscal year. Management is deploying capital well, with effective divestitures and heavy stock buybacks. Read more about DXC stock here.",2022-09-12
17,Wix.com (WIX) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-09
18,"Shares of DXC Technology Co. slumped 0.23% to $26.60 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-09-08
19,"DXC Technology (NYSE: DXC), a leading Fortune 500 global technology services provider, has been named a Leader for the second consecutive time in the Everest Group ServiceNow Services PEAK Matrix® Assessment 2022.",2022-09-07
20,"Staff article entitled Interesting DXC Put And Call Options For October 2023, about stock options, from Stock Options Channel.",2022-09-06
21,"Listen on the go! A daily podcast of Wall Street Breakfast will be available this morning on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-09-03
22,"Shares of DXC Technology Co. rallied 2.92% to $27.48 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-09-02
23,DXC Technology Company. (DXC) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-02
24,"Shares of DXC Technology Co. rallied 7.75% to $26.70 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-09-01
25,"DXC Technology , a leading Fortune 500 global technology services partner, has partnered with solution provider Temenos to lead the digital transformation of critical IT architecture for FCM Bank,... | September 1, 2022",2022-09-01
26,"The Betaville blog, which... DXC",2022-09-01
27,"Shares of DXC Technology Co. advanced 1.10% to $24.78 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-08-31
28,"Shares of DXC Technology Co. inched 0.49% higher to $24.51 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the...",2022-08-30
29,GuruFocus Article or News written by Sydnee Gatewood and the topic is about: Guru releases 2nd-quarter portfolio,2022-08-30
30,"Shares of DXC Technology Co. inched 0.25% higher to $24.39 Monday, on what proved to be an all-around dismal trading session for the stock market, with the...",2022-08-29
31,"Shares of DXC Technology Co. slipped 4.85% to $24.33 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-08-26
32,"Shares of DXC Technology Co. rallied 2.16% to $25.57 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-08-25
33,"Shares of DXC Technology Co. slid 0.32% to $25.03 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-08-24
34,"With U.S. stock markets set to open in two hours, (GETY) was up 9.6% in pre-market trading, and (INTU) was up 5.9%. (SOFI), (HST), and (CCJ) were all posting...",2022-08-24
35,"Shares of DXC Technology Co. rose 1.70% to $25.11 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-08-23
36,Europe is fast descending in what looks like it will be a long and significant economic contraction.,2022-08-23
37,"ASHBURN, Va., August 22, 2022--DXC Technology (NYSE: DXC), a leading Fortune 500 global technology services company, will participate in Deutsche Bank’s 2022 Technology Conference on September 1, 2022. John Sweeney, Head of Marketing & Investor Relations, is scheduled to conduct an investor presentation at 11:00 AM EDT.",2022-08-22
38,"DXC Technology , a leading Fortune 500 global technology services company, will participate in Deutsche Bank’s 2022 Technology Conference on September 1, 2022. John Sweeney, Head of Marketing... | August 22, 2022",2022-08-22
39,"Shares of DXC Technology Co. slipped 4.78% to $24.69 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-08-22
40,"Shares of DXC Technology Co. slipped 1.14% to $25.93 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-08-19
41,"Shares of DXC Technology Co. advanced 1.20% to $26.23 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-08-18
42,"If you want to know who really controls DXC Technology Company ( NYSE:DXC ), then you'll have to look at the makeup of...",2022-08-18
43,"Shares of DXC Technology Co. slipped 2.85% to $25.92 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",2022-08-17
44,"Shares of DXC Technology Co. sank 0.07% to $26.68 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-08-16
45,"Shares of DXC Technology Co. inched 0.23% higher to $26.70 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",2022-08-15
46,Cowen analyst Bryan Bergi... DXC,2022-08-15
47,"During Q2 2022, the Miller Opportunity Trust Class I shares generated a total return of -29.45% excluding sales charges. Click here to read the full fund letter.",2022-08-06
48,"Listen on the go! A daily podcast of Wall Street Breakfast will be available this morning on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-08-06
49,"In a report released yesterday, Bryan Ke...",2022-08-05
50,What happened Shares of information technology outfit DXC Technology Company (NYSE: DXC) are down 19.9% as of 1:35 p.m. ET on Thursday. The decline follows a disappointing fiscal first-quarter report and similarly disappointing guidance for the quarter now underway.,2022-08-04
51,These are the stocks posting the largest moves midday.,2022-08-04
52,"While forex headwinds hurt DXC Technology's (DXC) first-quarter fiscal 2023 top line, a higher tax rate, increased investments and costs weigh on the bottom line.",2022-08-04
53,"In early trading on Thursday, shares of Ceridian HCM Holding topped the list of the day's best performing components of the S&P 500 index, trading up 10.3% - Year to date, Ceridian HCM Holding has lost about 38.0% of its value - DXC,CDAY,FTNT,EPAM.",2022-08-04
54,"London, UK - Finastra announced that The Co-operative Bank has selected Finastra Kondor in the cloud, available via Microsoft Azure, to upgrade its treasury infrastructure and automate manual... | August 4, 2022",2022-08-04
55,Morgan Stanley analyst Ja... DXC,2022-08-04
56,"IntroductionThe purpose of the Management's Discussion and Analysis of Financial Conditionand Results of Operations is to present information that managementbelieves is relevant to an assessment... | August 4, 2022",2022-08-04
57,Citi analyst Ashwin Shirv... DXC,2022-08-04
58,RBC Capital analyst Danie... DXC,2022-08-04
59,There&#8217;s a lot to be optimistic about in the Technology sector as 2 analysts just weighed in on DXC Technology (<span class='tr-stock-ticker' style='color:blue...,2022-08-04
60,"Image source: The Motley Fool.  DXC Technology Company (NYSE: DXC)Q1 2023 Earnings CallAug 03, 2022, 5:00 p.m. ETContents:  Prepared Remarks Questions and Answers Call Participants  Prepared Remarks:  OperatorGood day, everyone.",2022-08-04
61,"DXC Technology Company. (DXC) delivered earnings and revenue surprises of -8.54% and 0.15%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-08-03
62,"DXC Technology Company (NYSE:NYSE:DXC) Q1 2023 Earnings Conference Call August 3, 2022 17:00 ET Corporate Participants John Sweeney - Head of Marketing and Investor Relations Mike Salvino -...",2022-08-03
63,The following slide deck was published by DXC Technology Company in conjunction with their 2023 Q1 earnings call.,2022-08-03
64,DXC Technology (NYSE: DXC) today reported results for the first quarter of fiscal year 2023.,2022-08-03
65,"DXC Technology Reports First Quarter Fiscal Year 2023 Results •Revenues of $3.71 billion for Q1 FY23, down 10.5% as compared to prior year period, and down... | August 3, 2022",2022-08-03
66,"Healthcare providers may find that supporting their care team and managing the larger healthcare workforce is challenging, particularly during times of high stress and peak demand. Frost & Sullivan, the Growth Pipeline Company™, has published a panel-based Think Tank to explore these challenges and discuss how to focus efforts on improving the care team's work-life balance and well-being. This is expected to improve outcomes and the safety of care provided.",2022-08-03
