,summary,date
0,The Fed Chair Jerome Powell will likely acknowledge on Wednesday that inflation is forcing an aggressive pace of tightening. Click here to read more.,2022-09-17
1,"In the coming week, several central banks will meet to discuss policy with inflation in the spotlight.

",2022-09-16
2,"I suggested caution back when August began, but that was the right move in hindsight for a while. Click to read why I expect opportunities as Q4 gets underway.",2022-09-16
3,"Kwasi Kwarteng, the new Chancellor, is reportedly looking to get rid of the cap on banker bonuses, which was brought in after the global financial crash in...",2022-09-15
4,The Australian stock index is among the strongest worldwide. It trades 10% below its 2021 highs while most other indexes are closer to 20% below their 2021 highs.,2022-09-10
5,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
6,"At an annualized pace of more than 3.5%, the 2Q22 GDP data indicates the scale of the task facing the Reserve Bank in taming demand sufficiently to dampen inflation",2022-09-07
7,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
8,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
9,"A walk through the housing bust in the southern hemisphere, large stock inflows, a secular peak in market multiples, and the long-term bull case for precious metals.",2022-09-06
10,"Next week's calendar is relatively light but we do have a key central bank decision and some inflation data out in the next few days.

",2022-09-03
11,,2022-09-03
12,"Several preliminary August PMI readings were recently released around the globe, including in the U.S., the UK and the eurozone. Click to read more.",2022-08-27
13,"Staff article entitled EWA: Large Outflows Detected at ETF, about ETFs, from ETF Channel.",2022-08-25
14,"Global securities finance revenues reached $6.1bn in H1 2022, up 12% YoY. Increasing balances across main asset classes were the key linchpin to a strong H1 2022.",2022-08-25
15,"ASEAN July 2022 light vehicle sales recorded about 250,000 units, up 53.0% vs. July 2021. Light vehicle production up 36% YonY with 282,144 units vs. low base in July 2021.",2022-08-24
16,"I will be keeping a close watch on EWC, EWA, EWU, and EIRL, and adding to them on weakness in the weeks and months ahead. Read to know why.",2022-08-21
17,The main economic report of the week ahead will be the preliminary estimate of the August PMI. The policy implications are not as obvious as they may seem.,2022-08-20
18,Jackson Hole has been heavily discussed since the Fedâs supposed âdovish pivotâ last month when it adopted a more data-dependent stance.,2022-08-19
19,"While the interest rate-sensitive housing sector may still feel the squeeze, we note that activity is at historically strong levels. Existing home sales have come off a bit more.",2022-08-13
20,July was the highest revenue generating month of 2022. The US hard to borrow equity market pushes revenues higher. Fixed income continues to see strong demand.,2022-08-09
21,"Staff article entitled Noteworthy ETF Outflows: EWA, about ETFs, from ETF Channel.",2022-08-05
22,"The risks of a recession may be on the rise, but if one does strike the global economy in the next year or two, most equity managers donât expect it to be severe.",2022-08-03
23,The market has abandoned any thought of a 75 bp move and finished last week with a nearly 75% chance of a 50 bp hike. Read more.,2022-07-30
24,"Rather than making money harder to get, the U.S. government needs to focus on the other side of the demand vs. supply equation.",2022-07-29
25,These are the stocks posting the largest moves in midday trading. ,2022-07-28
26,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
27,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
28,Comcast beat revenue and profit estimates but failed to deliver broadband subscriber growth. Peacock subscriber numbers were also flat.,2022-07-28
29,"Second-quarter CPI rose 1.8% quarter-on-quarter, taking the inflation rate to 6.1% year on year. While a steep rise from the first quarter, the RBA has time to respond and doesn't need to speed up the rate of tightening at its coming meeting. ",2022-07-27
30,,2022-07-27
31,WWE can either move forward with sale discussions or take the business in new creative directions as Vince McMahon retires from his executive roles.,2022-07-26
32,"Sesame sells the systems for anywhere from $100,000 to $300,000, or more for larger installations like a full medical clinic. ",2022-07-25
33,The iShares ASX200 Australia ETF (IOZ or EWA) offers a simple and easy way to get broad exposure to the top 200 listed companies in Australia. Read more here.,2022-07-25
34,Inflation figures in Australia tend to have a somewhat outside impact. The country is somewhat unique in only reporting CPI changes once a quarter.,2022-07-25
35,,2022-07-25
36,Europe took centre stage last week as leaders waited nervously to see if gas would start flowing through Nord Stream 1 again following scheduled maintenance.,2022-07-23
37,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
38,"Inflation readings and growth reports are the highlights for the coming week.

",2022-07-22
39,,2022-07-22
40,GuruFocus Article or News written by insider and the topic is about: ,2022-07-22
41,This research highlight summarizes the key impact papers and provides an overview the market signposts in Q2. Read more here.,2022-07-20
42,GuruFocus Article or News written by insider and the topic is about: ,2022-07-19
43,"""Knock at the Cabin,"" a new film by director M. Night Shyamalan, is the first adaptation of one of Paul Tremblay's horror novels.",2022-07-16
44,"Next week offers a plethora of monetary policy meetings with the ECB, BoJ, CBRT, SARB and CBR among those.",2022-07-16
45,"Ride-related injuries dropped by more than 60% between 2004 and 2019, according to the International Association of Amusement Parks and Attractions.",2022-07-15
46,"CNBC obtained a list of nearly 20 corporations and trade groups that RSVP'd to attend a swanky, three-day retreat at the Breakers resort starting Sunday.",2022-07-14
47,The streamer announced in April that it was planning on rolling out an ad-supported tier after years of resisting the move.,2022-07-13
48,There are plenty of reasons to suggest that H2 2022 will be just as difficult as H1. Read more to know where I see value for the rest of the year.,2022-07-13
49,"""Succession"" tops the 2022 Emmy Award nominations followed by ""Ted Lasso"" and ""The White Lotus.""",2022-07-12
50,"Moviegoers aren't just returning to cinemas, they are spending more on premium tickets and concessions.",2022-07-11
51,"""Thor: Love and Thunder"" tallied $143 million during its domestic debut, pushing the overall weekend haul to more than $200 million.",2022-07-10
52,"A movie industry panel discusses how it assigns ratings to newly released films, including details about what constitutes an R rating.",2022-07-09
53,"It will be a busy week for Fed speak as Williams talks about LIBOR on Monday, Barkin discusses recession on Tuesday, Waller speaks on Thursday and Bostic talks on Friday.",2022-07-09
54,Market Summary Elliott Wave ASX200: Wave (4) is not completed.,2022-07-08
55,"In an era of flagship streaming services like Disney+ and Peacock, Hulu is caught in the middle. ",2022-07-06
