,summary,date
0,"Latest data shows the lar... GETY, BTU, BRCC, TECK, DBA, DNA, EWC, XPEV, BGS, MJ",2022-09-22
1,Recent Canadian GDP data indicates that the economy expanded at a healthy 3.3% annual rate in the second quarter of 2022 following a 3.1% expansion in the previous quarter.,2022-09-21
2,Let’s stop talking about the 'full retirement age',2022-09-21
3,"The release of the Canadian CPI for August will not likely change the Bank of Canada’s mind, but it should give it some pause regarding future rate hikes.",2022-09-20
4,"As we start the third week of September, with the US Fedâs much-telegraphed rate hike on Wednesday (+.75 with some 30% betting odds of a full percent!), markets are peaked.",2022-09-19
5,"I suggested caution back when August began, but that was the right move in hindsight for a while. Click to read why I expect opportunities as Q4 gets underway.",2022-09-16
6,Outlook on future BoC interest rate hikes. Outlook on Canadian economic growth in Q3.,2022-09-15
7,"Latest data shows the lar... SST, IDEX, EWC, BRCC, BPT, PARR, CLVS, SCO, AKLI, LBTYA",2022-09-15
8,Why Canadian banks sold off on Q3 earnings? Could we see housing prices come under even more pressure from the impact of rising rates? Valuation perspective and earnings fundamental for...,2022-09-09
9,Bank of Canada hikes rates and reiterates its determination to fight inflation. Click here to read more.,2022-09-08
10,"Staff article entitled Interesting EWC Put And Call Options For October 28th, about stock options, from Stock Options Channel.",2022-09-08
11,"USD Index above 110 this morning is a 20-year high not seen since April 2002. Outside the dollar index, other major trading currencies are also weak. Read more.",2022-09-07
12,The Bank of Canada continues to worry about excess demand and elevated inflation expectations despite recent weaker inflation and GDP readings. ,2022-09-07
13,,2022-09-07
14,"We expect the Bank of Canada to hike by 75bp and to maintain a hawkish tone for future tightening. In Poland, we see risks of a dovish surprise, as the NBP may only hike by 25bp and sound less hawkish after recent data.",2022-09-07
15,,2022-09-07
16,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
17,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
18,"Ammo Inc. shares undefined slid 2.5% in premarket trade Tuesday, after the owner of GunBroker.com said it has placed Chief Strategy Officer Steven Urvan and...",2022-09-06
19,"The Reserve Bank of Australia makes its announcement early Tuesday, September 6. One of the challenges for policymakers and investors is that Australia reports inflation quarterly.",2022-09-03
20,"Despite headline inflation at a new record high and multiple hawkish comments by European Central Bank members, we are expecting the ECB to ‘only’ hike by 50bp next week.",2022-09-02
21,,2022-09-02
22,"Before the Great Financial Crisis of 2008-09, savers could easily invest in perfectly safe GICs, bonds and savings accounts with interest rates over 4%.",2022-09-02
23,What's next for the bond market after Fed Powell's speech? Is the Fed pivot away for higher rates off the table? Outlook on inflation in Canada and the U.S.,2022-09-02
24,"While there are signs that activity may be slowing and inflation is peaking, there is a long way to go before inflation gets close to target.",2022-09-02
25,,2022-09-02
