,summary,date
0,"The US CPI reading kicked off the latest curve flattening leg, but the coordinated hawkishness of ECB officials is helping to extend it. Read more here...",2022-09-16
1,"Citing economic sanctions imposed by the West, Russia has closed the taps to its Nord Stream 1 pipeline, throwing Europe into its biggest energy crisis in decades.",2022-09-14
2,"Today, every major part of the world economy is seemingly prone to a serious economic crisis. European economy is perhaps the most immediate cause for concern.",2022-09-13
3,"Unusual total active opti... ELAN, FSLY, NTR, KR, EWG, NIO, ENPH, DWAC, ADBE, PINS",2022-09-09
4,"Staff article entitled Interesting EWG Put And Call Options For October 28th, about stock options, from Stock Options Channel.",2022-09-08
5,"Unusual total active opti... GSAT, LTHM, RIVN, TELL, EWG, FCEL, LYFT, APRN, NKE, PLUG",2022-09-08
6,"Unusual total active opti... ITB, AR, DWAC, NEE, EWG, GSAT, PINS, NIO, ENPH, ISEE",2022-09-07
7,The indefinite shut down of natural gas flows via the Nord Stream 1 pipeline will trigger a severe recession in Germany and Europe.,2022-09-06
8,"Unusual total active opti... ISEE, DNN, CFVI, SGFY, XME, PCG, CCJ, EWG, GSAT, FXI",2022-09-06
9,European curves react to higher energy prices and to news of fiscal support by bear-flattening. More yield upside is to be expected when more spending is announced. Read more here...,2022-09-06
10,The S&P 500 failed to close below last Thursday's low as Utilities and REITs were bid. ,2022-09-06
11,Industrial orders continued their downward trend in July. Concerns about growth in German industry are increasing by the month.,2022-09-06
12,,2022-09-06
13,"EUR/USD broke below the 99 cents mark this morning as the US dollar continues to surge past 110. Although, as we approach midday in London, the pair has pulled back somewhat and trades above 0.9900. ",2022-09-05
14,"The German government is increasing fiscal stimulus to offset the impact of higher energy prices, but we doubt that these measures will be sufficient to prevent a recession.",2022-09-05
15,,2022-09-05
16,"Unusual total active opti... TIP, IEF, GRAB, AVYA, OKTA, KRE, GSAT, EWG, NVDA",2022-09-02
17,"At the start of the year, we singled out the German economy as one of the eurozone’s shining growth stars. The war in Ukraine has changed everything. Recession is the new base case.",2022-09-01
18,,2022-09-01
19,"Today's market X-ray shows the returns for each index, asset class, sector, and so on, since the recent low point on June 16th.",2022-08-31
20,"U.S. stocks opened lower on Monday as the selloff on Wall Street continued following Friday's 1,000-point drop in the Dow Jones Industrial Average. The Dow...",2022-08-29
