,summary,date
0,"Recognizing that high inflation will not quietly go away, the world's major central banks are toughening their policies.",2022-09-23
1,The effects of volatility in 2022 have been felt by investors globally. How should you invest in emerging markets in volatile times? Click here to find out.,2022-09-22
2,"As USD appreciates, other currencies essentially depreciate. Why does a stronger USD lead to a struggle for emerging market economies? Click here to find out.",2022-09-20
3,"Hotter-than-expected August CPI and quarterly options/derivatives expiration made for a toxic mix. âCoreâ CPI was reported up 0.6% for the month (7% annualized!), double estimates.",2022-09-17
4,"Unusual total active opti... EWH, XOP, UPS, PCG, ENVX, RIVN, UBER, IWM",2022-09-16
5,"August data released by China got off to a bad start with a 0.29% MoM decline in new home prices. The main standout was retail sales, but it remains at risk from future lockdowns.",2022-09-16
6,Chinaâs state-owned enterprises (SOEs) are huge CO2 emitters. Chinaâs government has put environmental issues high on the national agenda.,2022-09-15
7,"Today, every major part of the world economy is seemingly prone to a serious economic crisis. European economy is perhaps the most immediate cause for concern.",2022-09-13
8,"Following a steep decline in 2021, Chinese stocks have provided a roller-coaster ride to international investors thus far in 2022.",2022-09-13
9,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
10,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-09-08
11,"Global economic output contracted in August for the first time since June 2020, according to the latest PMI survey data.",2022-09-08
12,China's response to what will be a rolling series of restructurings and writedowns will reveal much about its position in the 21st century international financial system. Read more here...,2022-09-08
13,"In our analysis, investor sentiment and valuation in Chinese equities are currently at unsustainable lows.",2022-09-07
14,The latest COVID outbreak further disrupted & distorted Chinaâs housing market supply & demand. Why hasnât the pick-up in house sales been more robust? Find out.,2022-09-07
15,The international trade of semiconductors is vital for Taiwan and important for Mainland China. Click here to read more.,2022-09-07
16,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
17,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
18,iShares MSCI Hong Kong ETF (EWH) captures a lot of typical Hong Kong exposures including insurance but also a lot of real estate. Click here for a full investment analysis.,2022-09-06
19,"The Reserve Bank of Australia makes its announcement early Tuesday, September 6. One of the challenges for policymakers and investors is that Australia reports inflation quarterly.",2022-09-03
20,"The JPMorgan Global Manufacturing Purchasing Managers' Index, compiled by S&P Global, fell from 51.1 in July to 50.3 in August, its lowest since June 2020. Click here to read more.",2022-09-03
21,The landmark information sharing agreement wonât dispel concerns over delistings of Chinese firms from New York until the deal is smoothly implemented.,2022-09-02
22,"Asiaâs complicated supply chains mean that China is only an intermediate destination for some Asian exports, many of which may then be destined for Europe or the US after further processing.",2022-09-01
23,"The latest inflation data suggests that although the rate of rising has slowed, inflation is not going away just yet as the post-pandemic and war in Ukraine era evolves.",2022-08-30
24,Chinese economy may do modestly better in the second half of 2022. Read more.,2022-08-29
25,Different interpretations on reciprocity and cooperation could become stumbling blocks that ultimately derail the deal. Read more.,2022-08-29
26,Explanation of fundamentalist approach to analyzing equity markets. Expectations for volatility over the rest of the year. Read more.,2022-08-26
27,There looks like there will continue to be downside pressure on oil due in part to very poor performance in China. Read more.,2022-08-26
28,"Heatwaves and little rainfall in some parts of China have caused drought in the southwestern Chinese province of Sichuan, which greatly relies on hydroelectric power. Read more.",2022-08-25
29,At the heart of this credit-deterioration process is the way in which the form and structure of economy activity in China has evolved over the past ten to twenty years.,2022-08-25
30,"With global demand cooling and supply disruptions easing, global inflation is expected to moderate in 2023 and 2024.",2022-08-25
31,"As Chinaâs pandemic hangover wears on (and on), we believe the countryâs economic recovery will be bumpy and subdued.",2022-08-25
32,"Equities rebounded in recent weeks as investors considered the prospects of a possible pivot by major central banks, especially after Chinaâs central bank unexpectedly cut interest rates.",2022-08-24
33,"ASEAN July 2022 light vehicle sales recorded about 250,000 units, up 53.0% vs. July 2021. Light vehicle production up 36% YonY with 282,144 units vs. low base in July 2021.",2022-08-24
34,Recent rate cuts by the PBOC offer a signal to the future direction of Chinese monetary policy. China is moving slowly but surely towards greater stimulus.,2022-08-23
35,Much of the recent strength in the yen can be explained in one word and that is China.,2022-08-23
36,Assessing the main issues behind recent market performance. What to expect at the Jackson Hole symposium.,2022-08-19
37,Jackson Hole has been heavily discussed since the Fedâs supposed âdovish pivotâ last month when it adopted a more data-dependent stance.,2022-08-19
38,"Despite a solid fundamental outlook, headwinds have been present. Read more.",2022-08-18
39,Analysts have been bullish about a supply squeeze for months because sky-high natural gas prices forced record electricity costs across Europe.,2022-08-18
40,"The economic weight of the APAC region is forecast to rise by 2040, underpinned by the economic expansion of mainland China, India, and the 10 Southeast Asian countries comprising ASEAN.",2022-08-17
41,The 50bp vs. 75bp hike in September is a big standoff in the treasuries markets. Treasury markets are very much doubting the path of Fed policy in 2023.,2022-08-16
42,Chinaâs National Bureau of Statistics reported that retail sales grew by 2.7% in July - nearly half as much as the consensus forecast of 5%. Read more.,2022-08-15
43,"In April 2022, four rural banks in the Chinese province of Henan announced the freezing of what turned out to be roughly 40 billion renminbi (or about $6 billion) of retail deposits.",2022-08-13
44,CPI numbers show an easing of inflation. Will the Fed keep raising rates? China inflation sits at 2.7%.,2022-08-13
45,"The global business climate is deteriorating in mid-2022, putting forecasters on recession watch.",2022-08-11
46,"Almost every month this year, discounts on financial assets from their year-end 2021 prices have gotten larger, leaving S&P 500 with its worst first half-of-the-year return since 1962.",2022-08-10
47,July was the highest revenue generating month of 2022. The US hard to borrow equity market pushes revenues higher. Fixed income continues to see strong demand.,2022-08-09
48,"Since late June, hundreds of thousands of homebuyers in dozens of Chinese cities have threatened to stop payment on mortgages for pre-sold yet stalled property projects.",2022-08-08
49,"Elevated inflation, slowing global economic growth expectations, and reduced central bank liquidity remain the key economic considerations. Read more here.",2022-08-08
50,"We prefer investment grade credit over equities right now. Our reasoning: valuations, strong balance sheets, low supply and moderate refinancing risks. Read more here...",2022-08-08
51,"As USD strength continued & inflation expectations softened, gold price fell, gold ETFs lost 81t ($4.5bn), & speculative positions in gold futures turned net short for 5th time since 2006.",2022-08-06
52,"Growing rapidly, multi-faceted, and with green products and services permeating throughout markets, the green economyâs development increasingly resembles that of the tech sector.",2022-08-06
53,"China's economy has struggled, but may be turning a corner. Why investors may want to consider Chinese stocks in their long game.",2022-08-04
