,summary,date
0,Japan has been lagging behind a little in the global surge of inflation that started early last year. But itâs now coming along nicely.,2022-09-21
1,,2022-09-20
2,The median economist forecast is for more inflation and higher unemployment than the Fed's median projection in June. Read more here.,2022-09-17
3,World's major central banks grew increasingly united in their resolve to bring inflation under control. How did major indices react? Click here to find out.,2022-09-17
4,"Hotter-than-expected August CPI and quarterly options/derivatives expiration made for a toxic mix. âCoreâ CPI was reported up 0.6% for the month (7% annualized!), double estimates.",2022-09-17
5,The Fed Chair Jerome Powell will likely acknowledge on Wednesday that inflation is forcing an aggressive pace of tightening. Click here to read more.,2022-09-17
6,"In the coming week, several central banks will meet to discuss policy with inflation in the spotlight.

",2022-09-16
7,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
8,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-09-08
9,"Global economic output contracted in August for the first time since June 2020, according to the latest PMI survey data.",2022-09-08
10,"The USD-JPY cross has surged to fresh 24-year highs, up more than 30% YoY. I see more downside ahead, but investors should look to pounce if shares approach the $9-$10 range.",2022-09-07
11,"Japanese equities outperformed U.S. markets over the last 6 months while yen has cratered. See why Japan is nearly the cheapest, according to WisdomTree.",2022-09-06
12,"Staff article entitled EWJ Enters Oversold Territory, about ETFs, from ETF Channel.",2022-09-06
13,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
14,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
15,"The Reserve Bank of Australia makes its announcement early Tuesday, September 6. One of the challenges for policymakers and investors is that Australia reports inflation quarterly.",2022-09-03
16,"The JPMorgan Global Manufacturing Purchasing Managers' Index, compiled by S&P Global, fell from 51.1 in July to 50.3 in August, its lowest since June 2020. Click here to read more.",2022-09-03
17,"Asiaâs complicated supply chains mean that China is only an intermediate destination for some Asian exports, many of which may then be destined for Europe or the US after further processing.",2022-09-01
