,summary,date
0,"New York Attorney General Letitia James on Wednesday filed a civil fraud lawsuit against former President Donald Trump, some of his children, the Trump...",2022-09-21
1,"Next week is packed with central bank meetings. The Fed is likely to match the European Central Bank in hiking rates by 75bp, while the Bank of England and Norges Bank are expected to make 50bp moves.",2022-09-17
2,The Fed Chair Jerome Powell will likely acknowledge on Wednesday that inflation is forcing an aggressive pace of tightening. Click here to read more.,2022-09-17
3,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
4,The Goldman Sachs chief economist says the U.S. so far is on track for a soft landing.,2022-09-06
5,"Shares of FedEx Corp. undefined dropped 1.5% toward a three-month low in premarket trading Tuesday, after Citi analyst Christian Wetherbee downgraded the...",2022-09-06
6,"Staff article entitled EWL Crosses Critical Technical Indicator, about ETFs, from ETF Channel.",2022-09-01
7,"Policymakers have spent weeks trying to convince investors that there was no dovish pivot, to no avail.",2022-08-26
8,"Global securities finance revenues reached $6.1bn in H1 2022, up 12% YoY. Increasing balances across main asset classes were the key linchpin to a strong H1 2022.",2022-08-25
9,Jackson Hole has been heavily discussed since the Fedâs supposed âdovish pivotâ last month when it adopted a more data-dependent stance.,2022-08-19
10,"Since its inception in 1996, EWL has delivered substantially higher returns than other international markets. Read what to know about EWL here.",2022-08-03
11,"President Joe Biden will not resume in-person work until he tests negative for COVID, under White House protocols that are stricter than the CDC guidelines.",2022-08-03
12,Last week was action-packed and itâs not likely to ease up with attention now shifting from the Fed and the âtechnical recessionâ in the US to the labour market.,2022-07-30
13,These are the stocks posting the largest moves in midday trading. ,2022-07-28
14,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
15,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
16,Comcast beat revenue and profit estimates but failed to deliver broadband subscriber growth. Peacock subscriber numbers were also flat.,2022-07-28
17,"President Joe Biden on Wednesday said he was ""feeling great"" after testing negative for COVID-19 on Tuesday evening and Wednesday morning. Speaking from the...",2022-07-27
18,,2022-07-27
19,WWE can either move forward with sale discussions or take the business in new creative directions as Vince McMahon retires from his executive roles.,2022-07-26
20,Europe took centre stage last week as leaders waited nervously to see if gas would start flowing through Nord Stream 1 again following scheduled maintenance.,2022-07-23
21,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
