,summary,date
0,Inflation eases in France and the UK. Are recession risks rising in the U.S. and Europe?,2022-09-16
1,The indefinite shut down of natural gas flows via the Nord Stream 1 pipeline will trigger a severe recession in Germany and Europe.,2022-09-06
2,"Today's market X-ray shows the returns for each index, asset class, sector, and so on, since the recent low point on June 16th.",2022-08-31
3,U.S. stocks tumbled Friday to session lows after Federal Reserve Chairman Jerome Powell delivered blunt remarks on the pain the U.S. inflation fight likely...,2022-08-26
4,US stocks are outperforming EU stocks for nearly 15 years. If you think this is the time to jump back in - you might wish to reconsider and wait a while longer.,2022-08-25
5,"Global securities finance revenues reached $6.1bn in H1 2022, up 12% YoY. Increasing balances across main asset classes were the key linchpin to a strong H1 2022.",2022-08-25
6,"The dollar's bounce was also backed by higher U.S bond yields and a general ""risk-off"" tone across markets as investors worried about a hawkish Fed.",2022-08-22
7,"Staff article entitled Interesting EWQ Put And Call Options For October 21st, about stock options, from Stock Options Channel.",2022-08-18
8,"Similar to EWQ, our most successful investments have been in France, and we continue to be invested there. See the benefits of adding EWQ ETF to your portfolio.",2022-08-07
9,"Growing rapidly, multi-faceted, and with green products and services permeating throughout markets, the green economyâs development increasingly resembles that of the tech sector.",2022-08-06
10,These are the stocks posting the largest moves in midday trading. ,2022-07-28
11,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
12,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
13,GuruFocus Article or News written by insider and the topic is about: ,2022-07-25
14,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
15,"The UK economy surprised in May with robust growth following three months of stagnation, but that reading was distorted by holiday dates.",2022-07-21
16,"While France's real GDP per capita grew by 15.8% between 2000 and 2019, the national average masks significant regional disparities. Read more here.",2022-07-19
17,"By Ed Frankl Solvay SA said Monday that it will raise its full-year guidance after second-quarter results were well ahead of expectations, driven by higher...",2022-07-18
