,summary,date
0,"Staff article entitled EWT Crowded With Sellers, about ETFs, from ETF Channel.",2022-09-22
1,The effects of volatility in 2022 have been felt by investors globally. How should you invest in emerging markets in volatile times? Click here to find out.,2022-09-22
2,"Staff article entitled Noteworthy ETF Outflows: EWT, about ETFs, from ETF Channel.",2022-09-21
3,Let’s stop talking about the 'full retirement age',2022-09-21
4,"As USD appreciates, other currencies essentially depreciate. Why does a stronger USD lead to a struggle for emerging market economies? Click here to find out.",2022-09-20
5,"Hotter-than-expected August CPI and quarterly options/derivatives expiration made for a toxic mix. âCoreâ CPI was reported up 0.6% for the month (7% annualized!), double estimates.",2022-09-17
6,"August data released by China got off to a bad start with a 0.29% MoM decline in new home prices. The main standout was retail sales, but it remains at risk from future lockdowns.",2022-09-16
7,Chinaâs state-owned enterprises (SOEs) are huge CO2 emitters. Chinaâs government has put environmental issues high on the national agenda.,2022-09-15
8,"Today, every major part of the world economy is seemingly prone to a serious economic crisis. European economy is perhaps the most immediate cause for concern.",2022-09-13
9,"Following a steep decline in 2021, Chinese stocks have provided a roller-coaster ride to international investors thus far in 2022.",2022-09-13
10,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
11,"Staff article entitled EWT: Large Outflows Detected at ETF, about ETFs, from ETF Channel.",2022-09-08
12,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-09-08
13,"Global economic output contracted in August for the first time since June 2020, according to the latest PMI survey data.",2022-09-08
14,China's response to what will be a rolling series of restructurings and writedowns will reveal much about its position in the 21st century international financial system. Read more here...,2022-09-08
15,"In our analysis, investor sentiment and valuation in Chinese equities are currently at unsustainable lows.",2022-09-07
16,The latest COVID outbreak further disrupted & distorted Chinaâs housing market supply & demand. Why hasnât the pick-up in house sales been more robust? Find out.,2022-09-07
17,The international trade of semiconductors is vital for Taiwan and important for Mainland China. Click here to read more.,2022-09-07
18,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
19,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
20,"The Reserve Bank of Australia makes its announcement early Tuesday, September 6. One of the challenges for policymakers and investors is that Australia reports inflation quarterly.",2022-09-03
21,"The JPMorgan Global Manufacturing Purchasing Managers' Index, compiled by S&P Global, fell from 51.1 in July to 50.3 in August, its lowest since June 2020. Click here to read more.",2022-09-03
22,The landmark information sharing agreement wonât dispel concerns over delistings of Chinese firms from New York until the deal is smoothly implemented.,2022-09-02
23,"Asiaâs complicated supply chains mean that China is only an intermediate destination for some Asian exports, many of which may then be destined for Europe or the US after further processing.",2022-09-01
24,"With stock markets around the world giving up the ghost in August, most have moved back below their 50-DMAs or even into oversold territory.",2022-08-31
25,,2022-08-31
26,"The latest inflation data suggests that although the rate of rising has slowed, inflation is not going away just yet as the post-pandemic and war in Ukraine era evolves.",2022-08-30
27,Chinese economy may do modestly better in the second half of 2022. Read more.,2022-08-29
28,Different interpretations on reciprocity and cooperation could become stumbling blocks that ultimately derail the deal. Read more.,2022-08-29
29,Explanation of fundamentalist approach to analyzing equity markets. Expectations for volatility over the rest of the year. Read more.,2022-08-26
30,There looks like there will continue to be downside pressure on oil due in part to very poor performance in China. Read more.,2022-08-26
31,"Staff article entitled Noteworthy ETF Outflows: EWT, about ETFs, from ETF Channel.",2022-08-26
32,"Heatwaves and little rainfall in some parts of China have caused drought in the southwestern Chinese province of Sichuan, which greatly relies on hydroelectric power. Read more.",2022-08-25
33,At the heart of this credit-deterioration process is the way in which the form and structure of economy activity in China has evolved over the past ten to twenty years.,2022-08-25
34,"Global securities finance revenues reached $6.1bn in H1 2022, up 12% YoY. Increasing balances across main asset classes were the key linchpin to a strong H1 2022.",2022-08-25
35,"With global demand cooling and supply disruptions easing, global inflation is expected to moderate in 2023 and 2024.",2022-08-25
36,"As Chinaâs pandemic hangover wears on (and on), we believe the countryâs economic recovery will be bumpy and subdued.",2022-08-25
