,summary,date
0,"BoE has stuck to its guns and hiked rates by a further 50bp, less than markets had been pricing and defying some expectations that UK policymakers might be forced into a larger move.",2022-09-22
1,The median economist forecast is for more inflation and higher unemployment than the Fed's median projection in June. Read more here.,2022-09-17
2,"Next week is packed with central bank meetings. The Fed is likely to match the European Central Bank in hiking rates by 75bp, while the Bank of England and Norges Bank are expected to make 50bp moves.",2022-09-17
3,"The theme of uncertainty continues, but there will be a time to re-engage in the weeks to come.
",2022-09-17
4,World's major central banks grew increasingly united in their resolve to bring inflation under control. How did major indices react? Click here to find out.,2022-09-17
5,UK prime minister Liz Truss announced a price cap on natural gas to shelter households from the 80% increase scheduled for next month and more price resets slated for January and April 2023.,2022-09-17
6,Inflation eases in France and the UK. Are recession risks rising in the U.S. and Europe?,2022-09-16
7,"Staff article entitled EWU: Large Outflows Detected at ETF, about ETFs, from ETF Channel.",2022-09-16
8,"I suggested caution back when August began, but that was the right move in hindsight for a while. Click to read why I expect opportunities as Q4 gets underway.",2022-09-16
9,"'I am 41 years old, I’ve played more than 1,500 matches over 24 years,' says 20-time Grand Slam winner Roger Federer.",2022-09-15
10,Pressures on U.K. consumers & businesses continue to build up. What does the U.K. government intervention mean to consumers and enterprises? Find out.,2022-09-15
11,"The inflation rate in the United Kingdom eased to 9.9% from 10.1% previously to lower fuel costs. However, the core inflation rate increased to a new record high of 6.3%. ",2022-09-14
12,"Citing economic sanctions imposed by the West, Russia has closed the taps to its Nord Stream 1 pipeline, throwing Europe into its biggest energy crisis in decades.",2022-09-14
13,"The number of workers classified as long-term sick in the UK jumped dramatically in the past few months, and that's one reason why firms are still struggling to source the staff they need.",2022-09-13
14,"The green revolution will continue, but with barely 3% of US electricity production originating from solar and wind sources, fossil fuels will dominate energy production. Read more here...",2022-09-13
15,We think the energy crisis will spur a recession in Europe. The ECB is trying to fight inflation without recognizing the costs. Read more here...,2022-09-12
16,"A discussion about the strength of the ‘King dollar’, the impact of ECB actions on the euro outlook, and the credibility of the UK’s monetary and fiscal policies.",2022-09-12
17,Next week's US inflation numbers will need to be quite surprising for the Fed to deviate from a 75bp hike at its September meeting.,2022-09-11
18,Russia cuts off natural-gas flows to Europe indefinitely. UK unveils plan to cap energy prices for businesses and consumers. Read more here.,2022-09-10
19,We continue to believe that large cap US equities should be the outsize bedrock asset on the growth side of long-term portfolios.,2022-09-10
20,The hawks won the front-loading argument and the ECBâs council unanimously decided to raise all key rates by 75bp.,2022-09-10
21,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
22,"Earlier this week, cable dropped to lows not seen in decades. Since then, it has bounced back a bit, but it spun up speculation about what to expect from the BoE.",2022-09-09
23,,2022-09-09
24,The UK energy package being mooted could reduce the depth of a winter recession and shave up to 6 percentage points off January's inflation peak. ,2022-09-08
25,,2022-09-08
26,Liz Truss has been formally sworn in as the UKâs new prime minister and it looks like her first act will be to cap energy prices for both households and some businesses.,2022-09-08
27,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-09-08
28,"Global economic output contracted in August for the first time since June 2020, according to the latest PMI survey data.",2022-09-08
29,"In general terms, the economic policy of the UK under the new government is expected to remain very similar. ",2022-09-07
30,,2022-09-07
31,"EWU contains 'UK' equities, although almost all businesses are highly international, so the politics of Britain won't matter much for it. Read more on EWU ETF.",2022-09-06
32,The S&P Global/CIPS UK Composite PMI fell below the crucial 50.0 no-change mark during August for the first time in 18 months.,2022-09-06
33,"U.S. stocks opened higher on Tuesday as traders returned from a long holiday weekend. Still, fears about an energy crisis in Europe, as well as interest-rate...",2022-09-06
34,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
35,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
36,What Truss delivers remains to be seen. But the UK at least has a chance. ,2022-09-05
37,"The Reserve Bank of Australia makes its announcement early Tuesday, September 6. One of the challenges for policymakers and investors is that Australia reports inflation quarterly.",2022-09-03
38,"The JPMorgan Global Manufacturing Purchasing Managers' Index, compiled by S&P Global, fell from 51.1 in July to 50.3 in August, its lowest since June 2020. Click here to read more.",2022-09-03
39,"Uncertainty and volatility in the macro environment continue to be ever-present themes. It isn’t yet clear how quickly US inflation can fall, or indeed when and where inflation across Europe will peak.",2022-09-03
40,,2022-09-03
41,"Despite headline inflation at a new record high and multiple hawkish comments by European Central Bank members, we are expecting the ECB to ‘only’ hike by 50bp next week.",2022-09-02
42,,2022-09-02
43,"Staff article entitled EWU Getting Very Oversold, about ETFs, from ETF Channel.",2022-09-01
44,Commodities were the best performing asset class earlier in the year but they are undergoing a sharp correction now.,2022-08-31
45,,2022-08-31
46,The effect of the government's energy relief package was already waning ahead of the measures expiring tomorrow. Headline inflation increased in August on the back of higher gas and food prices as well as higher prices in the hospitality sector.,2022-08-30
47,,2022-08-30
48,UK households may collectively need up to £65bn extra in government support to offset the forthcoming rise in energy bills this winter. UK markets now expect Bank Rate to exceed 4% next year.,2022-08-27
49,,2022-08-27
50,"Several preliminary August PMI readings were recently released around the globe, including in the U.S., the UK and the eurozone. Click to read more.",2022-08-27
51,"Policymakers have spent weeks trying to convince investors that there was no dovish pivot, to no avail.",2022-08-26
52,UK households may collectively need up to Â£65bn extra in government support to offset the forthcoming rise in energy bills this winter. Read more.,2022-08-26
53,"Technical and cycle analysis, and market commentary.",2022-08-26
54,US stocks are outperforming EU stocks for nearly 15 years. If you think this is the time to jump back in - you might wish to reconsider and wait a while longer.,2022-08-25
55,"Global securities finance revenues reached $6.1bn in H1 2022, up 12% YoY. Increasing balances across main asset classes were the key linchpin to a strong H1 2022.",2022-08-25
56,"With global demand cooling and supply disruptions easing, global inflation is expected to moderate in 2023 and 2024.",2022-08-25
57,"I will be keeping a close watch on EWC, EWA, EWU, and EIRL, and adding to them on weakness in the weeks and months ahead. Read to know why.",2022-08-21
58,The main economic report of the week ahead will be the preliminary estimate of the August PMI. The policy implications are not as obvious as they may seem.,2022-08-20
