,summary,date
0,Koreaâs high level of household debt has been regarded as a major risk factor for the economy for some time. Click here to read more.,2022-09-06
1,"Asiaâs complicated supply chains mean that China is only an intermediate destination for some Asian exports, many of which may then be destined for Europe or the US after further processing.",2022-09-01
2,iShares MSCI South Korea Fund gets you exposed to IT hardware and some consumer discretionary companies. See why we take a pass on EWY ETF.,2022-08-28
3,iShares MSCI South Korea Capped Fund invests in South Korean equities. Read more to see why I think EWY ETF is likely undervalued.,2022-08-28
4,"Global securities finance revenues reached $6.1bn in H1 2022, up 12% YoY. Increasing balances across main asset classes were the key linchpin to a strong H1 2022.",2022-08-25
5,"Despite a solid fundamental outlook, headwinds have been present. Read more.",2022-08-18
6,"South Korea is one of the Four Asian Tigers, along with Hong Kong, Taiwan, and Singapore, a group known for decades of rapid economic expansion. Since the 1960s, very few countries have boasted as consistent and explosive economic growth as South Korea, which is the fourth-largest economy in Asia behind India, Japan, and China.",2022-08-15
7,"VWO and IEMG, the two largest emerging market ETFs, each have over 80% allocated to Asian markets, with over half of that 80% in Greater China alone. Read more.",2022-08-15
8,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
9,"Robust labor market conditions appear to be supported by solid consumer activity following the reopening of the economy. However, the unemployment rate is likely to rise over the next few months as the initial impulse gradually dissipates.",2022-08-10
10,,2022-08-10
11,Inflation surprises in EMEA/LATAM are heading south - a signal that peak hawkishness might be behind us and that central banks will focus more on growth headwinds going forward.,2022-08-03
12,"A multifaced response, including increasing interest rates, is needed to prevent an upward spiral of price expectations and rising capital outflows. Read more.",2022-08-02
13,"The latest S&P Global Electronics PMI survey shows that expansion in the electronics sector is continuing, albeit growth momentum has gradually moderated during the first half of 2022...",2022-08-02
14,"Exports in July showed a solid gain on the back of solid demand for IT and automobiles, but the trade deficit widened as imports surged due to a rise in commodity prices. A weak business survey suggests a cloudy outlook for exports in the near term.",2022-08-01
15,,2022-08-01
16,"Emerging markets' central banks frontloaded a lot of rate hikes, and real policy rates adjusted by expected inflation are now very positive (maybe even contractionary) in quite a few EMs.",2022-07-30
17,These are the stocks posting the largest moves in midday trading. ,2022-07-28
18,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
19,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
20,Vanguard VTI ETF's returns have been driven by a few stocks with high brand value and momentum. See why I recommend to sell VTI ETF and buy its best stocks.,2022-07-24
