,summary,date
0,"Software platform Datamaran said on Tuesday it had closed a 11.7 million pounds ($13.3 million) financing led by Fortive amid growing demand from companies and financial institutions to assess environmental, social and governance (ESG) risks.",2022-09-20
1,"Datamaran, the only ESG risk management software platform, today announced the completion of a £11.7 million Series B funding round led by Fortive (NYSE:FTV) with participation from American Electric Power (NASDAQ:AEP), both long-standing partners and clients.",2022-09-20
2,Halvorsen's 13F portfolio value decreased from $24.74B to $21.86B in Q2. Click to read more about Viking Global's holdings and trades for Q2 2022.,2022-09-19
3,"Shares of Fortive Corp. shed 2.43% to $62.72 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-09-16
4,"Staff article entitled First Week of November 18th Options Trading For Fortive , about stock options, from Stock Options Channel.",2022-09-16
5,"Shares of Fortive Corp. inched 0.31% higher to $64.28 Thursday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",2022-09-15
6,"On Wednesday, Danaher announced plans to spin-off its Environmental & Applied Solutions Segment to create an independent company. Read why DHR stock is a buy.",2022-09-15
7,"Shares of Fortive Corp. sank 0.16% to $64.08 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-09-14
8,"Shares of Fortive Corp. shed 4.09% to $64.18 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-09-13
9,"Shares of Fortive Corp. rose 1.36% to $66.92 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",2022-09-12
10,Fortive's recurring revenue business model and diversification is paying off. Click to see potential headwinds and tailwinds for FTV and my valuation concerns.,2022-09-10
11,"EVERETT, Wash., September 08, 2022--Fortive Corporation (""Fortive"") (NYSE: FTV) today announced that President and Chief Executive Officer, James A. Lico, will be presenting at the Morgan Stanley Laguna Conference on Thursday, September 15th, 2022 at 11:45 a.m. ET (8:45 a.m. PT). The audio will be simultaneously webcast and will be archived on www.fortive.com.",2022-09-08
12,Dover's higher backlog and greater-than-one book-to-bill ratio signal improved revenue visibility in 2H22. Read why we think DOV stock is relatively undervalued.,2022-09-08
13,"Shares of Fortive Corp. rallied 2.81% to $64.84 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-09-07
14,This high-margin industrial company operates in a niche market that's going places thanks to the digital revolution.,2022-09-07
15,"Shares of Fortive Corp. inched 0.80% higher to $63.07 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-09-06
16,"How far off is Fortive Corporation ( NYSE:FTV ) from its intrinsic value? Using the most recent financial data, we'll...",2022-09-03
17,"Shares of Fortive Corp. shed 1.11% to $62.57 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-09-02
18,"Shares of Fortive Corp. dropped 0.09% to $63.27 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-09-01
19,"EVERETT, Wash., August 31, 2022--Fortive Corporation (""Fortive"") (NYSE: FTV) today announced that President and Chief Executive Officer, Intelligent Operating Solutions, Olumide Soroye, will be presenting at the Evercore ISI Technology Conference on Wednesday, September 7th, 2022 at 8:45 a.m. ET. The audio will be simultaneously webcast and will be archived on www.fortive.com.",2022-08-31
20,"Shares of Fortive Corp. shed 0.46% to $63.33 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-08-31
21,"Shares of Fortive Corp. slumped 0.81% to $63.62 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-08-30
22,"Shares of Fortive Corp. slumped 0.82% to $64.21 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-08-29
23,"Shares of Fortive Corp. shed 3.34% to $64.74 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-08-26
24,"Shares of Fortive Corp. rose 1.58% to $66.98 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-08-25
25,"Shares of Fortive Corp. inched 0.23% higher to $65.94 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",2022-08-24
26,"Shares of Fortive Corp. inched 0.18% higher to $65.79 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",2022-08-23
27,Dan Loeb's 13F portfolio value decreased from $7.68B to $4.22B this quarter. Click here to know the full portfolio update.,2022-08-23
28,"Argosy Investors, an investment management company, recently released its second-quarter 2022 investor letter. A copy of the same can be downloaded here. Year to date, the fund returned -25.4% in select accounts compared to -20% for the S&P 500. The main reason for the fund’s underperformance was the poor performance of its most significant holdings. For […]",2022-08-22
29,"Shares of Fortive Corp. shed 2.80% to $65.67 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-08-22
30,"Staff article entitled Interesting FTV Put And Call Options For October 21st, about stock options, from Stock Options Channel.",2022-08-22
31,Ingersoll Rand continues to grow nicely thanks to strong organic growth and various acquisitions. Check out why I think IR stock is getting close to an upgrade.,2022-08-22
32,Fortive Corporation ( NYSE:FTV ) saw a significant share price rise of over 20% in the past couple of months on the...,2022-08-20
33,"Shares of Fortive Corp. slipped 1.13% to $67.56 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-08-19
34,"AMETEK, Fortive and National Instruments have been highlighted in this Industry Outlook article.",2022-08-19
35,"EVERETT, Wash., August 18, 2022--Fortive Corporation (""Fortive"") (NYSE: FTV) announced today that its Board of Directors declared a regular quarterly cash dividend of $0.07 per share of its common stock, par value $0.01 per share, payable on September 30, 2022 to common stockholders of record on August 31, 2022. Although Fortive expects to pay dividends on a quarterly basis, any subsequent declaration of dividends, including the amount, the record dates and the payment dates for any such future",2022-08-18
36,"Shares of Fortive Corp. inched 0.43% higher to $68.33 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-08-18
37,"Coronavirus-led disruptions are hurting the Zacks Electronics - Testing Equipment industry. However, industry participants like AME, FTV and NATI are set to gain from 5G prospects.",2022-08-18
38,"Shares of Fortive Corp. dropped 0.90% to $68.04 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-08-17
39,"GuruFocus Article or News written by Sydnee Gatewood and the topic is about: By Nathan F. Ritz, CFA",2022-08-17
40,"Shares of Fortive Corp. inched 0.25% higher to $68.66 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-08-16
41,GuruFocus Article or News written by insider and the topic is about: ,2022-08-16
42,"Shares of Fortive Corp. shed 0.03% to $68.49 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-08-15
43,Keysight is a key player in the market of communications testing and measurement. See why I think KEYS stock is a great long-term investment opportunity.,2022-08-15
44,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-09
45,"Shares of Fortive Corp. slipped 0.49% to $65.27 Friday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",2022-08-05
46,"In this article, we will be discussing the 10 best stocks to buy now according to billionaire Andreas Halvorsen. To skip our detailed analysis of Halvorsen’s history, his investment strategy and hedge fund performance, skip and go directly to 5 Best Stocks to Buy Now According to Billionaire Andreas Halvorsen. Ole Andreas Halvorsen is a […]",2022-08-04
47,"Shares of Fortive Corp. inched 0.47% higher to $65.59 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",2022-08-04
48,"Shares of Fortive Corp. advanced 1.73% to $65.28 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-08-03
49,"The ""Halftime Report"" traders give their top picks to watch for the second half.",2022-08-03
50,"In trading on Wednesday, shares of Fortive Corp (FTV) crossed above their 200 day moving average of $65.32, changing hands as high as $65.50 per share - Fortive Corp shares are currently trading up about 1.9% on the day. - FTV.",2022-08-03
51,"Shares of Fortive Corp. dropped 0.40% to $64.17 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-08-02
52,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",2022-08-02
53,"Shares of Fortive Corp. sank 0.03% to $64.43 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-08-01
54,Wells Fargo analyst Josep... FTV,2022-08-01
55,Wells Fargo analyst Joe O&#8217;Dea  m...,2022-08-01
56,Barclays analyst Julian M... FTV,2022-08-01
57,"In a report issued on July 28, Amit D...",2022-07-31
58,Mizuho Securities analyst Brett Linzey<...,2022-07-31
59,"Shares of Fortive Corp. rose 3.17% to $64.45 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-07-29
60,Fortive Corporation (FTV) second-quarter earnings and revenues increase year over year due to strong customer demand across all business segments.,2022-07-29
61,Morgan Stanley analyst Joshua Po...,2022-07-29
62,RBC Capital analyst Deane... FTV,2022-07-29
63,JPMorgan analyst Stephen ... FTV,2022-07-29
64,Baird analyst Robert Maso... FTV,2022-07-29
65,Citi analyst Andrew Kaplo... FTV,2022-07-29
66,The following slide deck was published by Fortive Corporation in conjunction with their 2022 Q2 earnings call.,2022-07-28
67,"Fortive Corp (NYSE: FTV) reported second-quarter sales growth of 10.9% year-over-year to $1.46 billion and core sales +9%, beating the consensus of $1.40 billion. Adjusted EPS improved to $0.78 from $0.66 in 2Q21, beating the consensus of $0.72. The company saw continued robust orders and software annual recurring revenue growth, reflecting its solid positions in critical industrial workflow solutions and diversified product portfolio. Sales by segments: Intelligent Operating Solutions $630.1 mi",2022-07-28
68,"Fortive Corp (NYSE:NYSE:FTV) Q2 2022 Earnings Conference Call July 28, 2022, 12:00 ET Company Participants Elena Rosman - VP, IR James Lico - President, CEO &amp; Director Charles...",2022-07-28
69,"Shares of Fortive Corp. advanced 4.99% to $62.47 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-07-28
70,"Fortive (FTV) delivered earnings and revenue surprises of 8.33% and 3.62%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-07-28
71,"EVERETT, Wash., July 28, 2022--Fortive Reports Strong Second Quarter 2022 Results; Raises Full Year 2022 Outlook",2022-07-28
72,"Ford gains, Meta slides following earnings SAVE, MA, TMO, HON, HSY, HOG, F, ETSY, CMCSA, BAX, LUV, FTV, QCOM, META, BBY, JBLU, TDOC",2022-07-28
73,"Fortive Reports Strong Second Quarter 2022 Results Raises Full Year 2022 Outlook •Delivered outstanding financial performance despite continued COVID,... | July 28, 2022",2022-07-28
74,"EVERETT, Wash. _ Fortive Corp. on Thursday reported second-quarter profit of $173 million. On a per-share basis, the Everett, Washington-based company said it had net income of 48... | July 28, 2022",2022-07-28
75,"Fortive Corporation is aprovider of essential technologies for connected workflow solutions across arange of attractive end-markets. Our strategic segments - Intelligent OperatingSolutions,... | July 28, 2022",2022-07-28
76,Narrows FY22 revenue view... FTV,2022-07-28
77,Sees Q3 revenue $$1.43B-$... FTV,2022-07-28
78,Reports Q2 revenue $1.46B... FTV,2022-07-28
79,"Shares of Fortive Corp. rallied 2.20% to $59.50 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-07-27
80,"Notable companies reporti... MA, PFE, MRK, TMO, CMCSA, CMCSK, HON, MO, KDP, HSY, BAX, SIRI, LUV, LH, FTV, IP, LKQ, RCL, HOG, WING",2022-07-27
81,"Teradyne (TER) delivered earnings and revenue surprises of 6.14% and 2.21%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-07-26
82,"Shares of Fortive Corp. slid 0.15% to $58.22 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-07-26
83,Ametek (AME) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-26
84,"Shares of Fortive Corp. slumped 0.19% to $58.31 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-07-25
85,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
86,GuruFocus Article or News written by insider and the topic is about: ,2022-07-22
87,"the online investor,FTV,DAL,",2022-07-21
88,Loop Capital analyst Scot... FTV,2022-07-19
89,"In this article, we talk about the 10 blue chip stocks to buy now according to billionaire Andreas Halvorsen. If you wish to skip our detailed analysis of Halvorsen’s hedge fund performance and stock picks, go directly to 5 Blue Chip Stocks To Buy Now According To Billionaire Andreas Halvorsen. Andreas Halvorsen’s Viking Global had […]",2022-07-18
90,"Staff article entitled First Week of March 2023 Options Trading For Fortive (FTV), about stock options, from Stock Options Channel.",2022-07-18
91,Mizuho analyst Brett Linz... FTV,2022-07-18
