,summary,date
0,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does The Hartford (HIG) have what it takes? Let's find out.",2022-09-21
1,"In a report released today, Elyse Greenspan from Wells Fargo maintained a Buy rating on Hartford Financial (HIG &#8211; Research Report), with a price target of $82...",2022-09-21
2,"It is hard to get excited after looking at Hartford Financial Services Group's (NYSE:HIG) recent performance, when its...",2022-09-19
3,"Shares of Hartford Financial Services Group Inc. slid 0.53% to $65.35 Friday, on what proved to be an all-around poor trading session for the stock market,...",2022-09-16
4,"Shares of Hartford Financial Services Group Inc. inched 0.06% higher to $65.70 Thursday, on what proved to be an all-around rough trading session for the...",2022-09-15
5,"Staff article entitled Interesting HIG Put And Call Options For November 18th, about stock options, from Stock Options Channel.",2022-09-15
6,"Shares of Hartford Financial Services Group Inc. slipped 1.00% to $65.66 Wednesday, on what proved to be an all-around favorable trading session for the...",2022-09-14
7,Wells Fargo analyst Elyse Greenspan maintained a Buy rating on Hartford Financial (HIG &#8211; Research Report) yesterday and set a price target of $82.00. The comp...,2022-09-14
8,"Shares of Hartford Financial Services Group Inc. slid 2.18% to $66.32 Tuesday, on what proved to be an all-around rough trading session for the stock market,...",2022-09-13
9,"Shares of Hartford Financial Services Group Inc. rallied 1.16% to $67.80 Monday, on what proved to be an all-around favorable trading session for the stock...",2022-09-12
10,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",2022-09-12
11,GuruFocus Article or News written by Alberto Abaterusso and the topic is about: Value investors could be interested in these bargains,2022-09-11
12,AON builds STG to empower insurance and reinsurance customers to effectively allocate capital and drive the financial position of their organizations amid tiding over the industry headwinds.,2022-09-09
13,"Shares of Hartford Financial Services Group Inc. inched 0.98% higher to $67.02 Friday, on what proved to be an all-around great trading session for the stock...",2022-09-09
14,"HARTFORD, Conn., September 09, 2022--The Hartford, a leading workers’ compensation and disability insurer, is extending its partnership with the Yale Program in Addiction Medicine (Yale-PAM) to provide a newly-developed training on addiction, pain management and stigma to more medical providers who treat injured workers.",2022-09-09
15,"Shares of Hartford Financial Services Group Inc. inched 0.94% higher to $66.37 Thursday, on what proved to be an all-around great trading session for the...",2022-09-08
16,"Staff article entitled October 28th Options Now Available For Hartford Financial Services Group, about stock options, from Stock Options Channel.",2022-09-08
17,"Insurance Conference to b... MMC, PFG, PLMR, PRI, RE, RGA, RLI, RYAN, JXN, JRVR, HMN, HIPO, HIG, HGTY, GSHD, EQH, AIG, AFL, AFG, AEL, ACGL, CNO, DGICA, EIG, LMND, LNC, MET, SIGI, THG",2022-09-08
18,"Shares of Hartford Financial Services Group Inc. rose 1.15% to $65.75 Wednesday, on what proved to be an all-around favorable trading session for the stock...",2022-09-07
19,"HARTFORD, Conn., September 07, 2022--The Hartford announced today Doug Elliot will retire as the company’s president effective Dec. 31, following more than 11 years with the company.",2022-09-07
20,"Item 5.02 Departure of Directors or Certain Officers; Election of Directors;Appointment of Certain Officers; Compensatory Arrangements of Certain Officers. On September 7, 2022 Douglas Elliot... | September 7, 2022",2022-09-07
21,Hartford announced Doug E... HIG,2022-09-07
22,"Insurance Conference to b... MMC, PFG, PLMR, PRI, RE, RGA, RLI, RYAN, JXN, JRVR, HMN, HIPO, HIG, HGTY, GSHD, EQH, AIG, AFL, AFG, AEL, ACGL, CNO, DGICA, EIG, LMND, LNC, MET, SIGI, THG",2022-09-07
23,"Shares of Hartford Financial Services Group Inc. inched 0.02% higher to $65.00 Tuesday, on what proved to be an all-around grim trading session for the stock...",2022-09-06
24,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does The Hartford (HIG) have what it takes? Let's find out.",2022-09-05
25,"Old Republic (ORI) is poised for growth banking on solid market presence, niche focus, low property catastrophe exposure in its General Insurance segment and robust capital position.",2022-09-05
26,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",2022-09-05
27,"Shares of Hartford Financial Services Group Inc. slipped 0.26% to $64.99 Friday, on what proved to be an all-around dismal trading session for the stock...",2022-09-02
28,MGIC (MTG) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-02
29,"Shares of Hartford Financial Services Group Inc. rose 1.32% to $65.16 Thursday, on what proved to be an all-around positive trading session for the stock...",2022-09-01
30,Assurant (AIZ) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-01
31,,2022-09-01
32,"Shares of Hartford Financial Services Group Inc. slid 0.55% to $64.31 Wednesday, on what proved to be an all-around dismal trading session for the stock...",2022-08-31
33,CNO (CNO) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-08-31
34,"HARTFORD, Conn., August 31, 2022--New research from The Hartford, a leading provider of employee benefits and absence management, found 40% of U.S. workers reported inflation will make them scale back on the employee benefits they choose during open enrollment. In addition, 48% of U.S. workers said inflation is making it difficult for them to pay for their benefits.",2022-08-31
35,"HARTFORD, Conn., Aug. 31, 2022 - The Hartford's Chairman and CEO Christopher Swift and Chief Financial Officer Beth Costello will participate in a fireside chat at the KBW Insurance Conference... | August 31, 2022",2022-08-31
