,summary,date
0,"Shares of Host Hotels & Resorts Inc. sank 0.67% to $17.70 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the...",2022-09-20
1,A portfolio of well-located hotels and capital-recycling efforts is likely to aid Host Hotels (HST).,2022-09-20
2,"Shares of Host Hotels & Resorts Inc. inched 0.28% higher to $17.82 Monday, on what proved to be an all-around favorable trading session for the stock market,...",2022-09-19
3,"BETHESDA, Md., Sept. 14, 2022 (GLOBE NEWSWIRE) -- Host Hotels & Resorts, Inc. (NASDAQ: HST) (the “Company”) has learned that MacKenzie Capital Management, LP (“Purchaser”) made an unsolicited “mini-tender” offer for up to 100,000 operating partnership units (“OP Units”) of Host Hotels & Resorts, L.P. (“Host L.P.”) at a price of $13.00 per OP Unit less cash distributions made by Host L.P. after July 15, 2022 (the “MacKenzie Offer”). This follows multiple earlier “mini-tender” offers by the Purcha",2022-09-14
4,"BETHESDA, Md., Sept. 14, 2022 (GLOBE NEWSWIRE) -- Host Hotels & Resorts, Inc. (NASDAQ: HST), the nation’s largest lodging real estate investment trust (the “Company”), released its 2022 Corporate Responsibility (CR) Report, which details the Company’s CR program and responsible investment strategy along with its environmental, social and governance (ESG) performance, progress and industry-leading accomplishments. Additionally, the 2022 CR Report introduces the framework for the Company’s 2050 CR",2022-09-14
5,Host Hotels & Resorts... HST,2022-09-14
6,Host Hotels has learned t... HST,2022-09-14
7,Oppenheimer analyst Tyler... HST,2022-09-14
8,"Shares of Host Hotels & Resorts Inc. slid 3.30% to $17.88 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the...",2022-09-13
9,,2022-09-13
10,"Shares of Host Hotels & Resorts Inc. rallied 1.37% to $18.49 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",2022-09-12
11,Hotel REITs are the fourth-best performing REIT sector of 2022 thus far. We examine different Hotel REITs and pick a winner. Click here to see the results.,2022-09-10
12,"Finding the right real estate investment trusts (REITs) to buy really boost your portfolio – particularly if you’re eager for a regular income stream. REITs are popular for investors who favor dividend stocks because they’re a special class of investment that gets preferential tax treatment. As part of that arrangement, however, the REIT must return 90% of taxable income back to shareholders. The best REITs to buy provide some of the best dividend ratios that you can find in the market. When the",2022-09-09
13,"Shares of Host Hotels & Resorts Inc. rose 3.23% to $18.24 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-09-09
14,"Shares of Host Hotels & Resorts Inc. inched 0.17% higher to $17.67 Thursday, on what proved to be an all-around favorable trading session for the stock...",2022-09-08
15,"The US housing market looks toppy, sales are falling, and affordability is weak. Click here to read why REITs might be a buy in today's market.",2022-09-08
16,"Shares of Host Hotels & Resorts Inc. rallied 3.76% to $17.64 Wednesday, on what proved to be an all-around positive trading session for the stock market,...",2022-09-07
17,AWPâs objective of paying dividends irrespective of its earnings does not seem to be a sustainable policy. See why I'd prefer to stay away from this CEF.,2022-09-07
18,"Shares of Host Hotels & Resorts Inc. slid 1.51% to $17.00 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",2022-09-06
19,U.S. equity markets posted their third-straight week of declines while interest rates pushed higher. Real estate equities were lower as well - here's everything REIT investors need to know.,2022-09-04
20,"Shares of Host Hotels & Resorts Inc. slipped 0.63% to $17.26 Friday, on what proved to be an all-around poor trading session for the stock market, with the...",2022-09-02
21,Host Hotels (HST) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-02
22,American Tower's (AMT) signing of a long-term lease deal with Verizon is likely to drive revenues with the tenant's 5G network deployment across its extensive portfolio in the United States.,2022-09-01
23,"BETHESDA, Md., Aug. 31, 2022 (GLOBE NEWSWIRE) -- Host Hotels & Resorts, Inc. (NASDAQ: HST) (the “Company”) will report third quarter 2022 financial results on Wednesday, November 2, 2022, after the market close. The Company will hold a conference call to discuss its third quarter 2022 results and business outlook on Thursday, November 3, 2022, at 10:00 a.m. ET. Conference call access information is as follows: Conference Call: USA Toll Free Number888-506-0062 International Toll Number973-528-001",2022-08-31
24,"Public Storage (PSA) is poised to gain from high brand value, strategic acquisitions and robust presence in key cities, though a development boom in many markets is a concern.",2022-08-31
25,Gladstone Commercial's (GOOD) sale of the Parsippany office building comes as part of the company's capital recycling efforts.,2022-08-30
26,"AstraZeneca upgrade, Life Storage downgrade and Frontier Group coverage resumption among today's top calls on Wall Street AZN, PK, HST, APLE, NVST, LSI, CHH, HAIN, HT, DRH, PEB, COO, ULCC, MOND, IGMS, XENE, BATL, DOW, LYB, WLK",2022-08-29
27,"As previously reported, W... HST",2022-08-29
28,Wells Fargo analyst Dori ... HST,2022-08-29
29,,2022-08-29
30,"Shares of Host Hotels & Resorts Inc. slipped 4.65% to $18.24 Friday, on what proved to be an all-around poor trading session for the stock market, with the...",2022-08-26
31,"Shares of Host Hotels & Resorts Inc. rallied 2.30% to $19.13 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",2022-08-25
32,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-25
33,AvalonBay (AVB) And Medical Properties (MPW) are two discounted REITs that are poised to thrive in a stagflationary environment. Read more about them here.,2022-08-25
34,"Shares of Host Hotels & Resorts Inc. advanced 1.30% to $18.70 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",2022-08-24
35,The improving lodging industry fundamentals and prudent capital-management practices are key factors behind Host Hotels' (HST) 17.8% quarter-to-date rise.,2022-08-24
36,"Staff article entitled Interesting HST Put And Call Options For April 2023, about stock options, from Stock Options Channel.",2022-08-24
37,"With U.S. stock markets set to open in two hours, (GETY) was up 9.6% in pre-market trading, and (INTU) was up 5.9%. (SOFI), (HST), and (CCJ) were all posting...",2022-08-24
38,"Shares of Host Hotels & Resorts Inc. inched 0.33% higher to $18.46 Tuesday, on what proved to be an all-around rough trading session for the stock market,...",2022-08-23
39,"Shares of Host Hotels & Resorts Inc. slipped 2.02% to $18.40 Monday, on what proved to be an all-around poor trading session for the stock market, with the...",2022-08-22
40,"Shares of Host Hotels & Resorts Inc. slid 3.94% to $18.78 Friday, on what proved to be an all-around dismal trading session for the stock market, with the...",2022-08-19
41,"The ongoing recovery of the lodging industry and prudent capital-management practices will aid Host Hotels (HST). Yet, stiff competition and a spike in online short-term rentals make us apprehensive.",2022-08-19
42,"Shares of Host Hotels & Resorts Inc. advanced 1.03% to $19.55 Thursday, on what proved to be an all-around positive trading session for the stock market,...",2022-08-18
43,"Shares of Host Hotels & Resorts Inc. slipped 0.87% to $19.35 Wednesday, on what proved to be an all-around rough trading session for the stock market, with...",2022-08-17
44,"Shares of Host Hotels & Resorts Inc. advanced 1.72% to $19.52 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",2022-08-16
45,"Shares of Host Hotels & Resorts Inc. slid 1.74% to $19.19 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-08-15
46,GuruFocus Article or News written by insider and the topic is about: ,2022-08-14
47,"With real estate earnings season now complete, we compiled the critical metrics and discuss how we're playing each property sector in our portfolios. Read more.",2022-08-09
48,"Equity markets were mixed this week after a surprisingly strong payrolls report, casting doubt on ""Fed pivot"". See what is behind this in various sectors.",2022-08-07
49,"There are cheap stocks, and then there are penny stocks. The former aren’t necessarily bad investments. The latter — defined as stocks trading at $5 or less — often turn out to be duds. Let’s take a look at six cheap stocks that analysts love. For this article, cheap stocks will be those companies whose July 26 closing share price was $20 or less. In addition, they will be stocks where at least 10 analysts cover the business and have an average rating of “outperform” or “buy.” I’ve been able to",2022-08-05
50,"The following discussion and analysis should be read in conjunction with theunaudited condensed consolidated financial statements and related notes includedelsewhere in this report. Host Inc.... | August 5, 2022",2022-08-05
51,Companies in the  Financial sector have received a lot of coverage today as analysts  weigh in on Brixmor Property (<span class='tr-stock-ticker' style='color:blue;...,2022-08-05
52,"In a report released today, Chris Woro...",2022-08-05
53,"The really cheap stocks, sometimes referred to as ""penny"" stocks, trade under $5. Buy these six cheap stocks between $5 and $20 instead.",2022-08-05
54,"BETHESDA, Md., Aug. 04, 2022 (GLOBE NEWSWIRE) -- Host Hotels & Resorts, Inc. (NASDAQ: HST), the nation's largest lodging real estate investment trust (the ""Company""), today provided an updated investor presentation for second quarter 2022 results. The investor presentation can be found on the Investor Relations section on the company’s website at https://www.hosthotels.com/investor-relations/investor-presentation. About Host Hotels & Resorts Host Hotels & Resorts, Inc. is an S&P 500 company and",2022-08-04
55,"With me on today's call will be Jim Risoleo, president and chief executive officer; and Sourav Ghosh, executive vice president and chief financial officer.  In addition to the 16 Marriott Transformational Capital Program assets, we have eight hotels where we have completed or are in the process of completing major renovations.",2022-08-04
56,"Shares of Host Hotels & Resorts Inc. advanced 1.96% to $17.68 Thursday, on what proved to be an all-around rough trading session for the stock market, with...",2022-08-04
57,"Host Hotels &amp; Resorts, Inc. (NASDAQ:NASDAQ:HST) Q2 2022 Earnings Conference Call August 04, 2022 10:00 AM ET Company Participants Jaime Marcus - Senior Vice President of Investor...",2022-08-04
58,Host Hotels (HST) reports better-than-anticipated Q2 results driven by a rise in leisure travel and improved group demand in urban markets. It also announces doubling of its quarterly dividend.,2022-08-04
59,Analysts have been eager to weigh in on the Financial sector with new ratings on Host Hotels &#038; Resorts (<span class='tr-stock-ticker' style='color:blue; font-w...,2022-08-04
60,"Host Hotels (HST) delivered FFO and revenue surprises of 18.37% and 9.51%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-08-03
61,"BETHESDA, Md., Aug. 03, 2022 (GLOBE NEWSWIRE) -- Host Hotels & Resorts, Inc. (NASDAQ: HST) (the “Company”), the nation’s largest lodging real estate investment trust (“REIT”), today announced results for second quarter of 2022. Operating Results (unaudited, in millions, except per share and hotel statistics) Quarter ended June 30, PercentChange PercentChange Year-to-date ended June 30, PercentChange PercentChange 2022 2021 vs. Q22021 vs. Q22019⁽²⁾ 2022 2021 vs. 2021 vs. 2019⁽²⁾ Revenues $1,381 $",2022-08-03
62,"THE PHOENICIAN, A LUXURY COLLECTION RESORT Supplemental Financial Information ... | August 3, 2022",2022-08-03
63,"Shares of Host Hotels & Resorts Inc. inched 0.23% higher to $17.34 Wednesday, on what proved to be an all-around positive trading session for the stock...",2022-08-03
64,"BETHESDA, Md. _ Host Hotels & Resorts Inc. on Wednesday reported a key measure of profitability in its second quarter. The results beat Wall Street expectations. The Bethesda,... | August 3, 2022",2022-08-03
65,"Five companies will report earnings results today after the market closes. These are ALB, ATO, LUMN, HST and PAA.",2022-08-03
66,"In a report released today, Ari Klein ...",2022-08-03
67, HST,2022-08-03
68,Reports Q2 revenue $1.38B... HST,2022-08-03
69,"Shares of Host Hotels & Resorts Inc. slipped 3.03% to $17.30 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the...",2022-08-02
70,"Shares of Host Hotels & Resorts Inc. inched 0.17% higher to $17.84 Monday, on what proved to be an all-around grim trading session for the stock market, with...",2022-08-01
71,Host Hotels' (HST) Q2 earnings are likely to have benefited from the recovery in leisure travel as well as business transient and group demand. Growth in occupancy and RevPAR is expected.,2022-08-01
72,"Shares of Host Hotels & Resorts Inc. dropped 0.56% to $17.81 Friday, on what proved to be an all-around great trading session for the stock market, with the...",2022-07-29
73,"Shares of Host Hotels & Resorts Inc. advanced 1.82% to $17.91 Thursday, on what proved to be an all-around positive trading session for the stock market,...",2022-07-28
74,Here is how CBTX (CBTX) and Host Hotels (HST) have performed compared to their sector so far this year.,2022-07-28
75,These are the stocks posting the largest moves in midday trading. ,2022-07-28
76,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
77,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
78,,2022-07-28
79,"Shares of Host Hotels & Resorts Inc. advanced 3.84% to $17.59 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",2022-07-27
80,"The mean of analysts' price targets for Host Hotels (HST) points to a 27.7% upside in the stock. While this highly sought-after metric has not proven reasonably effective, strong agreement among analysts in raising earnings estimates does indicate an upside in the stock.",2022-07-27
81,Host Hotels & Resorts is the largest lodging REIT and one of the largest owners of luxury and upper-upscale hotels. HST's earnings are set for release next week.,2022-07-26
82,"Shares of Host Hotels & Resorts Inc. slipped 2.08% to $16.94 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with...",2022-07-26
83,"Host Hotels & Resorts has yet to see a rebound in RevPAR to 2019 levels. Additionally, a decline in cash relative to debt seems to be a concern for investors.",2022-07-26
84,"Shares of Host Hotels & Resorts Inc. rallied 2.25% to $17.30 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",2022-07-25
85,"Today I’m looking at REITs to sell now, as they have little or no income and their prospects for investors are not that good as a result. Moreover, it may take some time for these REITs, or real estate investment trusts, to revive and renew their ability to produce income for their investors. The fact is that investors choose REIT stocks because of their income-producing abilities and dividend yields. The fact that these trusts are concentrated in the real estate or mortgage industry is tangenti",2022-07-25
86,Caesars may not survive a severe recession without asset sales and/or new equity issuance to reduce massive debts. Learn what investors needs to know about CZR stock.,2022-07-22
87,"Shares of Host Hotels & Resorts Inc. shed 1.74% to $16.92 Friday, on what proved to be an all-around dismal trading session for the stock market, with the...",2022-07-22
88,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
89,"Shares of Host Hotels & Resorts Inc. slipped 0.69% to $17.22 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",2022-07-21
90,"Nearly 40% of global carbon dioxide emissions come from real estate, according to the United Nations. Fifth Wall sees a huge opportunity.",2022-07-21
91,"Shares of Host Hotels & Resorts Inc. advanced 1.29% to $17.34 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",2022-07-20
92,"Ownership Submission FORM 4 Check this box if no longer... | July 18, 2022",2022-07-18
93,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,2022-07-18
94,"Prologis, Extra Space Storage and Host Hotels & Resorts have been highlighted in this Industry Outlook article.",2022-07-18
95,"""Knock at the Cabin,"" a new film by director M. Night Shyamalan, is the first adaptation of one of Paul Tremblay's horror novels.",2022-07-16
96,"Shares of Host Hotels & Resorts Inc. advanced 1.59% to $15.96 Friday, on what proved to be an all-around positive trading session for the stock market, with...",2022-07-15
