,summary,date
0,"Joana Gallegos, Bond Bloxx Investment Management co-founder, joins 'Power Lunch' to discuss why fixed income could be a place for positive yields, how difficult it is to tell bond investors that now is a good time to buy and more.",2022-09-22
1,An FDA official said updated COVID-19 boosters for 5- to 11-year-olds will be authorized in the coming weeks.,2022-09-22
2,Let’s stop talking about the 'full retirement age',2022-09-21
3,"Although consumers are benefiting from robust labor markets and strong balance sheets, they appear reluctant to buy high-cost durable goods.",2022-09-20
4,"Staff article entitled HYG: ETF Outflow Alert, about ETFs, from ETF Channel.",2022-09-20
5,U.S. stocks opened lower Tuesday as the Federal Reserve heads into a two-day policy meeting and Treasury yields continue their climb amid expectations the...,2022-09-20
6,"Several ETFs are in focus and could see outsized volume, depending on the upcoming Fed decision. ",2022-09-20
7,"As we start the third week of September, with the US Fedâs much-telegraphed rate hike on Wednesday (+.75 with some 30% betting odds of a full percent!), markets are peaked.",2022-09-19
8,"S&P 500 declined on the disappointing CPI, especially core inflation points at more to come, and the better PPI figures don‘t make up for that.",2022-09-19
9,"The first half of the year saw GDP contract slightly and GDI expand slightly, and I interpret that as little to no growth.",2022-09-19
10,ProShares Short High Yield Fund shorts high yield corporate bonds and has been a winner in 2022 amid rising rates. See why we are bullish on SJB ETF.,2022-09-17
11,"For the eighth straight month, mutual fund investors were net redeemers of fund assets, withdrawing $55.3 billion from conventional funds for August. Read more here.",2022-09-16
12,HYB is a leveraged high yield bond fund and its last report shows that the latest six months showed NII fully covered the payout. Click to read our analysis.,2022-09-15
13,Total consolidated U.S. ETF notional value traded in August 2022 amounted to USD 49.3 billion.,2022-09-14
14,"We believe that investors must differentiate between nominal yields and the yield curve.Â Yield curve is a better indicator of the economy, whileÂ UST10Y is a better indicator for inflation.",2022-09-13
15,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
16,"Looking at units outstanding versus one week prior within the universe of ETFs covered at ETF Channel, the biggest outflow was seen in the iShares iBoxx $ High Yield Corporate Bond ETF, where 12,300,000 units were destroyed, or a 7.0% decrease week over week - And on a percentage change basis, the ETF with the biggest outflow was the PSTP ETF, which lost 775,000 of its units, representing a 39.7% decline in outstanding units compared to the week prior - HYG,PSTP.",2022-09-09
17,A global multi-sector approach can deliver much more than just international diversification.,2022-09-08
18,"As I have been saying since before Jackson Hole, the most important data point for 2022 will come on September 13 when CPI data is released. ",2022-09-08
19,,2022-09-08
20,"Despite a rough 1H 2022, bonds still have an important role to play in your portfolio, offering potential income, diversification, and capital preservation.",2022-09-08
21,High yield has generated much higher returns than loans over long periods of time even though loans had comparable drawdowns during the Global Financial Crisis (GFC) and the COVID bear...,2022-09-08
