,summary,date
0,"As evidence piles up that the stock market is caught in a bear market, the focus inevitably turns to analytics that will signal a high-confidence forecast. Read more.",2022-09-23
1,There are some important financial implications to below-trend economic growth.,2022-09-23
2,"At its September meeting, a hawkish Federal Reserve conveyed its resolve to bring inflation down.",2022-09-23
3,The Fedâs GDP growth forecast was lowered to just .2% in 2022 and 1.2% in 2023 and well below the 2.5% US GDP growth capacity estimate. Click to read more.,2022-09-22
4,"As expected, the FOMC increased the range for the federal funds rate by 75 basis points to 3-3.25%. Click to read more.",2022-09-22
5,We explored the results of integrating 5% of Bitcoin into a traditional portfolio. Here are the surprising results.,2022-09-22
6,"S&P 500 is on a bounce that may be an attempt to get above the short gamma zone at 3750.00. However, overhead resistance lies at 3780.00, making it difficult to do so. ",2022-09-22
7,"As comments from heads of central banks go, yesterdayâs press conference was relatively lucid. Click here to read more.",2022-09-22
8,"At September meeting, Fed officials hiked fed funds rate by 75 BP & provided their most resolute messaging to date on their willingness to do whatever it takes to battle inflation.",2022-09-22
9,Powell says that whatever the Fed does will be enough to push inflation to return to the target. The market responds by saying the Fed is underestimating the magnitude of the tightening.,2022-09-22
10,The U.S. Federal Reserve delivered its third straight 75-bps rate hike on Wednesday. What was the market reaction and key takeaways? Click here to find out.,2022-09-22
11,"With inflation proving to be stickier than imagined, the Fed said activity needs to slow much more with the door left wide open for a fourth consecutive 75bp hike in November. Read more here",2022-09-22
12,Federal Reserve Chairman Powell delivered another forceful message to markets. Is he still being too optimistic? Click here to find out.,2022-09-22
13,The Fed delivered another outsized rate increase at todayâs FOMC meeting. What could this latest move mean for the US economy? Click here to find out.,2022-09-21
14,"The Dow Jones Industrial Average is clinging to modest morning gains, last seen up 129 points, as investors brace themselves for the conclusion of the Federal Open Market Committee's two-day policy meeting. ",2022-09-21
15,The Federal Reserve is expected to raise interest rates today and another 75-basis point hike is widely expected. Read more here.,2022-09-21
16,"Another FOMC meeting, and another 75bp hike. But there is a rump going for 100bp, so 75bp could be positive for risk assets, albeit briefly. The dot plot will be watched. Read more here...",2022-09-21
17,Policymakers now face a delicate tradeoff between bringing down inflation or sustaining economic growth. Are we nearing a US recession? Click here to find out.,2022-09-21
18,Powell rocks markets with comments of higher interest rates for a longer period of time.,2022-09-21
19,The August print showed that consumer prices continued to rise. Why do we think investors may be overly optimistic on inflation easing? Click here to find out.,2022-09-21
20,"Markets did not like the August CPI increase over the number from July, which remained essentially unchanged, though a significant decline had been predicted.",2022-09-20
21,"Although consumers are benefiting from robust labor markets and strong balance sheets, they appear reluctant to buy high-cost durable goods.",2022-09-20
22,"The Dow Jones Industrial Average is deepening this morning's losses, down nearly 320 points at last check, as the Federal Open Market Committee's (FOMC) two-day policy meeting gets underway.",2022-09-20
23,"A long-term hiking trend related to inflation likely means the stock market's good times are finished for the next 20 to 30 years in America, but what about gold? There’s an ebb and flow to the inflation and rising rates super cycle. ",2022-09-20
24,"Shares of Microsoft Corp. undefined fell 0.7% in premarket trading Tuesday, after the software behemoth said it raised its quarterly dividend by 9.7%, to 68...",2022-09-20
25,"Ahead of tomorrow's ... IEF, TLT",2022-09-20
26,"All eyes remain on the Federal Open Market Committee's (FOMC) two-day meeting that concludes tomorrow, in which Wall Street anticipates a 0.75 basis point interest rate hike.",2022-09-20
27,The Federal Reserve is widely expected to lift its target interest rate by 75 basis points tomorrow. The question is whether the bond market has priced in the change.,2022-09-20
28,This week the Fed funds rate will likely rise above the prior Fed funds rate hiking cycle for the first time in 40 years or so.,2022-09-20
29,"The 0.1% monthly CPI gain shocked Wall Street and spooked Treasury yields, pushing 10-yr yields up. The Fed must act, so a potential rate hike at the November FOMC meeting could be justified",2022-09-20
30,The financial markets were shocked by the US CPI for August. When will we see a monetary shift? Click here to find out.,2022-09-20
31,"The new regime of macro volatility is playing out with weaker growth, persistent inflation and volatile markets. We stick with our dialed-down risk stance and favor credit over equities.",2022-09-20
32,There have been more predictors of lower inflation of late. Click here to read about these in more detail.,2022-09-19
33,"The Fed has been raising short-term interest rates from near zero during 2022, with guidance that more hikes are to come. Read more.",2022-09-19
34,The combination of high/sticky inflation and central banksâ determination to drive it down is the biggest risk to markets now. We are likely to continue to see inflation for a while longer.,2022-09-19
35,"As long as inflation expectations are driving the market and the data remain this noisy, inflation is likely to remain the biggest source of potential volatility. Read more.",2022-09-19
36,"The first half of the year saw GDP contract slightly and GDI expand slightly, and I interpret that as little to no growth.",2022-09-19
37,"Expect a 75bp hike. High inflation means 100bp is a risk but inflation expectations and corporate price plans look less threatening, and growth outlook is more uncertain, so we don't see it.",2022-09-19
38,"Do you continue to lighten up on bounces? At some point, you end up selling at the lows and pushing risk management too far. I donât think we are there yet. Read more here...",2022-09-19
39,"Core CPI, excludes food and energy, rose from July's YoY of 5.9% to a YoY rate of 6.3% in August. A large part of economic data seems to be indicating the economy is slowing.",2022-09-19
40,The COT bond market speculator bets were mixed evenly this week as four out of the eight bond markets we cover had higher positioning this week while four markets had lower contracts.,2022-09-18
41,"The inability to break one way or the other arguably is reflective of the stage of the US economy, with investors awarding low probability to a hard-landing scenario but not expecting acceleration in activity anytime soon either",2022-09-17
42,"Seasonally, this negative period ends in a few weeks.",2022-09-17
43,World's major central banks grew increasingly united in their resolve to bring inflation under control. How did major indices react? Click here to find out.,2022-09-17
44,The market is telegraphing that what the Fed is planning to do is potentially destructive to the economy.,2022-09-17
45,"Despite all-time record revenues for August, spending jumped from $439B last August to $523B this August, a YoY increase of almost 20%.",2022-09-17
46,It seems that the biggest part of the 2013-like decline is taking place in the gold market. Is it a harbinger of the next phase of the yellow metal’s fall?,2022-09-16
47,"Staff article entitled IEF: ETF Inflow Alert, about ETFs, from ETF Channel.",2022-09-16
48,"Tony DeSpirito, BlackRock's CIO of U.S. Fundamental Equities, discusses how inflation is impacting the economy and what history can teach us about the outlook for the stock market.",2022-09-16
