,summary,date
0,"With the focus on environmental trends, sustainability and climate change, there are a lot of opportunities and risks that come along with that.",2022-09-23
1,The country tends to dominate cap-weighted EM indexes.,2022-09-22
2,The effects of volatility in 2022 have been felt by investors globally. How should you invest in emerging markets in volatile times? Click here to find out.,2022-09-22
3,"Staff article entitled Notable ETF Outflow Detected - IEMG, LI, TCOM, BEKE, about ETFs, from ETF Channel.",2022-09-21
4,World's major central banks grew increasingly united in their resolve to bring inflation under control. How did major indices react? Click here to find out.,2022-09-17
5,Carvana and Lucid Motors are among the most heavily shorted stocks.,2022-09-15
6,"Mortgage applications fell again this week, the Mortgage Bankers Association said, with homebuyers staying on the sidelines as interest rates rise.",2022-09-14
7,"Today, every major part of the world economy is seemingly prone to a serious economic crisis. European economy is perhaps the most immediate cause for concern.",2022-09-13
8,"Elevated inflation, slowing global economic growth expectations, & reduced central bank liquidity remain key economic considerations. Click here to read more.",2022-09-08
9,The contribution of emerging and frontier markets to global trade in clean-energy metals has steadily grown in recent years.,2022-09-02
10,Bridgewater Associatesâ 13F portfolio value decreased from ~$24.81B to ~$23.60B in Q2. They increased Walmart and CVS Health while dropping Alibaba and JD.com.,2022-09-01
11,GuruFocus Article or News written by insider and the topic is about: ,2022-08-30
12,"Of the major asset classes we follow, only commodities were higher last week. Read more here.",2022-08-29
13,GuruFocus Article or News written by insider and the topic is about: ,2022-08-16
14,"VWO and IEMG, the two largest emerging market ETFs, each have over 80% allocated to Asian markets, with over half of that 80% in Greater China alone. Read more.",2022-08-15
15,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
16,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
17,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
18,GuruFocus Article or News written by insider and the topic is about: ,2022-08-14
19,GuruFocus Article or News written by insider and the topic is about: ,2022-08-12
20,"With inflation at multi-decade highs in many countries and pressures broadening beyond food and energy prices, policymakers have pivoted toward tighter policy.",2022-08-10
21,GuruFocus Article or News written by insider and the topic is about: ,2022-08-10
22,"Our investment principle is heavily influenced by Ray Dalio, and this article elaborates on the role of geographical diversification.",2022-08-09
23,July was the highest revenue generating month of 2022. The US hard to borrow equity market pushes revenues higher. Fixed income continues to see strong demand.,2022-08-09
24,"US & European markets trailed global index for the year through July end, while UK & Japan held their YTD & 12-month leadership, despite losing ground to world index in July.",2022-08-06
25,GuruFocus Article or News written by insider and the topic is about: ,2022-08-05
26,GuruFocus Article or News written by insider and the topic is about: ,2022-08-04
27,"Global economic growth slowed to a crawl in July, according to the latest PMI survey data, led by the developed world falling into contraction for the first time in two years.",2022-08-04
28,GuruFocus Article or News written by insider and the topic is about: ,2022-08-03
29,"Global equity markets went into a protective crouch last quarter, and factor performance followed suit. Read more.",2022-08-03
30,"Output fell in the United States, Eurozone, UK and Japan, while mainland China saw a reduced rate of expansion and the rest of Asia as a whole likewise mustered only modest growth.",2022-08-03
