,summary,date
0,"The new regime of macro volatility is playing out with weaker growth, persistent inflation and volatile markets. We stick with our dialed-down risk stance and favor credit over equities.",2022-09-20
1,The median economist forecast is for more inflation and higher unemployment than the Fed's median projection in June. Read more here.,2022-09-17
2,World's major central banks grew increasingly united in their resolve to bring inflation under control. How did major indices react? Click here to find out.,2022-09-17
3,"Hotter-than-expected August CPI and quarterly options/derivatives expiration made for a toxic mix. âCoreâ CPI was reported up 0.6% for the month (7% annualized!), double estimates.",2022-09-17
4,UK prime minister Liz Truss announced a price cap on natural gas to shelter households from the 80% increase scheduled for next month and more price resets slated for January and April 2023.,2022-09-17
5,"The US CPI reading kicked off the latest curve flattening leg, but the coordinated hawkishness of ECB officials is helping to extend it. Read more here...",2022-09-16
6,"Citing economic sanctions imposed by the West, Russia has closed the taps to its Nord Stream 1 pipeline, throwing Europe into its biggest energy crisis in decades.",2022-09-14
7,"Today, every major part of the world economy is seemingly prone to a serious economic crisis. European economy is perhaps the most immediate cause for concern.",2022-09-13
8,"The green revolution will continue, but with barely 3% of US electricity production originating from solar and wind sources, fossil fuels will dominate energy production. Read more here...",2022-09-13
9,We think the energy crisis will spur a recession in Europe. The ECB is trying to fight inflation without recognizing the costs. Read more here...,2022-09-12
10,Russia cuts off natural-gas flows to Europe indefinitely. UK unveils plan to cap energy prices for businesses and consumers. Read more here.,2022-09-10
11,We continue to believe that large cap US equities should be the outsize bedrock asset on the growth side of long-term portfolios.,2022-09-10
12,The hawks won the front-loading argument and the ECBâs council unanimously decided to raise all key rates by 75bp.,2022-09-10
13,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
14,We believe the ECB will aim to bring its interest rates into neutral territory reasonably quickly following its decision to raise its policy rate by 75 bps at its September meeting.,2022-09-09
15,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-09-08
16,"Global economic output contracted in August for the first time since June 2020, according to the latest PMI survey data.",2022-09-08
17,"Weâre in a new macro regime, and we think getting inflation back to central bank targets means crushing demand with a recession. Thatâs bad news for risk assets in the near term.",2022-09-06
18,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
19,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
20,The indefinite shut down of natural gas flows via the Nord Stream 1 pipeline will trigger a severe recession in Germany and Europe.,2022-09-06
21,European curves react to higher energy prices and to news of fiscal support by bear-flattening. More yield upside is to be expected when more spending is announced. Read more here...,2022-09-06
22,"The Reserve Bank of Australia makes its announcement early Tuesday, September 6. One of the challenges for policymakers and investors is that Australia reports inflation quarterly.",2022-09-03
23,"The JPMorgan Global Manufacturing Purchasing Managers' Index, compiled by S&P Global, fell from 51.1 in July to 50.3 in August, its lowest since June 2020. Click here to read more.",2022-09-03
24,"S&P Global Eurozone Manufacturing PMI fell to 49.6 in August, down from 49.8 and further beneath the 50.0 mark that separates growth from contraction. Read more.",2022-09-02
25,"In a paradigm shift, central banks are trying to break inflation, accepting the potential costs of pushing economies further into recession. The ECB has fallen in step. Read more here...",2022-09-02
26,Market rates are set to rise as financial conditions are not tight enough in the US; the US 10yr yield could even go as far as topping 3.5% again. Read more.,2022-09-01
27,Employment expectations from businesses are dropping moderately and the economy is moving towards recession at the moment. Read more.,2022-09-01
28,"Despite recent outperformance of US based companies and US investorsâ home-country bias, we believe investors will still benefit from proper diversification for a well-balanced portfolio.",2022-08-31
29,"The latest inflation data suggests that although the rate of rising has slowed, inflation is not going away just yet as the post-pandemic and war in Ukraine era evolves.",2022-08-30
30,The Food and Drug Administration is expected to authorize new COVID-19 booster shots this week that target the latest versions of the omicron variant but...,2022-08-29
31,"Policymakers have spent weeks trying to convince investors that there was no dovish pivot, to no avail.",2022-08-26
32,"Global securities finance revenues reached $6.1bn in H1 2022, up 12% YoY. Increasing balances across main asset classes were the key linchpin to a strong H1 2022.",2022-08-25
33,"With global demand cooling and supply disruptions easing, global inflation is expected to moderate in 2023 and 2024.",2022-08-25
34,"Equities rebounded in recent weeks as investors considered the prospects of a possible pivot by major central banks, especially after Chinaâs central bank unexpectedly cut interest rates.",2022-08-24
35,"Supply shocks continue to plague the eurozone economy, causing inflation to show few signs of abating in the short run.",2022-08-23
36,"Last quarter, we discussed the ongoing trends of sticky inflation and a hawkish Federal Reserve. These trends accelerated in Q2 as the U.S. Consumer Price Index rose again to 9.1% in June.",2022-08-23
37,"Interest rate volatility has been high, and rotations between value and growth in equities have been sharp. Read more.",2022-08-22
38,What are the odds of a recession? What are the risks that inflation will stay elevated? How are housing markets evolving in a rising rate environment?,2022-08-20
39,Jackson Hole has been heavily discussed since the Fedâs supposed âdovish pivotâ last month when it adopted a more data-dependent stance.,2022-08-19
40,"While today may prove a quiet session, the summer holiday is drawing to a close. Read more here.",2022-08-19
