,summary,date
0,"As expected, the FOMC increased the range for the federal funds rate by 75 basis points to 3-3.25%. Click to read more.",2022-09-22
1,"Ports are no longer backed up but the supply chain is still messed up. Companies are forced to pass the costs of supply chain problems on to customers, shareholders, or both. Read more here.",2022-09-22
2,We explored the results of integrating 5% of Bitcoin into a traditional portfolio. Here are the surprising results.,2022-09-22
3,"In this chart-filled article, we're looking at the economic situation in the United States, starting with the pandemic in 2020. Click here to read more.",2022-09-22
4,Powell says that whatever the Fed does will be enough to push inflation to return to the target. The market responds by saying the Fed is underestimating the magnitude of the tightening.,2022-09-22
5,"Target Corp. undefined said Thursday it's planning to hire up to 100,00 seasonal workers this holiday season with a new starting wage range of $15 to $24 an...",2022-09-22
6,The U.S. Federal Reserve delivered its third straight 75-bps rate hike on Wednesday. What was the market reaction and key takeaways? Click here to find out.,2022-09-22
7,The Fed's forecast for rate hikes was more hawkish than expected. Read why this may send stocks lower.,2022-09-21
8,Fear abounds after today's Fed action. But read why we believe SPY remains on course to make new all-time highs in the coming year or so.,2022-09-21
9,Q2 2022 Operating Earnings calculated by S&P Global for the S&P 500 dropped from record highs in 1Q22.,2022-09-21
10,Consumer spending strongly rebounded in 2021 following the lifting of 2020's government-mandated pandemic lockdown measures.,2022-09-21
11,Long-term Treasuries are attractive in the short term from a total return standpoint as growth slows and inflation declines. Click here to read more.,2022-09-21
12,"The current point of the year can either look like one of the worst, middling, or best times of the year depending on the time frame. Read more here...",2022-09-21
13,Investors have done very well buying QQQ after it has entered every bear market since 2009. Read more to find out if this is still a wise strategy.,2022-09-21
14,The new IRA legislation brings about more uncertainty regarding shareholder-accretive activities. Investors must carefully weigh portfolio risks ahead of 2023. Read more here...,2022-09-21
15,Policymakers now face a delicate tradeoff between bringing down inflation or sustaining economic growth. Are we nearing a US recession? Click here to find out.,2022-09-21
16,"In a time of uncertainty, we believe that quality is the key to investing in equities.",2022-09-21
17,"Through the month of September, we've been on Crash Watch over concerns that a global equity market drop could lead to a liquidity-driven margin call across all asset classes.",2022-09-21
18,Increasing risks of an economic slowdown or recession are likely to have a negative impact on the largest state revenue sources.,2022-09-21
19,The August print showed that consumer prices continued to rise. Why do we think investors may be overly optimistic on inflation easing? Click here to find out.,2022-09-21
20,"Over the past 15 years, government debt scene has changed substantially as the government pushed to recover from the Great Recession and the spread of the Covid-19 pandemic. Read more here.",2022-09-20
21,Performance charts can mislead investors because sometimes they include rare one-off gains or losses early in the time series. See 73 large-cap ETFs ranked.,2022-09-20
22,Capturing the trends that provide context in todayâs economy. Housing market pressures keep inflation high. Small businesses have a knack for predicting inflation.,2022-09-20
23,Implied volatility levels have surged over the past two days for the S&P 500. Read why we think the equity market could rally post-FOMC meeting.,2022-09-20
24,"Although consumers are benefiting from robust labor markets and strong balance sheets, they appear reluctant to buy high-cost durable goods.",2022-09-20
25,The Buffett Indicator is a valuation measure that compares the stock marketâs capitalization to the Gross Domestic Product.,2022-09-20
26,"The 0.1% monthly CPI gain shocked Wall Street and spooked Treasury yields, pushing 10-yr yields up. The Fed must act, so a potential rate hike at the November FOMC meeting could be justified",2022-09-20
27,The financial markets were shocked by the US CPI for August. When will we see a monetary shift? Click here to find out.,2022-09-20
28,There have been more predictors of lower inflation of late. Click here to read about these in more detail.,2022-09-19
29,"Data can easily mislead, but they can also inform. Although the U.S. Click here to read more.",2022-09-19
30,"As we start the third week of September, with the US Fedâs much-telegraphed rate hike on Wednesday (+.75 with some 30% betting odds of a full percent!), markets are peaked.",2022-09-19
31,This week's Federal Reserve meeting could prove to be another blow to the global economy and stock markets. Here's what I think investors should be doing with their cash asset allocations.,2022-09-19
32,"After the August inflation report card flunked, the Fed meets this week to further address inflation. Read why markets expect either a 75 bps or a 100 bps hike.",2022-09-19
33,"The U.S. Dollar gets stronger and stronger, making it tougher and tougher for other countries, especially emerging countries, to function. Read more here.",2022-09-19
34,Vanguard S&P 500 ETF tracks the S&P 500 Index and gives investors a low-cost method to buy the market. Read why S&P 500 and VOO ETF may have more near-term headwinds.,2022-09-19
35,"By the end of the trading week, the S&P 500 retreated to 3,873.33, some 19.2% below its 3 January 2022 all-time record high.",2022-09-19
36,The combination of high/sticky inflation and central banksâ determination to drive it down is the biggest risk to markets now. We are likely to continue to see inflation for a while longer.,2022-09-19
37,Investors are selling risk assets based on inflation over the past 12 months. Yet incoming data suggests that the rate will fall significantly over the coming 12 months.,2022-09-19
38,I see a recession starting in early 2023. Read why I think that it is reasonable for a long-term investor to start preparing now for better days 6-12 months from now.,2022-09-19
39,"As long as inflation expectations are driving the market and the data remain this noisy, inflation is likely to remain the biggest source of potential volatility. Read more.",2022-09-19
40,"The first half of the year saw GDP contract slightly and GDI expand slightly, and I interpret that as little to no growth.",2022-09-19
41,"Economists, analysts, casual market observers, the Fed and central banks' many critics all have one thing in common. They assume monetary policy can be an effective check on inflation.",2022-09-19
42,"Do you continue to lighten up on bounces? At some point, you end up selling at the lows and pushing risk management too far. I donât think we are there yet. Read more here...",2022-09-19
43,"Core CPI, excludes food and energy, rose from July's YoY of 5.9% to a YoY rate of 6.3% in August. A large part of economic data seems to be indicating the economy is slowing.",2022-09-19
44,"S&P 500 operating margins are at all-time highs. We expect reversion because of wage pressures, cost inflation, cost of debt rising and topline growth waning. Is the market a popping bubble?",2022-09-19
45,"After an ugly market reaction to last Tuesdayâs hotter-than-expected August CPI report, jobless claims data on Thursday fell.",2022-09-18
46,The stock market had a pretty bad week. Click here to my views on the FedEx news and the overall markets.,2022-09-18
