,summary,date
0,"U.S. stocks ended lower Thursday, adding to sharp declines suffered the previous session after the Federal Reserve delivered a 75 basis point rate hike and...",2022-09-22
1,"Although consumers are benefiting from robust labor markets and strong balance sheets, they appear reluctant to buy high-cost durable goods.",2022-09-20
2,"Staff article entitled Notable ETF Inflow Detected - LQD, about ETFs, from ETF Channel.",2022-09-20
3,"Staff article entitled LQD Crowded With Sellers, about ETFs, from ETF Channel.",2022-09-20
4,"The new regime of macro volatility is playing out with weaker growth, persistent inflation and volatile markets. We stick with our dialed-down risk stance and favor credit over equities.",2022-09-20
5,"As we start the third week of September, with the US Fedâs much-telegraphed rate hike on Wednesday (+.75 with some 30% betting odds of a full percent!), markets are peaked.",2022-09-19
6,"As long as inflation expectations are driving the market and the data remain this noisy, inflation is likely to remain the biggest source of potential volatility. Read more.",2022-09-19
7,"The first half of the year saw GDP contract slightly and GDI expand slightly, and I interpret that as little to no growth.",2022-09-19
8,"Starting today, the US Fed has pledged to run off its balance sheet by $95 billion a month. Click here to read more.",2022-09-15
9,Total consolidated U.S. ETF notional value traded in August 2022 amounted to USD 49.3 billion.,2022-09-14
10,Why an economic soft landing for the U.S. economy is becoming less likely.,2022-09-14
11,"We believe that investors must differentiate between nominal yields and the yield curve.Â Yield curve is a better indicator of the economy, whileÂ UST10Y is a better indicator for inflation.",2022-09-13
12,LQD tracks investment results of an index composed of US dollar-denominated IG corporate bonds. See why I keep my Hold rating on this ETF.,2022-09-12
13,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
14,"Staff article entitled LQD: Large Outflows Detected at ETF, about ETFs, from ETF Channel.",2022-09-09
15,Investors were overall net redeemers for the second week in a row. Click here to read our latest U.S. Weekly FundFlows Insight Report.,2022-09-09
16,A global multi-sector approach can deliver much more than just international diversification.,2022-09-08
17,"Despite a rough 1H 2022, bonds still have an important role to play in your portfolio, offering potential income, diversification, and capital preservation.",2022-09-08
18,"Today’s battle for the S&P 500 was between 3,900 and 3,920. Right now, the index is just consolidating and is likely to drop to around 3,820 over the near term to fill the gap at that level. ",2022-09-07
19,,2022-09-07
20,"Weâre in a new macro regime, and we think getting inflation back to central bank targets means crushing demand with a recession. Thatâs bad news for risk assets in the near term.",2022-09-06
21,"Today’s battle for the S&P 500 was between 3,900 and 3,920. Right now, the index is just consolidating and is likely to drop to around 3,820 over the near term to fill the gap at that level. ",2022-09-06
22,,2022-09-06
23,Performance across the major asset classes has been challenged in 2022. This difficult performance may continue for the foreseeable future.,2022-09-04
24,"For the fund flows week, the average equity fund suffered a market loss of 3.79%, while the average taxable and tax-exempt bond funds declined 0.81% and 0.48%, respectively.",2022-09-02
25,"The Labor Department reported another strong payrolls gain in August, but cooler than July's hot report. Read more on what the report may mean for the markets.",2022-09-02
26,"Investors were overall net redeemers of fund assets for the first week in three, removing a net $30.2 billion for the week ended Wednesday, August 31.",2022-09-02
27,"Staff article entitled LQD: Large Inflows Detected at ETF, about ETFs, from ETF Channel.",2022-09-01
28,"We expect the IRA to have a small negative financial impact on investment-grade corporates, though not enough to change our near-term view or positioning within the sector.",2022-08-31
29,GuruFocus Article or News written by insider and the topic is about: ,2022-08-30
30,"On Friday, the markets digested comments from Federal Reserve chairman, Jerome Powell that came from the Jackson Hole economic symposium.",2022-08-30
31,"Federal Reserve is aggressively hiking rates. The implications for bonds, bond funds, and bond investors are massive. See why bond funds are stronger today.",2022-08-29
32,Outlook for corporate bonds amid central bank rate hiking cycle. How well are companies positioned to get through challenging economic backdrop?,2022-08-27
33,"Staff article entitled Noteworthy ETF Inflows: LQD, about ETFs, from ETF Channel.",2022-08-24
34,The Chicago Fed National Activity Index rose to 0.27 in July. Growth is slightly below trend and is far from the recession threshold of -0.7. August data so far has been positive as well.,2022-08-23
35,The iShares funds are the first to apply a BuyWrite strategy to fixed income securities.,2022-08-22
36,"Interest rate volatility has been high, and rotations between value and growth in equities have been sharp. Read more.",2022-08-22
37,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-22
38,This article is part of a series that provides an ongoing analysis of the changes made to George Sorosâs 13F stock portfolio on a quarterly basis. Read more.,2022-08-22
39,Stocks rallied hard again this week. I took the opportunity to start to trim some gains in my small-cap and tech stocks. Check out my CEF weekly commentary.,2022-08-22
40,The rebound in long-term interest rates pressured real estate equities and homebuilders as the Equity REIT Index declined 2.2% with 17-of-18 property sectors in negative territory.,2022-08-21
41,"The yield curve is inverted from the 6-month T-bill to the 10-year Treasury note, which would suggest that the bond marketâs message is ârecession ahead, batten down the hatchesâ.",2022-08-20
42,"Staff article entitled ETF Flows Report for 08/19/2022, about ETFs, from ETF Channel.",2022-08-19
43,"Unlike other market segments, high-yield corporate bonds have returns that are highly correlated with U.S. stocks (r=+0.75) - hence, a strong predictor of future stock market performance.",2022-08-19
44,"Investors were overall net purchasers of fund assets for the first week in three, injecting a net $15.9 billionâtheir largest weekly net inflows since June 8, 2022.",2022-08-18
45,"The market fell right out of the gate today as rates surged around the globe, following hotter-than-expected CPI data in the UK. The US retail sales number added to the already surging rates because the report seemed pretty strong on the surface.",2022-08-17
46,,2022-08-17
47,GuruFocus Article or News written by insider and the topic is about: ,2022-08-17
48,The ,2022-08-17
49,,2022-08-17
50,"July was another strong month for the Tradeweb European ETF marketplace, with trading activity amounting to EUR 58.7 billion.",2022-08-17
51,"We see opportunity today within the public credit market, in the form of higher yields, the ability to drive terms, better covenants. Dan Ivascyn, Group CIO, tells us more.",2022-08-16
52,"Staff article entitled Noteworthy ETF Inflows: LQD, about ETFs, from ETF Channel.",2022-08-16
53,GuruFocus Article or News written by insider and the topic is about: ,2022-08-16
54,GuruFocus Article or News written by insider and the topic is about: ,2022-08-16
55,Markets believe inflation is waning and the Fed will slow hikes soon. But we see the Fed hiking rates to levels that will stall the economic restart. Corporate earnings may weaken further.,2022-08-15
56,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
57,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
58,GuruFocus Article or News written by insider and the topic is about: ,2022-08-15
59,,2022-08-13
60,GuruFocus Article or News written by insider and the topic is about: ,2022-08-12
61,GuruFocus Article or News written by insider and the topic is about: ,2022-08-12
62,"George Soros' Soros ... TDG, BHVN, Y, GCP, TPTX, TSLA, LQD, LCID, TJX, MGM, DIDIY, CRM, INDI, TMUS, QCOM, RIVN, LBRDK, JPM, DHI, ABNB, AMZN",2022-08-12
63,,2022-08-11
64,"Almost every month this year, discounts on financial assets from their year-end 2021 prices have gotten larger, leaving S&P 500 with its worst first half-of-the-year return since 1962.",2022-08-10
65,GuruFocus Article or News written by insider and the topic is about: ,2022-08-09
66,July was the highest revenue generating month of 2022. The US hard to borrow equity market pushes revenues higher. Fixed income continues to see strong demand.,2022-08-09
67,It appears the U.S. economy may be falling into recession - the business cycle has not been eliminated.,2022-08-08
68,"We prefer investment grade credit over equities right now. Our reasoning: valuations, strong balance sheets, low supply and moderate refinancing risks. Read more here...",2022-08-08
69,"Staff article entitled LQD: ETF Inflow Alert, about ETFs, from ETF Channel.",2022-08-08
70,GuruFocus Article or News written by insider and the topic is about: ,2022-08-08
71,"Whether the U.S. is actually in a recession is debatable, but high inflation will affect companies both positively and negatively. Read more here.",2022-08-08
72,iShares Investment Grade Corporate Bond ETF has bonds that are pretty long maturity and not that many are variable rate. See my reasons to avoid LQD ETF.,2022-08-06
73,Investment grade (IG) corporate debt funds broke their all-time calendar year records during their 2020 and 2021 campaign.,2022-08-06
74,"At the close of Refinitiv Lipperâs fund-flows week, U.S. broad-based equity indices traded positive for the fifth week in six.",2022-08-06
75,The stock market continues to perform when the Fed is lifting interest rates. Read more.,2022-08-05
76,"In the housing market, activity levels have come down as rates - mortgage rates in particular - have moved higher and changed the dynamic around affordability. Read more.",2022-08-05
77,"Staff article entitled ETF Flows Report for 08/04/2022, about ETFs, from ETF Channel.",2022-08-04
78,"Balance sheets are healthy, free cash flow is expanding, profitability is up, and companies are maintaining relatively conservative financial policies. Read more.",2022-08-03
79,We met with the portfolio managers of BlackRock Strategic Income Opportunities to have a wide-ranging discussion on their approach and why itâs so well suited to current market environment.,2022-08-03
80,We donât expect the slowdown in economies to result in a deep global recession. A repeat of the big increases in bond yields we saw in the first half of the year is unlikely.,2022-08-02
81,We find the valuation of Atlantica much more attractive than that of a corporate debt ETF like LQD. Click here to know more.,2022-08-01
82,Inventories have risen recently and there has been a lot of commentary about how this will negatively impact the economy.,2022-08-01
83,"We highlight the top three behavioral biases to avoid in the new, volatile market regime - and give tips on how investors can try to overcome them. Read more here...",2022-08-01
84,The S&P 500 rose 9.1% in July despite headlines of 40-year high inflation and two straight quarters of negative GDP growth. Read what this means for markets.,2022-08-01
85,"Bonds went south in 2022 - all asset classes were negative, and investors received little benefit from international or non-US allocations. USD peaked two weeks ago and has begun to decline.",2022-08-01
86,The US economy can be characterized by late cycle with a stagflationary regime. Check out where to invest in these current stagflationary market environment.,2022-08-01
87,"The risks of recession are rising as U.S. economic data softens. Slowing periods of growth could favor fixed-income, value stocks, and minimum volatility strategies.",2022-07-30
88,"Staff article entitled Noteworthy ETF Inflows: LQD, about ETFs, from ETF Channel.",2022-07-29
89,These are the stocks posting the largest moves in midday trading. ,2022-07-28
90,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
91,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
92,"A lot of what's going on right now is just the aftermath of a pandemic that's disrupted the housing market, the auto market, the goods market, and the labor market. Read more.",2022-07-26
93,GuruFocus Article or News written by insider and the topic is about: ,2022-07-26
94,GuruFocus Article or News written by insider and the topic is about: ,2022-07-26
95,Markets are pricing another 0.75% rate rise by the Fed this week. We see more volatility ahead as long as central banks think they can curb inflation without crushing growth. Read more here.,2022-07-25
96,,2022-07-25
97,The current shape of the yield curve really does look like the bond market expects a recession to show up in the not-too-distant future. Read more.,2022-07-23
98,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
99,Yahoo Finance’s Jared Blikre breaks down how markets opened on Friday.,2022-07-22
100,,2022-07-22
101,Yahoo Finance’s Jared Blikre breaks down how markets opened on Thursday.,2022-07-21
102,GuruFocus Article or News written by insider and the topic is about: ,2022-07-21
103,"Despite increased market volatility in 2022, the investment grade credit market is healthy and functioning.",2022-07-21
104,GuruFocus Article or News written by insider and the topic is about: ,2022-07-20
105,"For the sixth straight month, mutual fund investors were net redeemers of fund assets, withdrawing $102.2 billion from conventional funds for June.",2022-07-19
106,"The global economy and financial markets have had a dreadful H1 2022, and H2 looks tough too. Investors would do well to refocus on high quality, with assets that can deliver stable earnings",2022-07-19
107,"Inflation has been a global issue, with food and energy especially affecting emerging local markets given their large proportion of the Consumer Price Index basket.",2022-07-19
108,"The U.S. Bureau of Labor Statistics released its June Consumer Price Index report on Wednesday, July 13. Read more here.",2022-07-18
109,"Staff article entitled LQD: Large Inflows Detected at ETF, about ETFs, from ETF Channel.",2022-07-18
110,"PIMCO Group CIO Dan Ivascyn discusses the importance of active management, the impact of inflation, and opportunities within public and private credit, real estate, and housing.",2022-07-18
111,"Value has returned to fixed income. Not only can you generate an attractive yield without going down the credit spectrum significantly, you can take advantage of a lot of local volatility.",2022-07-18
112,"Investors were overall net purchasers of fund assets (including conventional funds' & ETFs') for 2nd consecutive week, injecting net $8.1b for Refinitiv Lipper fund flows week ended July 13.",2022-07-16
113,"""Knock at the Cabin,"" a new film by director M. Night Shyamalan, is the first adaptation of one of Paul Tremblay's horror novels.",2022-07-16
114,"Staff article entitled ETF Flows Report for 07/15/2022, about ETFs, from ETF Channel.",2022-07-15
115,,2022-07-15
116,"The New York Fed’s Empire State business conditions index, a gauge of manufacturing activity in the state, rose 12.3 points to 11.1 in July.",2022-07-15
117,,2022-07-15
118,"Ride-related injuries dropped by more than 60% between 2004 and 2019, according to the International Association of Amusement Parks and Attractions.",2022-07-15
119,GuruFocus Article or News written by insider and the topic is about: ,2022-07-15
120,"CNBC obtained a list of nearly 20 corporations and trade groups that RSVP'd to attend a swanky, three-day retreat at the Breakers resort starting Sunday.",2022-07-14
121,The streamer announced in April that it was planning on rolling out an ad-supported tier after years of resisting the move.,2022-07-13
122,"Last quarter, the Asset Allocation Committee adopted an underweight view on global equities and leaned more heavily into cash, commodities and other alternative, diversifying assets.",2022-07-13
123,,2022-07-13
124,,2022-07-13
125,"""Succession"" tops the 2022 Emmy Award nominations followed by ""Ted Lasso"" and ""The White Lotus.""",2022-07-12
126,,2022-07-12
127,,2022-07-12
128,"Moviegoers aren't just returning to cinemas, they are spending more on premium tickets and concessions.",2022-07-11
129,"Staff article entitled ETF Flows Report for 07/11/2022, about ETFs, from ETF Channel.",2022-07-11
130,,2022-07-11
131,"""Thor: Love and Thunder"" tallied $143 million during its domestic debut, pushing the overall weekend haul to more than $200 million.",2022-07-10
132,"A movie industry panel discusses how it assigns ratings to newly released films, including details about what constitutes an R rating.",2022-07-09
133,,2022-07-09
134,"The U.S. is forecast to add 250,000 new jobs in June, according to economists polled by The Wall Street Journal. The unemployment rate is expected to stay at...",2022-07-08
135,"Share repurchases increased considerably, given significant equity drawdowns this year. Click here to know more...",2022-07-08
136,Retreat for U.S. stock market futures comes after four days of gains in a row. Key U.S. employment data is due.,2022-07-08
137,"Investors see further Fed rate rises, but believe they will start moderating in size after September. Read more here.",2022-07-08
138,"Staff article entitled LQD: Large Inflows Detected at ETF, about ETFs, from ETF Channel.",2022-07-08
139,Bridgewater Associates' 13F portfolio value increased ~45% this qtr. Click here for the top three stock positions as well as new stake increases and decreases.,2022-07-07
140,"In an era of flagship streaming services like Disney+ and Peacock, Hulu is caught in the middle. ",2022-07-06
141,"The Fed seems determined now to bring down inflation and ""accept the higher recession risk"" that comes with the territory. Click here to know more...",2022-07-06
142,The revised long-term outlook projects an annualized return of 4.9%. Click here to know more...,2022-07-06
143,"If inflation and rate increases do not rise above current market expectations, however, there is a case for longer-duration instruments. Click here to know more...",2022-07-06
144,Tighter monetary regimes and a rising risk of recession are typical hazards for corporate debt. Click here to know more...,2022-07-06
145,"As the Treasury curve flattened and yields rose, spreads on investment-grade corporates and taxable municipals continued to show signs of weakness.",2022-07-06
146,"'Minions' and 'Toy Story' are among the most popular and profitable franchises for their respective studios — so why did ""Minions"" soar and ""Lightyear"" flop?
",2022-07-05
147,,2022-07-05
148,Deglobalization goes hand in hand with inflation. âPitchforks risksâ is rising for the sorcererâs apprentices aka central bankers. Read more here.,2022-07-04
149,,2022-07-04
150,"""Minions: The Rise of Gru"" generated more than $108 million in ticket sales during its domestic opening weekend.",2022-07-03
151,Investors added nearly $35 billion to U.S.-listed ETFs during the month.,2022-07-01
152,"Staff article entitled LQD: ETF Outflow Alert, about ETFs, from ETF Channel.",2022-06-30
153,The New York Federal Reserve on Wednesday rolls out a new tool aimed at detecting the onset of distress in the roughly $10 trillion U.S. corporate bond market.,2022-06-29
154,A publicly traded Starz may look to increase in size by targeting other subscale media and entertainment companies.,2022-06-29
155,A string of solid theatrical performances coupled with a strong slate of upcoming films has left most box office analysts optimistic.,2022-06-29
156,"Rhythm of the markets has gradually, but permanently, changed over the last 40 years. Despite positive trend in reopening sectors of the economy, labor market is showing signs of slowing.",2022-06-29
157,Stocks and ETFs are usually negatively affected by a bear market. Click here for my list of 22 ETFs to help you identify the best and worst.,2022-06-29
158,Yahoo Finance’s Jared Blikre breaks down how markets opened on Tuesday.,2022-06-28
159,"When yields were low, occasionally equity investors would look to high-dividend-paying equities as yields with growth upside.",2022-06-28
160,"We remain cautious in equities, but in fixed income, investors now have more yield and credit spread to work with. The coming months are likely to be difficult, click here to read more.",2022-06-27
161,Why beaten down stocks might not be as cheap as they appear? Why the earnings projections for some stocks might be too high? The bond market is bouncing back.,2022-06-25
162,"During Refinitiv Lipperâs fund-flows week ended June 22, 2022, investors were overall net sellers of fund assets (including both conventional funds and ETFs) for the second straight week",2022-06-25
163,JP Morgan analysts sees opportunity in beaten-down growth stocks; Citi's team likes corporate bonds.,2022-06-24
164,"Outflows from U.S. investment-grade corporate bonds and ETFs accelerated to $8.9 billion this past week, the biggest weekly outflows this year, says BofA Global.",2022-06-24
165,"Federal Reserve wants to hit the brakes, a 180-degree reversal from the recent two-year effort to turbo-stimulate the U.S. economy.",2022-06-24
166,Yahoo Finance’s Jared Blikre breaks down how markets opened on Friday.,2022-06-24
167,,2022-06-24
168,"Growth is slowing, but itâs slowing to trend at this point. So not to zero, not to negative, but something like the trend that weâve experienced over the last couple of decades.",2022-06-24
169,Yahoo Finance's Jared Blikre joins the Live show to break down how stocks are trading as Fed Chair Powell continues to testify before Congress.,2022-06-23
170,"In a more fractured world, we believe governments and corporate decision-makers will increasingly focus on searching for safety and building resilience.",2022-06-22
