,summary,date
0,The effects of volatility in 2022 have been felt by investors globally. How should you invest in emerging markets in volatile times? Click here to find out.,2022-09-22
1,"Russian President Vladimir Putin's announcement of a partial mobilization appeared to spark an exodus for some out of the country, with reports of sold-out...",2022-09-21
2,Stocks have gained ground on and around Fed rate decisions this year --- though rallies have proved fleeting.,2022-09-20
3,"As USD appreciates, other currencies essentially depreciate. Why does a stronger USD lead to a struggle for emerging market economies? Click here to find out.",2022-09-20
4,"Hotter-than-expected August CPI and quarterly options/derivatives expiration made for a toxic mix. âCoreâ CPI was reported up 0.6% for the month (7% annualized!), double estimates.",2022-09-17
5,"August data released by China got off to a bad start with a 0.29% MoM decline in new home prices. The main standout was retail sales, but it remains at risk from future lockdowns.",2022-09-16
6,Chinaâs state-owned enterprises (SOEs) are huge CO2 emitters. Chinaâs government has put environmental issues high on the national agenda.,2022-09-15
7,"Today, every major part of the world economy is seemingly prone to a serious economic crisis. European economy is perhaps the most immediate cause for concern.",2022-09-13
8,"Following a steep decline in 2021, Chinese stocks have provided a roller-coaster ride to international investors thus far in 2022.",2022-09-13
9,GuruFocus Article or News written by insider and the topic is about: ,2022-09-12
10,"The week ahead is going to be mainly about inflation, BOE decision, and Xi's meeting with Putin. Click here for a more detailed peek into next week.",2022-09-09
11,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-09-08
12,"Global economic output contracted in August for the first time since June 2020, according to the latest PMI survey data.",2022-09-08
13,China's response to what will be a rolling series of restructurings and writedowns will reveal much about its position in the 21st century international financial system. Read more here...,2022-09-08
14,"In our analysis, investor sentiment and valuation in Chinese equities are currently at unsustainable lows.",2022-09-07
15,The latest COVID outbreak further disrupted & distorted Chinaâs housing market supply & demand. Why hasnât the pick-up in house sales been more robust? Find out.,2022-09-07
16,The international trade of semiconductors is vital for Taiwan and important for Mainland China. Click here to read more.,2022-09-07
17,"Over the coming several weeks, the market will provide us with the structure as to which direction the next 500+ point move will take us.",2022-09-06
18,Most countries/regions around the world have monetary inflation rates that peaked at extraordinary heights in early 2021 and have since crashed. Read more.,2022-09-06
19,"The Reserve Bank of Australia makes its announcement early Tuesday, September 6. One of the challenges for policymakers and investors is that Australia reports inflation quarterly.",2022-09-03
20,"The JPMorgan Global Manufacturing Purchasing Managers' Index, compiled by S&P Global, fell from 51.1 in July to 50.3 in August, its lowest since June 2020. Click here to read more.",2022-09-03
21,"The Chinese economy is faltering. The risk of a real recession looms large, and the most optimistic scenario under current leadership would be slow growth, far slower than in recent decades.",2022-09-03
22,The landmark information sharing agreement wonât dispel concerns over delistings of Chinese firms from New York until the deal is smoothly implemented.,2022-09-02
23,"Asiaâs complicated supply chains mean that China is only an intermediate destination for some Asian exports, many of which may then be destined for Europe or the US after further processing.",2022-09-01
24,"With stock markets around the world giving up the ghost in August, most have moved back below their 50-DMAs or even into oversold territory.",2022-08-31
25,,2022-08-31
26,"The latest inflation data suggests that although the rate of rising has slowed, inflation is not going away just yet as the post-pandemic and war in Ukraine era evolves.",2022-08-30
27,Chinese economy may do modestly better in the second half of 2022. Read more.,2022-08-29
28,Different interpretations on reciprocity and cooperation could become stumbling blocks that ultimately derail the deal. Read more.,2022-08-29
29,Explanation of fundamentalist approach to analyzing equity markets. Expectations for volatility over the rest of the year. Read more.,2022-08-26
30,There looks like there will continue to be downside pressure on oil due in part to very poor performance in China. Read more.,2022-08-26
31,"Equities rebounded in recent weeks as investors considered the prospects of a possible pivot by major central banks, especially after China’s central bank unexpectedly cut interest rates.",2022-08-26
32,"Heatwaves and little rainfall in some parts of China have caused drought in the southwestern Chinese province of Sichuan, which greatly relies on hydroelectric power. Read more.",2022-08-25
