,summary,date
0,"Facebook whistleblower Frances Haugen is launching a nonprofit organization that will seek solutions to harms created by social media, she said on Thursday.... | September 22, 2022",2022-09-22
1,"Italy's Data Protection Agency has asked Facebook to clarify the activities the social media giant has engaged in ahead of Sunday's national elections, it said on Thursday.... | September 22, 2022",2022-09-22
2,Tech is getting slammed as the market melts down and it's time to start blue-chip bargain hunting for stocks like ADBE and META. Click here to read more.,2022-09-22
3,"Ofcom, the U.K. media watchdog, is set to launch a study examining the role of Amazon, Microsoft and Google in the cloud services market.",2022-09-22
4,"The tech giants aren't cutting jobs en masse. Instead, they're slimming their staff more indirectly.",2022-09-21
5,"Unfortunately, the latest rate hike came with a bit of collateral damage.  With that as a backdrop, shares of Alibaba (NYSE: BABA) slipped as much as 5%, Amazon (NASDAQ: AMZN) stock was down as much as 3.1%, and Meta Platforms (NASDAQ: META) slipped as much as 2.8%.  There was very little in the way of company-specific news behind the sell-off, but fears regarding the Fed's continued rate hikes and lower growth forecasts succeeded in dragging these technology stocks even lower.",2022-09-21
6,"Facebook, is restructuring departments and asking employees to apply for other roles within the company, current and former managers told The Wall Street Journal.",2022-09-21
7,States are increasingly implementing their own laws regulating social media. It won't work.,2022-09-21
8,Meta is reportedly planning on reducing its workforce in an effort to cut costs,2022-09-21
9,"Facebook’s parent is looking to reduce costs by at least 10%, people familiar with the plans said, while Google has required some employees to apply for new jobs.",2022-09-21
10,"Meta Platforms is looking to cut costs by at least 10% in the next few months, according to a report from The Wall Street Journal.",2022-09-21
11,The conventional wisdom is that shares of Meta are too cheap to ignore based on ~13x 2023 earnings. Learn why I see Meta as a value trap.,2022-09-21
12,"The reported figure represents a big jump from the earlier forecast of about 2% to 4% cost cuts that Meta announced in July.  To meet its latest target, the Facebook parent has already started nudging out a large number of staffers by reorganizing departments and providing affected employees a limited window to apply for other roles within Meta, the report said.",2022-09-21
13,"Loup Ventures' Gene Munster on Big Tech efforts to cut costs. With CNBC's Melissa Lee and the Fast Money traders, Tim Seymour, Steve Grasso, Karen Finerman and Dan Nathan.",2022-09-21
14,"Facebook’s parent is looking to reduce costs by at least 10%, people familiar with the plans said, while Google has required some employees to apply for new jobs.",2022-09-21
15,Yahoo Finance's Dan Howley breaks down regulatory efforts states have taken up against social media platforms.,2022-09-21
16,"-Iran curbed access on Wednesday to Meta Platforms' Instagram and WhatsApp, two of the last remaining social networks in the country, amid protests over the death of a woman in police... | September 21, 2022",2022-09-21
17,"There are currently plenty of publicly traded companies to choose from that fit the bill.  Roku's stock is down by nearly 70% this year as the streaming company has faced multiple problems, some of which are related to macroeconomic headwinds.  Roku makes much of its revenue through advertisements on its platform, and spending on ads has decreased as businesses deal with inflation, lower customer spending, and other issues.",2022-09-21
18,The cost cuts at the Facebook parent company are likely to include job reductions due to internal business department reorganizations.,2022-09-21
19,"Meta Platforms (formerly Facebook) is reportedly looking to cut costs by at least 10 percent in the next few months. With CNBC's Scott Cohn and the 'Halftime Report' traders, Bryn Talkington, Sarat Sethi, Jason Snipe and Joe Terranova.",2022-09-21
20,Here's something to cheer you up if you're among investors losing lots of money on the S&P 500 this year. You didn't drop anywhere near that of five unlucky investors.,2022-09-21
21,Nvidia (NASDAQ: NVDA) is a former rising star that's crashing and burning this year.  The average price target for the stock is nearly 51% higher than Nvidia's current share price.  Nvidia CFO Colette Kress noted in the Q2 conference call that the company has several launches of next-generation superchip platforms on the way soon.,2022-09-21
22,"On Joe Rogan's podcast, Mark Zuckerberg said virtual fitness platforms are already drawing everyday users into the metaverse.",2022-09-21
23,"Ad Tech & E-Commerce ... AAPL, AMZN, APP, GOOGL, META, NFLX, PINS, ROKU, SNAP, TWTR, TTD",2022-09-21
24,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-21
25,Investors have done very well buying QQQ after it has entered every bear market since 2009. Read more to find out if this is still a wise strategy.,2022-09-21
26,"AmpliTech Group (AMPG) an... AMPG, META",2022-09-21
27,Take-Two is likely building the only truly compelling metaverse in its flagship franchise Grand Theft Auto. See why I'm bullish on TTWO stock.,2022-09-21
28,Here are the most important news items that investors need to start their trading day.,2022-09-21
29,"Lithuania raised the readiness level of its army's rapid response force to prevent any provocations from the Russian side, defence minister Arvydas Anusauskas said on Wednesday after Moscow... | September 21, 2022",2022-09-21
30,These high-quality tech stocks to buy will pay off once the market turns and should continue to lead in terms of growth.,2022-09-21
31,Meta is testing letting a... META,2022-09-21
32,JPMorgan's CEO Jamie Dimon and management team are moving very cautiously and suspended share buybacks. See why I won't start buying JPM stock before $75.,2022-09-20
33,"Buybacks of Apple stock and Google stock led all U.S. companies in Q2, though overall repurchases fell nearly 22% from the previous quarter.",2022-09-20
34,"Zuckerberg is 20th on the list for the world’s richest people, with a total net worth of $55.3 billion.",2022-09-20
35,"According to my assumptions, Meta's fair value is $253 per share, so the company is very undervalued. Read why we say metaverse is a massive opportunity.",2022-09-20
36,Yahoo Finance’s Dan Howley joins the Live show to discuss Meta’s EU setback against German antitrust and privacy rules as well as reports that Mark Zuckerberg lost $70 billion in net worth this year.,2022-09-20
37,"(Bloomberg) -- Analysts increasingly are betting that Netflix Inc.’s move into advertising can help turn around the performance of one of the weakest stocks of 2022. Most Read from BloombergSouthwest Mexico Struck by 7.5 Magnitude Earthquake, Buildings Sway in CapitalHome-Flipper Opendoor Hit With Losses in Echo of Zillow CollapseMark Zuckerberg’s $71 Billion Wealth Wipeout Puts Focus on Meta’s WoesFrustrated and Snubbed, Putin Is Running Out of OptionsGrand Theft Auto VI Leak Is a Shock to Vide",2022-09-20
38,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-20
39,"Twitter is expanding how itrecommends posts from accounts that users do not follow, thesocial media company announced on Tuesday. As part of the expansion, it is also building tools... | September 20, 2022",2022-09-20
40,"Meta Platforms Inc’s (NASDAQ: META) Facebook suffered a setback in its European Union court challenge of a German antitrust decision that demanded an overhaul of the social media giant’s business model. Competition authorities are probing Meta over alleged abuses of a dominant position are justified in considering other rules, like the EU’s General Data Protection Regulation, an adviser to the bloc’s top court said in a non-binding opinion, Bloomberg reported. The non-binding opinion, if followe",2022-09-20
41,"BCAT launched towards the end of 2020, enjoying some of the end of the bull market, but since around mid-2021 has been on a downward slide. Click to read more.",2022-09-20
42,"This week, world leaders will gather once again for the United Nations General Assembly . Nick Clegg, Meta's President, Global Affairs, will lead our delegation of executives to New York to... | September 20, 2022",2022-09-20
43,"Antitrust authorities may assess whether companies comply with EU data protection rules during their investigations, an adviser to Europe's top court said on Tuesday, dealing a possible blow to Meta Platforms in its fight against the German competition agency.  The non-binding opinion, if followed by the Court of the Justice of the Europe Union (CJEU) in the coming weeks, could further embolden the German enforcer and its peers in other EU countries to widen their scrutiny of Big Tech based on privacy rules.  Meta's battle with the German cartel office started in 2019 after the latter said the world's largest social network had abused its market power by collecting users' data without their consent and ordered it to stop.",2022-09-20
44,"Bradley Tusk, Tusk Venture Partners founder and CEO, joins CNBC's 'Squawk Box' to discuss whether TikTok will be able to overtake other prominent tech names like Meta and Snap.",2022-09-20
45,"Salesforce is introducing Genie, a technology to deliver the most recent data on customers, at its Dreamforce conference this week. ",2022-09-20
46,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-20
47,Meta Platforms has been unjustly punished by this bear market. Click to read Iâm using this dip to increase my position in META stock substantially.,2022-09-20
48,"The Brothers of Italy party, which is tipped to win national elections at the weekend, suspended one of its candidates on Tuesday after he was found to have praised Nazi dictator Adolf Hitler in... | September 20, 2022",2022-09-20
49,New York and the DOJ are ... META,2022-09-20
50,"Antitrust authorities may assess whether companies comply with EU data protection rules during their investigations, an adviser to Europe's top court said on Tuesday, in a case involving Meta... | September 20, 2022",2022-09-20
51,"The severe macroeconomic climate has led investors toward defensive plays, creating buy opportunities in the following growth stocks.",2022-09-20
52,"Ruane, Cunniff, & Goldfarbâs 13F portfolio value decreased from $10.15B to $7.67B this quarter. Click to read the Q2 2022 update on their portfolio.",2022-09-20
53,"Given that two and a half years have passed, we think itâs safe to say that any stock down 20% from pre-COVID levels has been a âpandemic loser.â Read more here...",2022-09-19
54,I believe Meta Platforms future is bright. But why do I suggest that you consider if the timeline fits your goal and risk profile? Read to find out.,2022-09-19
55,Now he's only the 20th richest person in the world.,2022-09-19
