,summary,date
0,"Shares of PPL Corp. shed 1.53% to $28.90 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-09-20
1,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-19
2,"Shares of PPL Corp. advanced 1.49% to $29.35 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",2022-09-19
3,"Item 2.03 Creation of a Direct Financial Obligation under an Off-Balance SheetArrangement of a RegistrantOn September 16, 2022, PPL Electric Utilities Corporation ,entered into a $250 million... | September 19, 2022",2022-09-19
4,"LOUISVILLE, Ky. - National Preparedness Month. Louisville Gas and Electric Company and Kentucky Utilities Company join the Federal Emergency Management Agency and organizations across the country to... | September 19, 2022",2022-09-19
5,"ALLENTOWN, Pa. - PPL Electric Utilities has announced it has raised a record $129,000 through its 28th annual Operation HELP golf tournament. These funds will be applied to Operation HELP, a fuel... | September 16, 2022",2022-09-16
6,"PPL Foundation announced it is expanding the focus of its philanthropy to Rhode Island, seeking to support initiatives that strengthen communities served by Rhode Island Energy.PPL Foundation was... | September 16, 2022",2022-09-16
7,"Shares of PPL Corp. shed 2.50% to $28.88 Thursday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-09-15
8,"Shares of PPL Corp. inched 0.68% higher to $29.62 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-09-14
9,"Shares of PPL Corp. slipped 2.45% to $29.42 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-09-13
10,Bearish flow noted in PPL... PPL,2022-09-13
11,"Shares of PPL Corp. advanced 1.04% to $30.16 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-09-12
12,"LOUISVILLE, Ky. - International economic development-focused publication Site Selection Magazine has named Louisville Gas Company and Kentucky Utilities Company among an elite group of the Top 20... | September 12, 2022",2022-09-12
13,Power & Utilities Ana... PPL,2022-09-12
14,"Shares of PPL Corp. inched 0.78% higher to $29.85 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",2022-09-09
15,Power & Utilities Ana... PPL,2022-09-09
16,"Shares of PPL Corp. inched 0.87% higher to $29.62 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",2022-09-08
17,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-07
18,"Shares of PPL Corp. rose 2.67% to $29.59 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",2022-09-07
19,"Shares of PPL Corp. dropped 0.41% to $28.82 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",2022-09-06
20,"Shares of PPL Corp. slipped 1.16% to $28.94 Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-09-02
21,PPL (PPL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2022-09-02
22,"Shares of PPL Corp. inched 0.69% higher to $29.28 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-09-01
23,"Shares of PPL Corp. slipped 0.92% to $29.08 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-08-31
24,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-31
25,"Shares of PPL Corp. shed 1.77% to $29.35 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-08-30
26,"ALLENTOWN - PPL Corporation declared a quarterly common stock dividend on Friday, Aug. 26, of $0.2250 per share, payable Oct. 3, 2022, to shareowners of record as of Sept. 9, 2022.PPL Corporation ,... | August 29, 2022",2022-08-29
27,"Shares of PPL Corp. slid 1.81% to $29.79 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",2022-08-26
28,"PPL Corporation (NYSE: PPL) declared a quarterly common stock dividend on Friday, Aug. 26, of $0.2250 per share, payable Oct. 3, 2022, to shareowners of record as of Sept. 9, 2022.",2022-08-26
29,"PROVIDENCE - Rhode Island Energy invites nonprofit organizations throughout the state to attend a virtual information session at 10 a.m. on Sept. 8 to learn more about the company's commitment to... | August 26, 2022",2022-08-26
30,"Shares of PPL Corp. inched 0.40% higher to $30.34 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-08-25
31,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-25
32,PPL Electric Utilities is proud to announce it has been named POWER Magazine's 2022 Smart Grid Award winner for its work in creating and deploying an innovative and automated self-healing grid that improves overall reliability and reduces outages.,2022-08-24
33,"Shares of PPL Corp. slipped 0.03% to $30.22 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",2022-08-24
34,A possible outcome from periodic reviews is a referral of a rating to a rating committee.This publication does not announce a credit rating action and is not an indication of whether or not a credit rating action is likely in the near future.  Credit ratings and outlook/review status cannot be changed in a portfolio review and hence are not impacted by this announcement.Key Rating ConsiderationsThe principal methodology used for the rated entities listed below was Regulated Electric and Gas Networks published in April 2022.,2022-08-24
35,"Shares of PPL Corp. were unchanged Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index falling...",2022-08-23
36,"Shares of PPL Corp. shed 1.88% to $30.23 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-08-22
37,Today we'll do a simple run through of a valuation method used to estimate the attractiveness of PPL Corporation...,2022-08-22
38,GuruFocus Article or News written by insider and the topic is about: ,2022-08-22
39,"Shares of PPL Corp. slipped 0.32% to $30.81 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-08-19
40,A look at twenty S&P 500 stocks that have seen a high percentage of their returns over the last twenty years come from dividends.,2022-08-18
41,,2022-08-18
42,"Ownership Submission FORM 4 Check this box if no longer... | August 15, 2022",2022-08-15
43,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-15
44,"Poshmark upgrade, Southwest downgrade, and The Oncology Institute initiation among today's top calls on Wall Street CME, TASK, DG, TOI, SFT, VRM, LUV, POSH, APD, PPL, MCD, SFIX, ASO, WOR, DDS, LLAP",2022-08-15
45,"Staff article entitled PPL Reaches Analyst Target Price, about ETFs, from ETF Channel.",2022-08-15
46,BofA analyst Julien Dumou... PPL,2022-08-15
47,BofA analyst Julien Dumou... PPL,2022-08-15
48,GuruFocus Article or News written by insider and the topic is about: ,2022-08-14
49,"LOUISVILLE - Today, in observance of National Safe Digging Day, Louisville Gas and Electric Company and Kentucky Utilities Company are reminding customers and excavators of all types to take caution... | August 12, 2022",2022-08-12
50,GuruFocus Article or News written by Alberto Abaterusso and the topic is about: These stocks are yielding more than the S&P 500,2022-08-12
51,"ALLENTOWN - PPL Electric Utilities is marking National 811 Day this Thursday, August 11 by reminding customers to call 811 prior to the start of any type of digging project.Whether installing a... | August 11, 2022",2022-08-11
52,"UBS, which has a ""hi... PPL",2022-08-11
53,"PROVIDENCE, RI - August 11th is designated as National Safe Digging Day and Rhode Island Energy reminds our customers planning to dig, for any type of project, to first contact Dig Safe®... | August 10, 2022",2022-08-10
54,GuruFocus Article or News written by insider and the topic is about: ,2022-08-08
55,"Shares of PPL Corp. slipped 1.85% to $28.07 Friday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",2022-08-05
56,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-05
57,"Shares of PPL Corp. shed 1.35% to $28.60 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",2022-08-04
58,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-04
59,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-08-04
60,Actual results may differ materially from these forward-looking statements.  Please refer to the appendix of this presentation and PPL's SEC filings for a discussion of some of the factors that could cause actual results to differ from the forward-looking statements.,2022-08-03
61,"Shares of PPL Corp. dropped 0.38% to $28.99 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",2022-08-03
62,PPL's second-quarter earnings beat estimates. PPL benefits from the improved results of the Kentucky and Pennsylvania Regulated segments.,2022-08-03
63,"New England. Additionally, RIE makes available its transmissionfacilities to NEP, for operation and control pursuant to an integratedfacilities agreement, Service Agreement No. 23 (Integrated... | August 3, 2022",2022-08-03
64,The following slide deck was published by PPL Corporation in conjunction with their 2022 Q2 earnings call.,2022-08-03
65,"PPL Corporation (NYSE:NYSE:PPL) Q2 2022 Earnings Conference Call August 3, 2022 11:00 ET Company Participants Andy Ludwig - Vice President, Investor Relations Vince Sorgi - President and...",2022-08-03
66,"PPL (PPL) delivered earnings and revenue surprises of 3.45% and 18.45%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-08-03
67,"PPL Corporation (NYSE: PPL) today announced second-quarter 2022 reported earnings (GAAP) of $119 million, or $0.16 per share, compared with second-quarter 2021 reported earnings of $19 million, or $0.03 per share.",2022-08-03
68,"PPL Corporation today announced second-quarter 2022 reported earnings of $119 million, or $0.16 per share, compared with second-quarter 2021 reported earnings of $19 million, or $0.03 per share. ... | August 3, 2022",2022-08-03
69,"ALLENTOWN, Pa. _ PPL Corp. on Wednesday reported profit of $119 million in its second quarter. On a per-share basis, the Allentown, Pennsylvania-based company said it had net... | August 3, 2022",2022-08-03
