,summary,date
0,Prudential is an industry giant whose price has declined with the overall market. Click here to read our analysis of PRU stock's prospects going forward.,2022-09-21
1,"LONDON, September 21, 2022--PGIM Quantitative Solutions (PGIM Quant), the quantitative and multi-asset solutions specialist of PGIM, has bolstered its distribution team with the appointment of Cyrus Cottin as head of International Distribution, and the promotion of Pam Clancy to head of Global Consultant Relations, effective immediately. PGIM is the US$1.3 trillion global investment management business of Prudential Financial, Inc. (NYSE: PRU).",2022-09-21
2,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-21
3,Raymond James analyst Wil... PRU,2022-09-21
4,"Prudential is consolidating staff from its Plymouth campus, which it recently sold to a team of developers.",2022-09-20
5,"Shares of Prudential Financial Inc. slipped 1.49% to $93.02 Tuesday, on what proved to be an all-around grim trading session for the stock market, with the...",2022-09-20
6,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-09-20
7,"The joint venture behind the newly announced redevelopment of the Prudential Financial Inc. campus in Plymouth has bought the property for $20.4 million, according to public records.  The 75-acre site was sold in early August, but real estate records regarding the sale from the Minnesota Department of Revenue only became available late last week.  The development team of Indianapolis-based Scannell Properties and Minnetonka-based Roers Cos. announced in August they're planning a $300 million redevelopment of the site.",2022-09-19
8,"Shares of Prudential Financial Inc. rose 2.73% to $94.43 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",2022-09-19
9,"Ownership Submission FORM 4 Check this box if no longer... | September 19, 2022",2022-09-19
10,"Shares of Prudential Financial Inc. dropped 0.67% to $91.92 Friday, on what proved to be an all-around dismal trading session for the stock market, with the...",2022-09-16
11,"Shares of Prudential Financial Inc. slid 1.64% to $92.54 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-09-15
12,"Shares of Prudential Financial Inc. slipped 1.79% to $94.08 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",2022-09-14
13,"IBM, one of the Triangle’s largest employers, has transferred $16 billion in pension obligations to Prudential Financial (NYSE: PRU) and MetLife (NYSE: MET).  IBM (NYSE: IBM), which has one of its largest campuses in Research Triangle Park, disclosed the news in a regulatory filing late Tuesday.",2022-09-14
14,"A review of 19 blue-chip, investment grade, dividend growth stocks in the S&P 500 that offer a margin of safety. ",2022-09-14
