,summary,date
0,"As evidence piles up that the stock market is caught in a bear market, the focus inevitably turns to analytics that will signal a high-confidence forecast. Read more.",2022-09-23
1,There are some important financial implications to below-trend economic growth.,2022-09-23
2,"At its September meeting, a hawkish Federal Reserve conveyed its resolve to bring inflation down.",2022-09-23
3,The Fedâs GDP growth forecast was lowered to just .2% in 2022 and 1.2% in 2023 and well below the 2.5% US GDP growth capacity estimate. Click to read more.,2022-09-22
4,"As expected, the FOMC increased the range for the federal funds rate by 75 basis points to 3-3.25%. Click to read more.",2022-09-22
5,"As comments from heads of central banks go, yesterdayâs press conference was relatively lucid. Click here to read more.",2022-09-22
6,"At September meeting, Fed officials hiked fed funds rate by 75 BP & provided their most resolute messaging to date on their willingness to do whatever it takes to battle inflation.",2022-09-22
7,Powell says that whatever the Fed does will be enough to push inflation to return to the target. The market responds by saying the Fed is underestimating the magnitude of the tightening.,2022-09-22
8,The U.S. Federal Reserve delivered its third straight 75-bps rate hike on Wednesday. What was the market reaction and key takeaways? Click here to find out.,2022-09-22
9,"With inflation proving to be stickier than imagined, the Fed said activity needs to slow much more with the door left wide open for a fourth consecutive 75bp hike in November. Read more here",2022-09-22
10,Federal Reserve Chairman Powell delivered another forceful message to markets. Is he still being too optimistic? Click here to find out.,2022-09-22
11,The Fed delivered another outsized rate increase at todayâs FOMC meeting. What could this latest move mean for the US economy? Click here to find out.,2022-09-21
12,The Federal Reserve is expected to raise interest rates today and another 75-basis point hike is widely expected. Read more here.,2022-09-21
13,"Staff article entitled SHY: Large Inflows Detected at ETF, about ETFs, from ETF Channel.",2022-09-21
14,"U.S. stocks opened higher Wednesday, as investors wait for the Federal Reserve to announce its decision on the size of its interest rate hike. The Dow Jones...",2022-09-21
15,"Another FOMC meeting, and another 75bp hike. But there is a rump going for 100bp, so 75bp could be positive for risk assets, albeit briefly. The dot plot will be watched. Read more here...",2022-09-21
16,Policymakers now face a delicate tradeoff between bringing down inflation or sustaining economic growth. Are we nearing a US recession? Click here to find out.,2022-09-21
17,The August print showed that consumer prices continued to rise. Why do we think investors may be overly optimistic on inflation easing? Click here to find out.,2022-09-21
18,The SHY ETF offers investors relatively high yields with very limited downside risks. Now is an excellent time to lock in yields with SHY. Click here to read more.,2022-09-20
19,"Markets did not like the August CPI increase over the number from July, which remained essentially unchanged, though a significant decline had been predicted.",2022-09-20
20,"Although consumers are benefiting from robust labor markets and strong balance sheets, they appear reluctant to buy high-cost durable goods.",2022-09-20
21,The iShares Russell 1000 ETF has corrected 11% off its August peak as the market grapples with a new interest-rate regime. Click here to read more.,2022-09-20
22,This week the Fed funds rate will likely rise above the prior Fed funds rate hiking cycle for the first time in 40 years or so.,2022-09-20
23,"The 0.1% monthly CPI gain shocked Wall Street and spooked Treasury yields, pushing 10-yr yields up. The Fed must act, so a potential rate hike at the November FOMC meeting could be justified",2022-09-20
24,The financial markets were shocked by the US CPI for August. When will we see a monetary shift? Click here to find out.,2022-09-20
25,"The new regime of macro volatility is playing out with weaker growth, persistent inflation and volatile markets. We stick with our dialed-down risk stance and favor credit over equities.",2022-09-20
26,There have been more predictors of lower inflation of late. Click here to read about these in more detail.,2022-09-19
27,"The negative 2-year/10-year Treasury spread has now persisted for 53 trading days, widening significantly this week to a negative 45 basis points from negative 23 basis points last week.",2022-09-19
28,"The Fed has been raising short-term interest rates from near zero during 2022, with guidance that more hikes are to come. Read more.",2022-09-19
29,The combination of high/sticky inflation and central banksâ determination to drive it down is the biggest risk to markets now. We are likely to continue to see inflation for a while longer.,2022-09-19
30,"As long as inflation expectations are driving the market and the data remain this noisy, inflation is likely to remain the biggest source of potential volatility. Read more.",2022-09-19
31,"The first half of the year saw GDP contract slightly and GDI expand slightly, and I interpret that as little to no growth.",2022-09-19
32,"Expect a 75bp hike. High inflation means 100bp is a risk but inflation expectations and corporate price plans look less threatening, and growth outlook is more uncertain, so we don't see it.",2022-09-19
33,"Do you continue to lighten up on bounces? At some point, you end up selling at the lows and pushing risk management too far. I donât think we are there yet. Read more here...",2022-09-19
34,"Core CPI, excludes food and energy, rose from July's YoY of 5.9% to a YoY rate of 6.3% in August. A large part of economic data seems to be indicating the economy is slowing.",2022-09-19
35,The COT bond market speculator bets were mixed evenly this week as four out of the eight bond markets we cover had higher positioning this week while four markets had lower contracts.,2022-09-18
36,World's major central banks grew increasingly united in their resolve to bring inflation under control. How did major indices react? Click here to find out.,2022-09-17
37,The market is telegraphing that what the Fed is planning to do is potentially destructive to the economy.,2022-09-17
38,"Despite all-time record revenues for August, spending jumped from $439B last August to $523B this August, a YoY increase of almost 20%.",2022-09-17
39,"With the 2-year making new highs, the market sees that the Fed will in fact hike more and for longer.",2022-09-16
40,"Tony DeSpirito, BlackRock's CIO of U.S. Fundamental Equities, discusses how inflation is impacting the economy and what history can teach us about the outlook for the stock market.",2022-09-16
41,Vanguard Extended Duration Treasury ETF is an extremely efficient way to own long-term Treasuries. Click here to read why EDV will prove its worth as portfolio insurance.,2022-09-16
42,"The US CPI reading kicked off the latest curve flattening leg, but the coordinated hawkishness of ECB officials is helping to extend it. Read more here...",2022-09-16
43,Since the start of the year my largest position has been cash. Read why I'm watching the data closely and will be ready to adapt to changing conditions.,2022-09-16
44,"The Fed has been raising rates at its fastest pace in four decades in an attempt to combat inflation, but there has been talk of a pivot in its approach.",2022-09-16
45,"Starting today, the US Fed has pledged to run off its balance sheet by $95 billion a month. Click here to read more.",2022-09-15
46,"Risk-off sentiment is back, or so recent market activity suggests. Maybe risk-off never left. Click to read more.",2022-09-15
47,"Inflation fears have driven markets and, as happened in the first half of the year, both equities and bonds have sold off. Read more.",2022-09-15
48,"The risk-off sentiment is back, or so recent market activity suggests. Maybe risk-off never left. There are many ways to assess this state of affairs. ",2022-09-15
49,Inflation pressures are cooling. But why do you keep hearing exactly the opposite in the press? Click here to find out.,2022-09-14
